Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,5683,2097152,64,16,4,1,8,0,1,0,1,1,2097286,2068507,1,18874664,2097161,3,69206016,0,0,0,0,0,0,0,0.988253,100.363,0,4848615424,0,629145600,35651584,570425344,306184192,6291456,200212480,0,3,15.7132,0,0,3,1,1,3,23.5158,100,99.8363,1024,0,0,0,32
directCoulombSum,9903,2097152,64,16,4,1,8,1,0,0,1,6,2238498,40669331,5,142606384,138412041,4,205520896,97.0149,0,0,0,0,272629760,136314880,0.972559,100.326,0,4982833152,0,4110417920,1077936128,2336227328,306184192,6291456,405143552,0,3,9.3136,0,0,2,1,1,6,27.3078,100,98.8839,1024,0,32,0,15
directCoulombSum,10540,2097152,64,16,4,1,8,1,1,0,1,6,2249326,43363679,5,155190784,138412041,4,205520896,92.8571,0,0,0,0,272629760,136314880,0.976797,99.9507,0,4982833152,0,5049942016,1077936128,2738880512,574619648,6291456,455475200,0,3,8.72501,0,0,2,1,1,6,28.5209,100,99.0072,1024,0,32,0,19
directCoulombSum,9130,2097152,64,16,4,1,8,2,0,0,1,7,2241082,42002955,6,142606384,138412041,5,205520896,97.0149,0,0,0,0,272629760,136314880,0.972668,100.139,0,4982833152,0,2499805184,541065216,1262485504,306184192,6291456,304480256,0,3,10.0756,0,0,2,1,1,6,24.6816,100,98.5149,1024,0,32,0,20
directCoulombSum,10066,2097152,64,16,4,1,8,2,1,0,1,7,2260534,46105706,5,155189536,138412041,4,205520896,92.8571,0,0,0,0,272629760,136314880,0.977241,99.7589,0,4982833152,0,3439329280,541065216,1665138688,574619648,6291456,354811904,0,3,9.29,0,0,2,1,1,7,25.8766,100,98.7255,1024,0,32,0,21
directCoulombSum,8912,2097152,64,16,4,1,8,4,0,0,1,6,2221018,39823116,6,142606672,138412041,5,205520896,97.0149,0,0,0,0,272629760,136314880,0.982552,99.9298,0,4982833152,0,1694498816,272629760,725614592,306184192,6291456,254148608,0,2,10.293,0,0,2,1,1,6,22.7506,100,98.2207,1024,0,32,0,22
directCoulombSum,9761,2097152,64,16,4,1,8,4,1,0,1,6,2227426,42333376,6,155190040,138412041,4,205520896,92.8571,0,0,0,0,272629760,136314880,0.98064,99.8286,0,4982833152,0,2634022912,272629760,1128267776,574619648,6291456,304480256,0,2,9.401,0,0,2,1,1,7,23.867,100,98.5149,1024,0,32,0,23
directCoulombSum,1680,1048576,64,16,4,1,16,0,0,0,1,4,2097190,2068491,1,4194728,2097161,4,35651584,0,0,0,0,0,0,0,0.974922,100.115,0,4580179968,0,515899392,67108864,100663296,46137344,3145728,166166528,0,7,50.0122,0,0,8,1,1,2,70.354,100,99.9211,1024,0,0,0,32
directCoulombSum,3152,1048576,64,16,4,1,16,0,1,0,1,2,2097190,2068523,1,10485808,2097161,3,35651584,0,0,0,0,0,0,0,0.742497,100.667,0,4580179968,0,918552576,67108864,301989888,790626304,3145728,208306176,0,5,26.4372,0,0,4,1,1,3,50.7489,100,99.9371,1024,0,0,0,40
directCoulombSum,29181,1048576,64,16,4,1,16,1,0,0,1,7,33468182,126353567,2,140509904,138412041,2,171966464,97.7444,0,0,0,0,272629760,136314880,0.945511,99.8056,0,4647288832,0,3758096384,1075838976,2269118464,161480704,3145728,374603776,0,1,2.84138,0,0,1,1,1,2,8.30604,100,99.3964,1024,0,64,0,15
directCoulombSum,29229,1048576,64,16,4,1,16,1,1,0,1,7,33798962,126184284,2,146800688,138412041,2,171966464,95.5882,0,0,0,0,272629760,136314880,0.946493,99.9651,0,4647288832,0,4227858432,1075838976,2470445056,295698432,3145728,399769600,0,1,2.84777,0,0,1,1,1,2,8.81013,100,99.4344,1024,0,64,0,19
directCoulombSum,28761,1048576,64,16,4,1,16,2,0,0,1,8,38077614,130838384,2,140509768,138412041,2,171966464,97.7444,0,0,0,0,272629760,136314880,0.972347,100.145,0,4647288832,0,2147483648,538968064,1195376640,161480704,3145728,273940480,0,1,2.89218,0,0,1,1,1,2,6.87271,100,99.1746,1024,0,64,0,20
directCoulombSum,28760,1048576,64,16,4,1,16,2,1,0,1,8,37880030,130639641,2,146800712,138412169,2,171966464,95.5882,0,0,0,0,272629760,136314880,0.970173,99.8449,0,4647288832,0,2617245696,538968064,1396703232,295698432,3145728,299106304,0,1,2.89469,0,0,1,1,1,2,7.40793,100,99.2441,1024,0,64,0,21
directCoulombSum,28245,1048576,64,16,4,1,16,4,0,0,1,8,36687874,129859180,2,140509608,138412041,2,171966464,97.7444,0,0,0,0,272629760,136314880,0.985207,99.8666,0,4647288832,0,1342177280,270532608,658505728,161480704,3145728,223608832,0,1,2.93901,0,0,1,1,1,2,6.21192,100,98.9889,1024,0,64,0,22
directCoulombSum,28222,1048576,64,16,4,1,16,4,1,0,1,8,36002802,129431563,2,146802040,138412041,2,171966464,95.5882,0,0,0,0,272629760,136314880,0.983051,100.054,0,4647288832,0,1811939328,270532608,859832320,295698432,3145728,248774656,0,1,2.95788,0,0,1,1,1,2,6.77007,100,99.0911,1024,0,64,0,23
directCoulombSum,24931,1048576,64,16,4,1,16,8,0,0,1,8,26895421,118057846,2,140509992,138412041,2,171966464,97.7444,0,0,0,0,272629760,136314880,0.967152,99.4175,0,4647288832,0,939524096,136314880,658505728,161480704,3145728,206831616,0,1,3.32329,0,0,1,1,1,3,6.15684,100,98.9068,1024,0,64,0,31
directCoulombSum,24347,1048576,64,16,4,1,16,8,1,0,1,8,23707579,114659054,2,146801552,138412041,2,171966464,95.5882,0,0,0,0,272629760,136314880,0.942364,99.0761,0,4647288832,0,1409286144,136314880,859832320,295698432,3145728,231997440,0,1,3.43223,0,0,1,1,1,3,7.31332,100,99.0254,1024,0,64,0,32
directCoulombSum,1644,524288,64,16,4,1,32,0,0,0,1,4,2097190,2068507,1,3145928,2097161,3,18874368,0,0,0,0,0,0,0,0.608493,100.119,0,4445962240,0,408944640,33554432,67108864,38797312,1572864,156188672,0,7,48.6809,0,0,8,1,1,1,68.6184,100,99.958,1024,0,0,0,48
directCoulombSum,2058,524288,64,16,4,1,32,0,1,0,1,3,2097190,2068507,1,6291864,2097161,2,18874368,0,0,0,0,0,0,0,0.603965,99.7095,0,4445962240,0,643825664,33554432,167772160,72351744,1572864,167723008,0,6,38.6752,0,0,6,1,1,2,59.8031,100,99.9609,1024,0,0,0,48
