Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,42617,2097152,64,16,4,1,8,1,0,0,1,1,2616670,2105370,4,143249328,138412034,6,205520896,97.0149,0,0,0,0,272629760,136314880,0.993084,99.9889,4982833152,0,4110417920,1073741824,2336227328,306184192,6291456,404946944,4,12.6423,0,0,2,1,1,8,37.1992,100,98.8995,1024,0,32,0,15
directCoulombSum,45137,2097152,64,16,4,1,8,1,1,0,1,1,2876038,2109426,4,155968014,138412034,5,205520896,92.8571,0,0,0,0,272629760,136314880,0.994798,99.972,4982833152,0,5049942016,1073741824,2738880512,440401920,6291456,451084288,4,11.9471,0,0,2,1,1,8,39.0215,100,99.0121,1024,0,32,0,19
directCoulombSum,42415,2097152,64,16,4,1,8,2,0,0,1,1,2876064,2109442,4,143385254,138412034,6,205520896,97.0149,0,0,0,0,272629760,136314880,0.99448,99.9872,4982833152,0,2499805184,536870912,1262485504,306184192,6291456,304283648,3,12.7054,0,0,2,1,1,8,31.1775,100,98.5354,1024,0,32,0,20
directCoulombSum,46576,2097152,64,16,4,1,8,2,1,0,1,1,2875998,2109430,4,155968198,138412034,5,205520896,92.8571,0,0,0,0,272629760,136314880,0.991879,99.9884,4982833152,0,3439329280,536870912,1665138688,440401920,6291456,350420992,3,11.5693,0,0,2,1,1,8,32.1433,100,98.7283,1024,0,32,0,21
directCoulombSum,43661,2097152,64,16,4,1,8,4,0,0,1,1,2746274,2109474,4,143255476,138412034,5,205520896,97.0149,0,0,0,0,272629760,136314880,0.982207,99.9706,4982833152,0,1694498816,268435456,725614592,306184192,6291456,253952000,3,12.3375,0,0,2,1,1,8,25.2555,100,98.2452,1024,0,32,0,22
directCoulombSum,48467,2097152,64,16,4,1,8,4,1,0,1,1,2768114,2107482,4,155860350,138412034,5,205520896,92.8571,0,0,0,0,272629760,136314880,0.980856,99.9869,4982833152,0,2634022912,268435456,1128267776,440401920,6291456,300089344,3,11.1166,0,0,2,1,1,8,26.3737,100,98.515,1024,0,32,0,24
directCoulombSum,9066,1048576,64,16,4,1,16,0,0,0,1,2,2097718,2097166,1,4198936,2097154,5,35651584,0,0,0,0,0,0,0,0.978224,99.9606,4580179968,0,515899392,69206016,100663296,46137344,3145728,166264832,8,53.531,0,0,8,1,1,2,75.4549,100,99.9015,1024,0,0,0,32
directCoulombSum,9746,1048576,64,16,4,1,16,0,1,0,1,2,2356914,2101214,1,10745506,2097154,4,35651584,0,0,0,0,0,0,0,0.738756,99.9765,4580179968,0,918552576,69206016,301989888,185597952,3145728,189497344,8,49.7905,0,0,8,1,1,5,84.9673,100,99.9135,1024,0,0,0,40
directCoulombSum,41565,1048576,64,16,4,1,16,1,0,0,1,1,2876144,2155649,4,141288430,138412034,5,171966464,97.7444,0,0,0,0,272629760,136314880,0.992898,99.8125,4647288832,0,3758096384,1073741824,2269118464,161480704,3145728,374505472,3,11.7643,0,0,2,1,1,8,34.3937,100,99.405,1024,0,64,0,15
directCoulombSum,43823,1048576,64,16,4,1,16,1,1,0,1,1,2876210,2151902,4,147579398,138412034,5,171966464,95.5882,0,0,0,0,272629760,136314880,0.990413,99.9463,4647288832,0,4227858432,1073741824,2470445056,228589568,3145728,397574144,3,11.1785,0,0,2,1,1,8,34.5874,100,99.4395,1024,0,64,0,19
directCoulombSum,41849,1048576,64,16,4,1,16,2,0,0,1,1,2876188,2157423,4,141288502,138412034,5,171966464,97.7444,0,0,0,0,272629760,136314880,0.993769,99.9342,4647288832,0,2147483648,536870912,1195376640,161480704,3145728,273842176,3,11.7067,0,0,2,1,1,8,27.8835,100,99.1863,1024,0,64,0,20
directCoulombSum,43729,1048576,64,16,4,1,16,2,1,0,1,1,2875926,2162507,4,147579430,138412034,5,171966464,95.5882,0,0,0,0,272629760,136314880,0.992922,99.9478,4647288832,0,2617245696,536870912,1396703232,228589568,3145728,296910848,3,11.1892,0,0,2,1,1,8,28.6069,100,99.2495,1024,0,64,0,21
directCoulombSum,42954,1048576,64,16,4,1,16,4,0,0,1,1,2876072,2216847,4,141287974,138412034,5,171966464,97.7444,0,0,0,0,272629760,136314880,0.987306,99.9655,4647288832,0,1342177280,268435456,658505728,161480704,3145728,223510528,2,11.3973,0,0,2,1,1,7,22.0281,100,99.0031,1024,0,64,0,22
directCoulombSum,45284,1048576,64,16,4,1,16,4,1,0,1,1,2684636,2211555,4,147366920,138412034,4,171966464,95.5882,0,0,0,0,272629760,136314880,0.989747,99.9889,4647288832,0,1811939328,268435456,859832320,228589568,3145728,246579200,2,10.8088,0,0,2,1,1,8,22.8236,100,99.0963,1024,0,64,0,24
directCoulombSum,43002,1048576,64,16,4,1,16,8,0,0,1,1,2876104,2221722,4,141288302,138412034,5,171966464,97.7444,0,0,0,0,272629760,136314880,0.97634,99.9686,4647288832,0,939524096,134217728,658505728,161480704,3145728,206733312,2,11.3844,0,0,2,1,1,7,22.0026,100,98.9222,1024,0,64,0,31
directCoulombSum,45411,1048576,64,16,4,1,16,8,1,0,1,1,2746376,2239494,4,147449932,138412034,4,171966464,95.5882,0,0,0,0,272629760,136314880,0.983538,99.9858,4647288832,0,1409286144,134217728,859832320,228589568,3145728,229801984,2,10.7772,0,0,2,1,1,8,22.7577,100,99.0304,1024,0,64,0,32
directCoulombSum,8625,524288,64,16,4,1,32,0,0,0,1,3,2356960,2101210,1,3405570,2097154,3,18874368,0,0,0,0,0,0,0,0.615647,99.9712,4445962240,0,408944640,34603008,67108864,38797312,1572864,156237824,8,53.6968,0,0,9,1,1,2,75.1795,100,99.9476,1024,0,0,0,48
directCoulombSum,9092,524288,64,16,4,1,32,0,1,0,1,2,2097456,2097178,1,6291744,2097154,3,18874368,0,0,0,0,0,0,0,0.61696,99.9458,4445962240,0,643825664,34603008,167772160,72351744,1572864,167772160,8,50.9699,0,0,8,1,1,3,78.6436,100,99.9512,1024,0,0,0,48
