DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=15, mode=live)
==================================================================================
seed_base=4
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/1.0/10000            15.883       17.039     -1.16
680/10000/1.0/1000000          29.736       36.381     -6.65
680/10000000/1.0/10000         24.830       28.237     -3.41
680/10000000/1.0/1000000       25.731       26.159     -0.43
750/10000/1.0/100              15.397       22.042     -6.64
750/10000/1.0/1000             17.964       21.653     -3.69
750/10000/1.0/10000            17.315       18.576     -1.26
750/10000/1.0/100000            9.519       10.677     -1.16
750/10000/1.0/1000000          21.202       24.667     -3.47
750/1000000/1.0/100000         28.466       28.312      0.15
750/1000000/1.0/1000000        21.692       21.012      0.68
750/10000000/1.0/100           33.181       31.491      1.69
750/10000000/1.0/1000          25.499       31.488     -5.99
750/10000000/1.0/10000         26.460       31.496     -5.04
750/10000000/1.0/1000000       24.327       28.454     -4.13
1070/10000/1.0/100             32.658       31.222      1.44
1070/10000/1.0/1000            25.246       28.759     -3.51
1070/10000/1.0/10000           12.403       18.210     -5.81
1070/10000/1.0/100000          16.332       14.950      1.38
1070/10000/1.0/1000000        124.805      121.585      3.22
1070/1000000/1.0/100000        25.497       33.007     -7.51
1070/1000000/1.0/1000000       20.476       19.182      1.29
1070/10000000/1.0/100          36.087       41.809     -5.72
1070/10000000/1.0/1000         32.951       41.784     -8.83
1070/10000000/1.0/10000        42.761       41.639      1.12
1070/10000000/1.0/1000000       44.087       33.070     11.02
2080/10000/1.0/100             20.598       20.200      0.40
2080/10000/1.0/1000            15.056       19.535     -4.48
2080/10000/1.0/10000           15.646       15.651     -0.00
2080/10000/1.0/100000           9.142        8.156      0.99
2080/10000/1.0/1000000         25.760       26.694     -0.93
2080/1000000/1.0/100000        28.849       24.905      3.94
2080/1000000/1.0/1000000       18.636       17.364      1.27
2080/10000000/1.0/100          26.587       27.784     -1.20
2080/10000000/1.0/1000         19.481       27.780     -8.30
2080/10000000/1.0/10000        21.667       27.756     -6.09
2080/10000000/1.0/1000000       17.877       25.007     -7.13
----------------------------------------------------------------------------------
mean |C - Py| performance-decline difference: 3.54 pp over 37 configs (mode=live)
decline% = total_runtime(estimator stop)/total_runtime(oracle stop) - 1
