DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=15, mode=live)
==================================================================================
seed_base=5
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/1.0/10000            15.391       17.039     -1.65
680/10000/1.0/1000000          41.278       36.381      4.90
680/10000000/1.0/10000         35.963       28.237      7.73
680/10000000/1.0/1000000       23.602       26.159     -2.56
750/10000/1.0/100              18.185       22.042     -3.86
750/10000/1.0/1000             26.701       21.653      5.05
750/10000/1.0/10000            16.304       18.576     -2.27
750/10000/1.0/100000            5.764       10.677     -4.91
750/10000/1.0/1000000          22.297       24.667     -2.37
750/1000000/1.0/100000         27.347       28.312     -0.96
750/1000000/1.0/1000000        19.641       21.012     -1.37
750/10000000/1.0/100           43.131       31.491     11.64
750/10000000/1.0/1000          29.632       31.488     -1.86
750/10000000/1.0/10000         34.172       31.496      2.68
750/10000000/1.0/1000000       22.215       28.454     -6.24
1070/10000/1.0/100             28.102       31.222     -3.12
1070/10000/1.0/1000            32.303       28.759      3.54
1070/10000/1.0/10000           22.207       18.210      4.00
1070/10000/1.0/100000          12.212       14.950     -2.74
1070/10000/1.0/1000000        147.137      121.585     25.55
1070/1000000/1.0/100000        35.995       33.007      2.99
1070/1000000/1.0/1000000       19.154       19.182     -0.03
1070/10000000/1.0/100          42.349       41.809      0.54
1070/10000000/1.0/1000         43.028       41.784      1.24
1070/10000000/1.0/10000        45.645       41.639      4.01
1070/10000000/1.0/1000000       29.714       33.070     -3.36
2080/10000/1.0/100             30.494       20.200     10.29
2080/10000/1.0/1000            17.369       19.535     -2.17
2080/10000/1.0/10000           21.144       15.651      5.49
2080/10000/1.0/100000           7.266        8.156     -0.89
2080/10000/1.0/1000000         24.843       26.694     -1.85
2080/1000000/1.0/100000        32.736       24.905      7.83
2080/1000000/1.0/1000000       10.206       17.364     -7.16
2080/10000000/1.0/100          24.868       27.784     -2.92
2080/10000000/1.0/1000         26.270       27.780     -1.51
2080/10000000/1.0/10000        32.968       27.756      5.21
2080/10000000/1.0/1000000       19.946       25.007     -5.06
----------------------------------------------------------------------------------
mean |C - Py| performance-decline difference: 4.37 pp over 37 configs (mode=live)
decline% = total_runtime(estimator stop)/total_runtime(oracle stop) - 1
