"X1","X2"
"MWG","A=-1"
"NWG","B=(NWG-32)/16"
"KWG","C=-1"
"MDIMC","D=(MDIMC-12)/4"
"NDIMC","E=(NDIMC-16)/8"
"MDIMA","F=(MDIMA-12)/4"
"NDIMB","G=(NDIMB-16)/8"
"KWI","H=-1"
"VWM","J=(VWM-1.5)/0.5"
"VWN","K=(VWN-2)/1"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","A==-1 and C==-1 and D==-1 and F==-1 and H==-1 and J==-1 and L==-1 and M==-1 and N==1 and O==1 and P==-1"
"Global size","16384 -4096.00*B  +4096.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Local size","128 -0.00*B  +64.00*E  +0.00*G  +0.00*K  -0.00*E*G "
"dram_utilization","7.33 -0.33*B  +0.33*E  +0.67*G  +0.67*K  +0.00*E*G "
"dram_read_transactions","2107307 +269.33*B  +1264.00*E  -888.00*G  -1230.67*K  +342.67*E*G "
"dram_write_transactions","8588.78 -70.67*B  -38.22*E  +215.11*G  +156.00*K  -107.56*E*G "
"l2_utilization","2.56 +0.67*B  +0.22*E  -0.78*G  -0.67*K  -0.11*E*G "
"l2_read_transactions","3145835.56 +3145728.00*B  +59.56*E  -4194295.11*G  -4194304.00*K  +8.89*E*G "
"l2_write_transactions","16508.78 -0.00*B  -56.89*E  +113.78*G  -0.00*K  -56.89*E*G "
"tex_utilization","2.33 -0.33*B  -0.00*E  +0.33*G  +0.33*K  +0.00*E*G "
"tex_cache_transactions","3670016 -524288.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"local_memory_overhead","0 +0.00*B  -0.00*E  +0.00*G  -0.00*K  -0.00*E*G "
"shared_utilization","7 -1.00*B  +1.00*E  +0.33*G  +0.67*K  +0.00*E*G "
"shared_efficiency","31.98 +0.37*B  -1.07*E  +1.21*G  -0.00*K  -0.23*E*G "
"shared_load_transactions","6291456 -1048576.00*B  +1048576.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"shared_store_transactions","1616554.67 -262144.00*B  -43690.67*E  -174762.67*G  -0.00*K  +0.00*E*G "
"local_load_transactions","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"local_store_transactions","113.78 +0.00*B  -56.89*E  +113.78*G  -0.00*K  -56.89*E*G "
"achieved_occupancy","0.52 -0.13*B  +0.13*E  +0.00*G  +0.00*K  -0.00*E*G "
"sm_efficiency","97.99 -3.43*B  -0.81*E  +1.78*G  +2.39*K  -1.11*E*G "
"inst_fp_16","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_fp_32","268435456 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_fp_64","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_integer","234531498.67 -55649621.33*B  +38173354.67*E  +5592405.33*G  -693589.33*K  +699050.67*E*G "
"inst_control","2097152 -524288.00*B  +524288.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_compute_ld_st","178324366.22 -36700160.00*B  +29010147.56*E  +1399011.56*G  -4194304.00*K  -455.11*E*G "
"inst_misc","16749454.22 -3528021.33*B  +1314360.89*E  +1631118.22*G  +176128.00*K  -116508.44*E*G "
"inst_bit_convert","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_executed","21880334.22 -3012821.33*B  +2157198.22*E  +269454.22*G  -147242.67*K  +18190.22*E*G "
"half_precision_fu_utilization","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"single_precision_fu_utilization","3.78 -0.33*B  +0.44*E  +0.44*G  +0.33*K  +0.11*E*G "
"flop_sp_efficiency","19.27 -0.90*B  +0.73*E  +2.16*G  +2.34*K  +0.02*E*G "
"double_precision_fu_utilization","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"flop_dp_efficiency","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"special_fu_utilization","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"cf_fu_utilization","1 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"ldst_fu_utilization","2.11 -0.33*B  +0.44*E  +0.11*G  -0.00*K  +0.11*E*G "
"tex_fu_utilization","2.22 -0.33*B  +0.22*E  +0.22*G  -0.00*K  -0.11*E*G "
"issue_slot_utilization","38.43 -4.27*B  +4.18*E  +4.02*G  +2.77*K  +0.88*E*G "
"warp_execution_efficiency","100 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"warp_nonpred_execution_efficiency","100 +0.00*B  -0.00*E  +0.00*G  -0.00*K  +0.00*E*G "
"Maximum work-group size","1024 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Local memory size","6144 +2048.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Private memory size","1.78 +0.00*B  -0.89*E  +1.78*G  -0.00*K  -0.89*E*G "
"Constant memory size","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Registers count","28.22 +5.33*B  -4.78*E  -1.44*G  -2.00*K  +0.89*E*G "
