"X1","X2"
"MWG","A=-1"
"NWG","B=(NWG-32)/16"
"KWG","C=-1"
"MDIMC","D=(MDIMC-12)/4"
"NDIMC","E=(NDIMC-16)/8"
"MDIMA","F=(MDIMA-12)/4"
"NDIMB","G=(NDIMB-16)/8"
"KWI","H=-1"
"VWM","J=(VWM-1.5)/0.5"
"VWN","K=(VWN-2)/1"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","A==-1 and C==-1 and D==1 and F==-1 and H==-1 and J==-1 and L==-1 and M==-1 and N==-1 and O==1 and P==-1"
"Global size","16384 -12288.00*B  -0.00*G  -0.00*K  +4096.00*(B**2)  +0.00*B*G  +0.00*B*K "
"Local size","128 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"dram_utilization","7.33 +1.00*B  +0.67*G  +0.67*K  -1.00*(B**2)  -0.00*B*G  -0.00*B*K "
"dram_read_transactions","2106048.33 -6434.00*B  +370.67*G  +142.67*K  +3452.00*(B**2)  -998.67*B*G  -879.33*B*K "
"dram_write_transactions","8193.67 +38.67*B  -9.33*G  -40.00*K  -14.00*(B**2)  +4.67*B*G  +20.00*B*K "
"l2_utilization","4 +1.17*B  -0.67*G  -0.33*K  -0.67*(B**2)  -0.00*B*G  -0.17*B*K "
"l2_read_transactions","8388813.33 -1048646.67*B  -2097093.33*G  -2097061.33*K  +1048578.67*(B**2)  -1048606.67*B*G  -1048610.67*B*K "
"l2_write_transactions","8203 +0.00*B  +0.00*G  +0.00*K  -0.00*(B**2)  -0.00*B*G  -0.00*B*K "
"tex_utilization","5.67 -0.50*B  +0.33*G  +0.33*K  -0.50*(B**2)  +0.00*B*G  +0.00*B*K "
"tex_cache_transactions","10485760 -6291456.00*B  -0.00*G  -0.00*K  +2097152.00*(B**2)  +0.00*B*G  +0.00*B*K "
"local_memory_overhead","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"shared_utilization","4.67 +0.50*B  +0.33*G  +0.33*K  -0.50*(B**2)  -0.00*B*G  -0.00*B*K "
"shared_efficiency","22.22 +1.48*B  +0.00*G  +0.00*K  -1.11*(B**2)  +0.37*B*G  -0.00*B*K "
"shared_load_transactions","4194304 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"shared_store_transactions","524288 -349525.33*B  -0.00*G  -0.00*K  +262144.00*(B**2)  -87381.33*B*G  +0.00*B*K "
"local_load_transactions","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"local_store_transactions","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"achieved_occupancy","0.53 -0.26*B  -0.00*G  +0.00*K  +0.06*(B**2)  +0.00*B*G  -0.00*B*K "
"sm_efficiency","95.26 +4.38*B  -0.22*G  +0.25*K  -2.12*(B**2)  +0.75*B*G  +0.77*B*K "
"inst_fp_16","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"inst_fp_32","268435456 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"inst_fp_64","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"inst_integer","368738304 -136551082.67*B  +4893354.67*G  -37038762.67*K  +32423936.00*(B**2)  -1048576.00*B*G  +14853461.33*B*K "
