"X1","X2"
"MWG","A=(MWG-32)/16"
"NWG","B=-1"
"KWG","C=-1"
"MDIMC","D=(MDIMC-16)/8"
"NDIMC","E=(NDIMC-12)/4"
"MDIMA","F=(MDIMA-16)/8"
"NDIMB","G=(NDIMB-12)/4"
"KWI","H=-1"
"VWM","J=(VWM-2)/1"
"VWN","K=(VWN-1.5)/0.5"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","B==-1 and C==-1 and E==1 and G==1 and H==-1 and K==-1 and L==-1 and M==-1 and N==1 and O==1 and P==-1"
"Global size","32768 -16384.00*A  +16384.00*D  +0.00*F  -0.00*J  +4096.00*(A**2)  -4096.00*A*D  -0.00*A*F  +0.00*A*J "
"Local size","256 +0.00*A  +128.00*D  -0.00*F  -0.00*J  -0.00*(A**2)  +0.00*A*D  +0.00*A*F  +0.00*A*J "
"dram_utilization","5.33 +0.67*A  -0.67*D  -0.00*F  +0.00*J  -0.83*(A**2)  +0.33*A*D  +0.17*A*F  -0.00*A*J "
"dram_read_transactions","2114056.33 -4809.33*A  +3966.67*D  +194.67*F  -60.00*J  +1562.67*(A**2)  -1610.67*A*D  -85.33*A*F  -640.00*A*J "
"dram_write_transactions","8215 +0.00*A  +0.00*D  -0.00*F  +0.00*J  +2.67*(A**2)  +2.67*A*D  -2.67*A*F  -2.67*A*J "
"l2_utilization","2.33 +1.33*A  -0.33*D  -0.67*F  -0.67*J  -0.67*(A**2)  +0.17*A*D  +0.00*A*F  -0.17*A*J "
"l2_read_transactions","5243013.33 +1310364.00*A  +0.00*D  -2097154.67*F  -2097072.00*J  +262328.00*(A**2)  +8.00*A*D  -1048613.33*A*F  -1048646.67*A*J "
"l2_write_transactions","16393 +8192.00*A  -8192.00*D  -0.00*F  -8192.00*J  -0.00*(A**2)  -4096.00*A*D  -0.00*A*F  -4096.00*A*J "
"tex_utilization","1.67 +0.00*A  -0.33*D  +0.00*F  +0.00*J  -0.17*(A**2)  +0.17*A*D  -0.00*A*F  -0.00*A*J "
"tex_cache_transactions","3145728 -786432.00*A  -0.00*D  +0.00*F  +0.00*J  +262144.00*(A**2)  +0.00*A*D  -0.00*A*F  -0.00*A*J "
"local_memory_overhead","0 +0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*(A**2)  -0.00*A*D  -0.00*A*F  -0.00*A*J "
