"X1","X2"
"MWG","A=-1"
"NWG","B=(NWG-32)/16"
"KWG","C=-1"
"MDIMC","D=(MDIMC-12)/4"
"NDIMC","E=(NDIMC-16)/8"
"MDIMA","F=(MDIMA-12)/4"
"NDIMB","G=(NDIMB-16)/8"
"KWI","H=-1"
"VWM","J=(VWM-1.5)/0.5"
"VWN","K=(VWN-2)/1"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","A==-1 and C==-1 and D==-1 and F==-1 and H==-1 and J==1 and L==-1 and M==-1 and N==-1 and O==-1 and P==-1"
"Global size","16384 -4096.00*B  +4096.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Local size","128 -0.00*B  +64.00*E  +0.00*G  +0.00*K  -0.00*E*G "
"dram_utilization","3 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"dram_read_transactions","2110572.33 -1446.67*B  +2280.00*E  +29.33*G  +0.00*K  -18.67*E*G "
"dram_write_transactions","8206.11 +5.33*B  -3.56*E  -3.56*G  -5.33*K  +1.78*E*G "
"l2_utilization","1.33 +0.33*B  -0.33*E  -0.00*G  -0.67*K  +0.00*E*G "
"l2_read_transactions","4194476.44 +3145749.33*B  -3145784.89*E  +105.78*G  -4194365.33*K  +4.44*E*G "
"l2_write_transactions","8203 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"tex_utilization","6 -0.67*B  +0.67*E  -0.00*G  +0.00*K  +0.00*E*G "
"tex_cache_transactions","33554432 -4194304.00*B  +4194304.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"local_memory_overhead","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"shared_utilization","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"shared_efficiency","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"shared_load_transactions","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"shared_store_transactions","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"local_load_transactions","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"local_store_transactions","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"achieved_occupancy","0.52 -0.13*B  +0.13*E  -0.00*G  -0.00*K  -0.00*E*G "
"sm_efficiency","94.54 -0.50*B  -3.35*E  +0.45*G  -0.05*K  +0.28*E*G "
"inst_fp_16","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_fp_32","268435456 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_fp_64","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_integer","552964096 -130454869.33*B  +130454869.33*E  -0.00*G  -7335936.00*K  +0.00*E*G "
"inst_control","-174762.67 +2097152.00*B  -2097152.00*E  -0.00*G  -2271914.67*K  +0.00*E*G "
"inst_compute_ld_st","167804928 -16777216.00*B  +16777216.00*E  +0.00*G  -33554432.00*K  -0.00*E*G "
"inst_misc","58350250.67 -6171306.67*B  +6171306.67*E  -0.00*G  -4891989.33*K  +0.00*E*G "
"inst_bit_convert","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"inst_executed","32731648 -4723114.67*B  +4723114.67*E  +0.00*G  -1501696.00*K  +0.00*E*G "
"half_precision_fu_utilization","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"single_precision_fu_utilization","3 -0.33*B  +0.33*E  -0.00*G  +0.00*K  +0.00*E*G "
"flop_sp_efficiency","7.37 -0.30*B  +0.28*E  +0.02*G  +0.37*K  +0.02*E*G "
"double_precision_fu_utilization","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"flop_dp_efficiency","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"special_fu_utilization","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"cf_fu_utilization","1 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"ldst_fu_utilization","1 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"tex_fu_utilization","4.67 -0.67*B  +0.67*E  -0.00*G  -0.33*K  +0.00*E*G "
"issue_slot_utilization","26.08 -4.08*B  +5.08*E  -0.03*G  -0.02*K  -0.03*E*G "
"warp_execution_efficiency","100 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"warp_nonpred_execution_efficiency","99.99 -0.03*B  +0.03*E  -0.00*G  -0.01*K  +0.00*E*G "
"Maximum work-group size","1024 -0.00*B  -0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Local memory size","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Private memory size","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Constant memory size","0 -0.00*B  +0.00*E  -0.00*G  -0.00*K  +0.00*E*G "
"Registers count","43.67 -1.00*B  +1.00*E  +0.00*G  +3.67*K  +0.00*E*G "
