"X1","X2"
"MWG","A=(MWG-32)/16"
"NWG","B=-1"
"KWG","C=-1"
"MDIMC","D=(MDIMC-16)/8"
"NDIMC","E=(NDIMC-12)/4"
"MDIMA","F=(MDIMA-16)/8"
"NDIMB","G=(NDIMB-12)/4"
"KWI","H=-1"
"VWM","J=(VWM-2)/1"
"VWN","K=(VWN-1.5)/0.5"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","B==-1 and C==-1 and E==1 and G==1 and H==-1 and K==-1 and L==-1 and M==-1 and N==1 and O==-1 and P==-1"
"Global size","32768 -16384.00*A  +16384.00*D  +0.00*F  -0.00*J  +4096.00*(A**2)  -4096.00*A*D  -0.00*A*F  +0.00*A*J "
"Local size","256 +0.00*A  +128.00*D  -0.00*F  -0.00*J  -0.00*(A**2)  +0.00*A*D  +0.00*A*F  +0.00*A*J "
"dram_utilization","5.33 +1.50*A  -1.33*D  +0.33*F  +0.33*J  -1.17*(A**2)  +0.67*A*D  +0.00*A*F  -0.00*A*J "
"dram_read_transactions","2113585.67 -5045.33*A  +4084.00*D  -68.00*F  -117.33*J  +2550.67*(A**2)  -1037.33*A*D  +113.33*A*F  +164.00*A*J "
"dram_write_transactions","8215 -26.67*A  -5.33*D  +5.33*F  +0.00*J  +30.67*(A**2)  +37.33*A*D  -2.67*A*F  -0.00*A*J "
"l2_utilization","2.67 +0.67*A  +0.00*D  -0.67*F  -0.67*J  -0.33*(A**2)  +0.00*A*D  +0.00*A*F  +0.00*A*J "
"l2_read_transactions","8388656 -62.67*A  +2097152.00*D  -2097152.00*F  -2097152.00*J  +524369.33*(A**2)  -524288.00*A*D  -1048652.00*A*F  -1048628.00*A*J "
"l2_write_transactions","16393 +8192.00*A  -8192.00*D  -0.00*F  -8192.00*J  -0.00*(A**2)  -4096.00*A*D  -0.00*A*F  -4096.00*A*J "
"tex_utilization","5.33 -1.83*A  +0.67*D  +0.33*F  +0.33*J  +0.33*(A**2)  +0.17*A*D  -0.17*A*F  -0.17*A*J "
"tex_cache_transactions","18874368 -8388608.00*A  +8388608.00*D  +0.00*F  -0.00*J  +2097152.00*(A**2)  -2097152.00*A*D  -0.00*A*F  +0.00*A*J "
"local_memory_overhead","0 +0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*(A**2)  -0.00*A*D  -0.00*A*F  -0.00*A*J "
