"X1","X2"
"MWG","A=(MWG-32)/16"
"NWG","B=-1"
"KWG","C=-1"
"MDIMC","D=(MDIMC-16)/8"
"NDIMC","E=(NDIMC-12)/4"
"MDIMA","F=(MDIMA-16)/8"
"NDIMB","G=(NDIMB-12)/4"
"KWI","H=-1"
"VWM","J=(VWM-2)/1"
"VWN","K=(VWN-1.5)/0.5"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","B==-1 and C==-1 and E==-1 and G==-1 and H==-1 and K==1 and L==-1 and M==-1 and N==1 and O==1 and P==-1"
"Global size","16384 -4096.00*A  +4096.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Local size","128 -0.00*A  +64.00*D  +0.00*F  +0.00*J  -0.00*D*F "
"dram_utilization","7.56 -1.33*A  +0.89*D  +0.56*F  +0.67*J  +0.22*D*F "
"dram_read_transactions","2106580.78 +2312.00*A  -440.89*D  -59.56*F  -849.33*J  +24.44*D*F "
"dram_write_transactions","8944.33 -364.67*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"l2_utilization","3.11 -0.00*A  +0.78*D  -0.56*F  -0.33*J  -0.22*D*F "
"l2_read_transactions","1573359.11 +3669856.00*A  +127.11*D  -4194358.22*F  -4194304.00*J  -54.22*D*F "
"l2_write_transactions","-35.44 +16410.67*A  -16401.78*D  -17.78*F  -16410.67*J  +8.89*D*F "
"tex_utilization","1.78 -0.33*A  +0.11*D  +0.11*F  -0.00*J  +0.11*D*F "
"tex_cache_transactions","3670016 -524288.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"local_memory_overhead","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"shared_utilization","7.44 -1.00*A  +0.44*D  +0.44*F  +0.67*J  +0.11*D*F "
"shared_efficiency","43.83 -4.43*A  +16.69*D  +0.77*F  +0.00*J  +0.45*D*F "
"shared_load_transactions","6291456 +873813.33*A  -873813.33*D  -0.00*F  -0.00*J  +0.00*D*F "
"shared_store_transactions","1616554.67 -262144.00*A  -43690.67*D  -174762.67*F  -0.00*J  +0.00*D*F "
"local_load_transactions","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"local_store_transactions","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"achieved_occupancy","0.53 -0.13*A  +0.14*D  +0.00*F  -0.00*J  -0.00*D*F "
"sm_efficiency","94.29 -6.04*A  +0.49*D  +1.09*F  -0.75*J  +0.13*D*F "
"inst_fp_16","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_fp_32","268435456 -0.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_fp_64","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_integer","244162560 -56538453.33*A  +33994069.33*D  +17825792.00*F  -516096.00*J  +524288.00*D*F "
"inst_control","2097152 -524288.00*A  +524288.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_compute_ld_st","172015616 -34603008.00*A  +29010602.67*D  +1398101.33*F  -4210688.00*J  +0.00*D*F "
"inst_misc","17921365.33 -4926122.67*A  +1611093.33*D  +1048576.00*F  +527018.67*J  -524288.00*D*F "
"inst_bit_convert","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"inst_executed","22020778.67 -3018752.00*A  +2035882.67*D  +633514.67*F  -131242.67*J  +0.00*D*F "
"half_precision_fu_utilization","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"single_precision_fu_utilization","3.89 -0.67*A  +0.56*D  +0.22*F  +0.00*J  +0.22*D*F "
"flop_sp_efficiency","18.6 -3.11*A  +2.50*D  +1.44*F  +1.42*J  +0.55*D*F "
"double_precision_fu_utilization","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"flop_dp_efficiency","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"special_fu_utilization","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"cf_fu_utilization","1 -0.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"ldst_fu_utilization","2.78 -0.67*A  +0.44*D  +0.11*F  -0.00*J  +0.11*D*F "
"tex_fu_utilization","1.78 -0.33*A  +0.11*D  +0.11*F  -0.00*J  +0.11*D*F "
"issue_slot_utilization","39.92 -7.66*A  +6.98*D  +3.62*F  +2.39*J  +1.51*D*F "
"warp_execution_efficiency","100 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"warp_nonpred_execution_efficiency","100 +0.00*A  -0.00*D  +0.00*F  -0.00*J  +0.00*D*F "
"Maximum work-group size","1024 -0.00*A  -0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Local memory size","6144 +2048.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Private memory size","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Constant memory size","0 -0.00*A  +0.00*D  -0.00*F  -0.00*J  +0.00*D*F "
"Registers count","34 +3.33*A  -3.33*D  +0.00*F  +2.00*J  -0.00*D*F "
