"X1","X2"
"MWG","A=(MWG-32)/16"
"NWG","B=(NWG-32)/16"
"KWG","C=-1"
"MDIMC","D=(MDIMC-16)/8"
"NDIMC","E=(NDIMC-16)/8"
"MDIMA","F=(MDIMA-16)/8"
"NDIMB","G=(NDIMB-16)/8"
"KWI","H=-1"
"VWM","J=(VWM-2)/1"
"VWN","K=(VWN-2)/1"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","C==-1 and H==-1 and L==-1 and M==-1 and N==1 and O==1 and P==-1"
"Global size","5305.68 -2823.78*A  -2772.83*B  +3215.11*D  +3247.42*E  -280.93*F  -314.93*G  +80.09*J  +102.22*K  +594.27*(A**2)  +579.23*(B**2)  -42.97*(D**2)  -14.47*(E**2)  +4.88*(F**2)  +566.92*A*B  -1099.46*A*D  -1021.62*B*D  -1086.91*A*E  -1076.35*B*E  +1964.99*D*E  +169.32*A*F  +165.40*B*F  -292.16*D*F  -338.55*E*F  +195.55*A*G  +211.15*B*G  -367.39*D*G  -295.19*E*G  +43.21*F*G  -5.92*A*J  +63.32*B*J  +63.21*D*J  -39.79*E*J  -23.31*F*J  -4.32*G*J  +38.47*A*K  -2.20*B*K  -6.14*D*K  +98.80*E*K  +5.42*F*K  +26.46*J*K  +355.60*A*B*D  +367.66*A*B*E  -759.05*A*D*E  -728.69*B*D*E  -99.24*A*B*F  +177.80*A*D*F  +95.24*B*D*F  +206.12*A*E*F  +120.69*B*E*F  -245.14*D*E*F  -124.90*A*B*G  +154.03*A*D*G  +244.59*B*D*G  +111.56*A*E*G  +207.70*B*E*G  -251.45*D*E*G  -23.91*A*F*G  -29.79*B*F*G  +27.93*D*F*G  +22.59*E*F*G  -53.01*A*B*J  -23.50*B*D*J  +70.46*A*E*J  -4.04*B*E*J  +82.30*D*E*J  +16.54*B*F*J  -28.61*D*F*J  -31.68*E*F*J  -8.13*A*G*J  -3.40*B*G*J  -19.75*D*G*J  -22.77*E*G*J  +5.41*F*G*J  -48.23*A*B*K  -20.19*A*D*K  +60.61*B*D*K  -33.87*A*E*K  +86.70*D*E*K  -3.25*A*F*K  -10.62*B*F*K  -15.41*D*F*K  -10.41*E*F*K  -14.25*A*J*K  -15.33*B*J*K  +5.22*D*J*K  +3.94*E*J*K  +0.54*F*J*K  +295.20*A*B*D*E  -57.15*A*B*D*F  -72.42*A*B*E*F  +150.64*A*D*E*F  +103.40*B*D*E*F  -94.79*A*B*D*G  -73.30*A*B*E*G  +123.32*A*D*E*G  +177.05*B*D*E*G  +17.87*A*B*F*G  -14.26*A*D*F*G  -19.32*B*D*F*G  -10.56*A*E*F*G  -17.10*B*E*F*G  +28.83*D*E*F*G  -13.30*A*B*E*J  -26.23*B*D*E*J  +9.52*B*D*F*J  +12.07*B*E*F*J  -22.90*D*E*F*J  +6.56*A*B*G*J  +7.51*B*D*G*J  +4.56*A*E*G*J  +11.23*B*E*G*J  -15.96*D*E*G*J  -2.98*B*F*G*J  +3.40*D*F*G*J  +4.44*E*F*G*J  -10.61*A*B*D*K  -36.36*A*D*E*K  +6.37*A*B*F*K  +9.25*A*D*F*K  +2.74*B*D*F*K  +6.25*A*E*F*K  -11.46*D*E*F*K  +9.24*A*B*J*K  -0.37*B*D*J*K  -0.59*A*E*J*K  +6.02*D*E*J*K  -1.06*B*F*J*K  -1.54*D*F*J*K  -1.04*E*F*J*K  -62.04*A*B*D*E*F  -80.02*A*B*D*E*G  +11.59*A*B*D*F*G  +10.26*A*B*E*F*G  -13.74*A*D*E*F*G  -21.04*B*D*E*F*G  +10.34*B*D*E*F*J  -2.61*A*B*E*G*J  +7.19*B*D*E*G*J  -1.93*B*D*F*G*J  -1.71*B*E*F*G*J  +4.50*D*E*F*G*J  -1.65*A*B*D*F*K  +6.88*A*D*E*F*K  +0.27*B*D*F*J*K  -1.15*D*E*F*J*K  +12.63*A*B*D*E*F*G  -2.10*B*D*E*F*G*J "
