"X1","X2"
"MWG","A=-1"
"NWG","B=(NWG-32)/16"
"KWG","C=-1"
"MDIMC","D=(MDIMC-12)/4"
"NDIMC","E=(NDIMC-16)/8"
"MDIMA","F=(MDIMA-12)/4"
"NDIMB","G=(NDIMB-16)/8"
"KWI","H=-1"
"VWM","J=(VWM-1.5)/0.5"
"VWN","K=(VWN-2)/1"
"STRM","L=-1"
"STRN","M=-1"
"SA","N=(SA-0.5)/0.5"
"SB","O=(SB-0.5)/0.5"
"PRECISION","P=-1"
"Condition","A==-1 and C==-1 and D==1 and F==-1 and H==-1 and J==-1 and L==-1 and M==-1 and N==1 and O==1 and P==-1"
"Global size","16384 -12288.00*B  -0.00*G  -0.00*K  +4096.00*(B**2)  +0.00*B*G  +0.00*B*K "
"Local size","128 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"dram_utilization","8 +1.67*B  +0.00*G  +0.00*K  -1.17*(B**2)  +0.50*B*G  +0.33*B*K "
"dram_read_transactions","2108548.33 -4145.33*B  -169.33*G  -101.33*K  +2282.00*(B**2)  -1016.67*B*G  -134.67*B*K "
"dram_write_transactions","8215 +157.33*B  -0.00*G  -0.00*K  -0.00*(B**2)  +157.33*B*G  +0.00*B*K "
"l2_utilization","4 +2.00*B  -1.00*G  -1.00*K  -1.00*(B**2)  -0.00*B*G  -0.00*B*K "
"l2_read_transactions","6291602.67 +524058.67*B  -2097058.67*G  -2097154.67*K  +524394.67*(B**2)  -1048656.00*B*G  -1048608.00*B*K "
"l2_write_transactions","8203 +0.00*B  +0.00*G  +0.00*K  -0.00*(B**2)  -0.00*B*G  -0.00*B*K "
"tex_utilization","2 +0.17*B  -0.00*G  +0.00*K  -0.17*(B**2)  +0.17*B*G  +0.17*B*K "
"tex_cache_transactions","3145728 -786432.00*B  -0.00*G  -0.00*K  +262144.00*(B**2)  +0.00*B*G  +0.00*B*K "
"local_memory_overhead","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"shared_utilization","8.33 +0.00*B  -0.00*G  +0.33*K  -0.50*(B**2)  +0.33*B*G  +0.17*B*K "
"shared_efficiency","32.14 -2.55*B  -0.00*G  -0.00*K  -0.07*(B**2)  +0.38*B*G  +0.00*B*K "
"shared_load_transactions","6291456 -1572864.00*B  -0.00*G  -0.00*K  +524288.00*(B**2)  +0.00*B*G  +0.00*B*K "
"shared_store_transactions","1048576 -742741.33*B  -0.00*G  -0.00*K  +393216.00*(B**2)  -87381.33*B*G  +0.00*B*K "
"local_load_transactions","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"local_store_transactions","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"achieved_occupancy","0.53 -0.26*B  -0.00*G  +0.00*K  +0.06*(B**2)  -0.00*B*G  -0.00*B*K "
"sm_efficiency","93.85 -0.80*B  -0.20*G  +0.37*K  -0.72*(B**2)  +1.05*B*G  -0.72*B*K "
"inst_fp_16","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"inst_fp_32","268435456 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"inst_fp_64","0 +0.00*B  +0.00*G  -0.00*K  +0.00*(B**2)  +0.00*B*G  +0.00*B*K "
"inst_integer","227530069.33 -111385258.67*B  +8388608.00*G  -3484330.67*K  +33122986.67*(B**2)  -2097152.00*B*G  -3671381.33*B*K "
