"X1","X2"
"TBX","A=(TBX-24)/16"
"TBY","B=(TBY-24)/16"
"LOCAL","C=(LOCAL-1)/1"
"WPTX","D=(WPTX-3)/2"
"WPTY","E=(WPTY-3)/2"
"VECTOR","F=(VECTOR-2)/1"
"UNROLL_FACTOR","G=(UNROLL_FACTOR-4)/3"
"PADDING","H=(PADDING-0.5)/0.5"
"TBX_XL","J=(TBX_XL-27)/19"
"TBY_XL","K=(TBY_XL-27)/19"
"Condition","G==1 and H==1"
"Global size","-772810.25 +527021.90*A  +527021.90*B  -935022.61*D  -801023.44*E  +57884.91*F  +878405.42*(D**2)  +832683.64*(E**2)  +0.00*(F**2)  +552004.39*A*D  +552004.39*B*D  +589393.28*A*E  +589393.28*B*E  +1399508.68*D*E  +16447.10*A*F  +16447.10*B*F  -15886.53*D*F  +44937.64*E*F  +526135.33*A*D*E  +526135.33*B*D*E  +15699.91*A*D*F  +15699.91*B*D*F  +57231.03*A*E*F  +57231.03*B*E*F  -13290.43*D*E*F "
"Local size","512 +256.00*A  +256.00*B  +0.00*D  +0.00*E  -0.00*F  +0.00*(D**2)  +0.00*(E**2)  +0.00*(F**2)  +0.00*A*D  +0.00*B*D  +0.00*A*E  +0.00*B*E  +0.00*D*E  -0.00*A*F  -0.00*B*F  +0.00*D*F  -0.00*E*F  +0.00*A*D*E  +0.00*B*D*E  -0.00*A*D*F  -0.00*B*D*F  -0.00*A*E*F  -0.00*B*E*F  +0.00*D*E*F "
"dram_utilization","3.05 +0.33*A  +0.49*B  +1.59*D  +1.19*E  -0.21*F  -0.21*(D**2)  -0.11*(E**2)  +0.04*(F**2)  -0.08*A*D  +0.23*B*D  +0.45*A*E  +0.59*B*E  +0.66*D*E  +0.42*A*F  +0.32*B*F  -0.02*D*F  +0.15*E*F  -0.06*A*D*E  +0.21*B*D*E  +0.05*A*D*F  +0.01*B*D*F  +0.49*A*E*F  +0.32*B*E*F  +0.02*D*E*F "
"dram_read_transactions","552571.06 -55932.27*A  -10213.14*B  -75408.25*D  +4420.06*E  -18831.48*F  +11712.50*(D**2)  -31003.14*(E**2)  +9787.17*(F**2)  -111519.66*A*D  +44182.60*B*D  -57210.19*A*E  -29484.98*B*E  -50633.15*D*E  +53162.42*A*F  -67334.34*B*F  -7050.68*D*F  +2548.07*E*F  -110433.69*A*D*E  +42094.05*B*D*E  +2198.76*A*D*F  +7496.33*B*D*F  +57643.31*A*E*F  -64833.13*B*E*F  -14108.40*D*E*F "
"dram_write_transactions","933157.17 -37468.93*A  -170474.79*B  +745463.59*D  +447588.16*E  -325166.81*F  +268256.32*(D**2)  -91498.20*(E**2)  +307315.88*(F**2)  +74012.69*A*D  -191999.02*B*D  -72844.50*A*E  -192795.65*B*E  +782399.46*D*E  -180725.58*A*F  -28172.25*B*F  -407825.09*D*F  -340000.04*E*F  +47946.72*A*D*E  -191955.58*B*D*E  -15439.17*A*D*F  -10877.51*B*D*F  -158591.90*A*E*F  -45692.89*B*E*F  +31826.86*D*E*F "
"l2_utilization","1.15 -0.38*A  -0.36*B  -0.09*D  -0.21*E  -0.15*F  -0.08*(D**2)  -0.15*(E**2)  -0.04*(F**2)  -0.51*A*D  -0.46*B*D  -0.40*A*E  -0.39*B*E  -0.61*D*E  +0.10*A*F  +0.12*B*F  +0.07*D*F  +0.12*E*F  -0.47*A*D*E  -0.45*B*D*E  -0.07*A*D*F  -0.03*B*D*F  +0.06*A*E*F  +0.05*B*E*F  -0.03*D*E*F "
"l2_read_transactions","1402081.09 +512733.73*A  +696277.93*B  -103884.49*D  -1230813.53*E  +8138.30*F  +1513215.95*(D**2)  +1330120.79*(E**2)  +42821.67*(F**2)  +807747.72*A*D  +814209.46*B*D  +810000.66*A*E  +987677.36*B*E  +2610268.55*D*E  -11222.64*A*F  -740.71*B*F  -91934.63*D*F  -114331.58*E*F  +733229.67*A*D*E  +879836.39*B*D*E  +24637.49*A*D*F  +27728.89*B*D*F  +21446.33*A*E*F  +39294.78*B*E*F  +357.37*D*E*F "
"l2_write_transactions","1015427.3 -125232.45*A  -125232.45*B  +884059.79*D  +358512.71*E  -328140.20*F  +150272.66*(D**2)  -76847.27*(E**2)  +563130.67*(F**2)  -125364.70*A*D  -125364.70*B*D  -131284.78*A*E  -131284.78*B*E  +622306.69*D*E  -37761.21*A*F  -37761.21*B*F  -517715.32*D*F  -182791.65*E*F  -99939.30*A*D*E  -99939.30*B*D*E  +2869.00*A*D*F  +2869.00*B*D*F  -68929.49*A*E*F  -68929.49*B*E*F  +104765.30*D*E*F "
"tex_utilization","0 +0.00*A  +0.00*B  +0.00*D  +0.00*E  +0.00*F  +0.00*(D**2)  -0.00*(E**2)  +0.00*(F**2)  +0.00*A*D  +0.00*B*D  -0.00*A*E  +0.00*B*E  -0.00*D*E  +0.00*A*F  +0.00*B*F  -0.00*D*F  +0.00*E*F  -0.00*A*D*E  +0.00*B*D*E  +0.00*A*D*F  +0.00*B*D*F  -0.00*A*E*F  +0.00*B*E*F  -0.00*D*E*F "
"tex_cache_transactions","0 +0.00*A  +0.00*B  +0.00*D  +0.00*E  +0.00*F  +0.00*(D**2)  -0.00*(E**2)  +0.00*(F**2)  +0.00*A*D  +0.00*B*D  -0.00*A*E  +0.00*B*E  -0.00*D*E  +0.00*A*F  +0.00*B*F  -0.00*D*F  +0.00*E*F  -0.00*A*D*E  +0.00*B*D*E  +0.00*A*D*F  +0.00*B*D*F  -0.00*A*E*F  +0.00*B*E*F  -0.00*D*E*F "
"local_memory_overhead","4.63 -1.98*A  -1.98*B  +7.69*D  +6.53*E  -0.46*F  +2.34*(D**2)  -1.21*(E**2)  +0.16*(F**2)  -1.98*A*D  -1.98*B*D  -2.07*A*E  -2.07*B*E  +11.56*D*E  -0.60*A*F  -0.60*B*F  +2.17*D*F  -2.02*E*F  -1.58*A*D*E  -1.58*B*D*E  +0.05*A*D*F  +0.05*B*D*F  -1.09*A*E*F  -1.09*B*E*F  +3.39*D*E*F "
"shared_efficiency","30.01 +1.17*A  -2.71*B  -2.40*D  -2.60*E  +3.00*F  -1.64*(D**2)  +0.98*(E**2)  +0.04*(F**2)  -3.41*A*D  +0.27*B*D  +5.80*A*E  -3.19*B*E  +1.74*D*E  +4.60*A*F  -3.17*B*F  +0.24*D*F  +1.67*E*F  -4.38*A*D*E  +0.58*B*D*E  +1.97*A*D*F  -0.28*B*D*F  +9.24*A*E*F  -3.86*B*E*F  +0.89*D*E*F "
"shared_load_transactions","-2497003.91 +298450.92*A  +1209673.64*B  -3015284.87*D  -3080003.90*E  -492200.97*F  +2046261.05*(D**2)  +1715612.59*(E**2)  +0.00*(F**2)  +1236936.67*A*D  +640011.44*B*D  -662286.93*A*E  +1423706.55*B*E  +962563.63*D*E  -859570.58*A*F  +695955.82*B*F  -160722.78*D*F  -189249.16*E*F  +1162801.55*A*D*E  +534276.51*B*D*E  -384411.14*A*D*F  +75483.63*B*D*F  -1732843.09*A*E*F  +918314.95*B*E*F  -323592.34*D*E*F "
"shared_store_transactions","1414398.62 +18407.67*A  +74671.77*B  +179831.73*D  +49110.93*E  -24163.84*F  +32499.67*(D**2)  -27434.21*(E**2)  +1024.96*(F**2)  +80699.28*A*D  +60388.15*B*D  -101189.34*A*E  +72545.98*B*E  +12579.18*D*E  -56567.02*A*F  +26154.66*B*F  +6292.40*D*F  -24635.96*E*F  +6364.99*A*D*E  +42399.61*B*D*E  -6038.30*A*D*F  +11299.01*B*D*F  -95966.67*A*E*F  +29704.72*B*E*F  +3211.02*D*E*F "
"local_load_transactions","78531.15 -44694.66*A  -44694.66*B  +122080.04*D  +125303.25*E  -25088.00*F  +53772.72*(D**2)  -27426.30*(E**2)  +15594.46*(F**2)  -44741.86*A*D  -44741.86*B*D  -46854.70*A*E  -46854.70*B*E  +216801.99*D*E  -13476.74*A*F  -13476.74*B*F  -4186.53*D*F  -67884.82*E*F  -35667.70*A*D*E  -35667.70*B*D*E  +1023.93*A*D*F  +1023.93*B*D*F  -24600.50*A*E*F  -24600.50*B*E*F  +32094.76*D*E*F "
"local_store_transactions","109688.74 -57534.93*A  -57534.93*B  +174226.37*D  +168976.83*E  -26492.01*F  +68983.30*(D**2)  -35305.56*(E**2)  +17162.71*(F**2)  -57595.68*A*D  -57595.68*B*D  -60315.52*A*E  -60315.52*B*E  +294437.50*D*E  -17348.45*A*F  -17348.45*B*F  +12041.42*D*F  -79711.96*E*F  -45914.62*A*D*E  -45914.62*B*D*E  +1318.09*A*D*F  +1318.09*B*D*F  -31667.94*A*E*F  -31667.94*B*E*F  +56666.01*D*E*F "
"achieved_occupancy","0.8 +0.01*A  +0.02*B  -0.16*D  -0.17*E  +0.01*F  -0.05*(D**2)  -0.04*(E**2)  +0.00*(F**2)  -0.00*A*D  +0.01*B*D  +0.01*A*E  +0.02*B*E  -0.11*D*E  +0.00*A*F  +0.01*B*F  -0.01*D*F  +0.01*E*F  -0.01*A*D*E  +0.00*B*D*E  -0.00*A*D*F  +0.00*B*D*F  +0.01*A*E*F  +0.01*B*E*F  -0.01*D*E*F "
"sm_efficiency","99.3 -0.04*A  -0.72*B  -0.50*D  -0.35*E  +0.15*F  +0.04*(D**2)  +0.04*(E**2)  +0.12*(F**2)  +0.04*A*D  -0.68*B*D  +0.04*A*E  -0.67*B*E  -0.27*D*E  +0.05*A*F  +0.01*B*F  -0.09*D*F  +0.05*E*F  +0.01*A*D*E  -0.67*B*D*E  +0.01*A*D*F  -0.00*B*D*F  +0.11*A*E*F  +0.04*B*E*F  -0.03*D*E*F "
"inst_fp_32","205520896 -0.00*A  -0.00*B  -0.00*D  -0.00*E  +0.00*F  -0.00*(D**2)  -0.00*(E**2)  -0.00*(F**2)  -0.00*A*D  -0.00*B*D  -0.00*A*E  -0.00*B*E  -0.00*D*E  +0.00*A*F  +0.00*B*F  +0.00*D*F  +0.00*E*F  -0.00*A*D*E  -0.00*B*D*E  +0.00*A*D*F  +0.00*B*D*F  +0.00*A*E*F  +0.00*B*E*F  +0.00*D*E*F "
"inst_fp_64","0 +0.00*A  +0.00*B  +0.00*D  +0.00*E  +0.00*F  +0.00*(D**2)  -0.00*(E**2)  +0.00*(F**2)  +0.00*A*D  +0.00*B*D  -0.00*A*E  +0.00*B*E  -0.00*D*E  +0.00*A*F  +0.00*B*F  -0.00*D*F  +0.00*E*F  -0.00*A*D*E  +0.00*B*D*E  +0.00*A*D*F  +0.00*B*D*F  -0.00*A*E*F  +0.00*B*E*F  -0.00*D*E*F "
"inst_integer","42531293.83 -1767781.62*A  -1796765.10*B  -53901673.74*D  -11765484.98*E  +6295243.29*F  +19824333.27*(D**2)  +2988093.08*(E**2)  -957098.67*(F**2)  -1894563.76*A*D  -1952530.71*B*D  -2070483.04*A*E  -2014079.82*B*E  +986888.15*D*E  +385532.14*A*F  +313161.58*B*F  -3622565.77*D*F  -907712.42*E*F  -2007666.75*A*D*E  -1894860.32*B*D*E  -118757.12*A*D*F  -140153.64*B*D*F  +497377.26*A*E*F  +374032.64*B*E*F  -1890964.80*D*E*F "
"inst_control","-772810.25 +527021.90*A  +527021.90*B  -935022.61*D  -801023.44*E  +57884.91*F  +878405.42*(D**2)  +832683.64*(E**2)  +0.00*(F**2)  +552004.39*A*D  +552004.39*B*D  +589393.28*A*E  +589393.28*B*E  +1399508.68*D*E  +16447.10*A*F  +16447.10*B*F  -15886.53*D*F  +44937.64*E*F  +526135.33*A*D*E  +526135.33*B*D*E  +15699.91*A*D*F  +15699.91*B*D*F  +57231.03*A*E*F  +57231.03*B*E*F  -13290.43*D*E*F "
"inst_compute_ld_st","-92984369.5 +24153618.13*A  +24492196.91*B  -119257698.49*D  -112893888.65*E  +14749.08*F  +90426973.22*(D**2)  +84092920.76*(E**2)  +1059498.67*(F**2)  +26379454.94*A*D  +26270180.50*B*D  +27616248.31*A*E  +28400156.14*B*E  +111668175.07*D*E  -56036.59*A*F  +284483.86*B*F  -335468.31*D*F  -1002543.62*E*F  +25409107.30*A*D*E  +25404058.96*B*D*E  +748998.92*A*D*F  +849674.53*B*D*F  +1215398.65*A*E*F  +1795763.94*B*E*F  +1420249.48*D*E*F "
