"X1","X2"
"TBX","A=(TBX-24)/16"
"TBY","B=(TBY-24)/16"
"LOCAL","C=(LOCAL-1)/1"
"WPTX","D=(WPTX-3)/2"
"WPTY","E=(WPTY-3)/2"
"VECTOR","F=(VECTOR-2)/1"
"UNROLL_FACTOR","G=(UNROLL_FACTOR-4)/3"
"PADDING","H=(PADDING-0.5)/0.5"
"TBX_XL","J=(TBX_XL-27)/19"
"TBY_XL","K=(TBY_XL-27)/19"
"Condition","G==-1 and H==-1"
"Global size","-619497.48 -128499.44*A  -128499.44*B  +40065.71*C  -1489064.79*D  -1135481.59*E  +7397.26*F  +641339.98*(D**2)  +503695.96*(E**2)  -0.00*(F**2)  -128499.44*A*C  -128499.44*B*C  -223476.95*A*D  -223476.95*B*D  +113653.34*C*D  -134374.96*A*E  -134374.96*B*E  +84759.73*C*E  +325095.94*D*E  +91861.93*A*F  +91861.93*B*F  +6531.94*C*F  +7624.42*D*F  +143365.17*E*F  -223476.95*A*C*D  -223476.95*B*C*D  -134374.96*A*C*E  -134374.96*B*C*E  -225171.42*A*D*E  -225171.42*B*D*E  +213097.96*C*D*E  +91861.93*A*C*F  +91861.93*B*C*F  +921.03*A*D*F  +921.03*B*D*F  +7987.64*C*D*F  +100905.62*A*E*F  +100905.62*B*E*F  -10023.36*C*E*F  -55198.71*D*E*F  -225171.42*A*C*D*E  -225171.42*B*C*D*E  +921.03*A*C*D*F  +921.03*B*C*D*F  +100905.62*A*C*E*F  +100905.62*B*C*E*F  +0.00*A*D*E*F  +0.00*B*D*E*F  +9186.60*C*D*E*F "
"Local size","512 +256.00*A  +256.00*B  -0.00*C  +0.00*D  -0.00*E  +0.00*F  -0.00*(D**2)  -0.00*(E**2)  -0.00*(F**2)  -0.00*A*C  -0.00*B*C  -0.00*A*D  -0.00*B*D  -0.00*C*D  -0.00*A*E  -0.00*B*E  -0.00*C*E  -0.00*D*E  +0.00*A*F  +0.00*B*F  +0.00*C*F  +0.00*D*F  +0.00*E*F  -0.00*A*C*D  -0.00*B*C*D  -0.00*A*C*E  -0.00*B*C*E  -0.00*A*D*E  -0.00*B*D*E  -0.00*C*D*E  +0.00*A*C*F  +0.00*B*C*F  +0.00*A*D*F  +0.00*B*D*F  +0.00*C*D*F  +0.00*A*E*F  +0.00*B*E*F  -0.00*C*E*F  +0.00*D*E*F  -0.00*A*C*D*E  -0.00*B*C*D*E  +0.00*A*C*D*F  +0.00*B*C*D*F  +0.00*A*C*E*F  +0.00*B*C*E*F  +0.00*A*D*E*F  +0.00*B*D*E*F  +0.00*C*D*E*F "
"dram_utilization","6.46 +0.25*A  +0.53*B  -0.32*C  -0.34*D  -0.83*E  +0.02*F  +0.02*(D**2)  -0.09*(E**2)  -0.03*(F**2)  +0.41*A*C  +0.69*B*C  +0.17*A*D  +0.73*B*D  -0.28*C*D  +0.29*A*E  +0.56*B*E  -0.77*C*E  -0.55*D*E  +0.02*A*F  -0.08*B*F  +0.06*C*F  +0.15*D*F  +0.05*E*F  +0.25*A*C*D  +0.82*B*C*D  +0.25*A*C*E  +0.52*B*C*E  +0.15*A*D*E  +0.69*B*D*E  -0.67*C*D*E  +0.09*A*C*F  -0.15*B*C*F  +0.01*A*D*F  +0.02*B*D*F  +0.18*C*D*F  +0.04*A*E*F  -0.17*B*E*F  +0.09*C*E*F  +0.24*D*E*F  +0.15*A*C*D*E  +0.70*B*C*D*E  -0.01*A*C*D*F  +0.04*B*C*D*F  +0.07*A*C*E*F  -0.15*B*C*E*F  +0.01*A*D*E*F  +0.01*B*D*E*F  +0.21*C*D*E*F "
"dram_read_transactions","6201983.44 +717471.05*A  +801919.83*B  -1982058.86*C  -1062906.86*D  -13403116.94*E  +284422.75*F  +1037867.29*(D**2)  +5242774.41*(E**2)  +173337.88*(F**2)  +1250984.13*A*C  +1340525.16*B*C  +1135898.09*A*D  +1434533.65*B*D  -2417576.09*C*D  +820941.43*A*E  +986948.68*B*E  -2271648.46*C*E  +888139.87*D*E  -262319.01*A*F  -463806.63*B*F  +251160.59*C*F  -137345.25*D*F  -572151.03*E*F  +1121331.60*A*C*D  +1355547.82*B*C*D  +1031252.94*A*C*E  +1164179.58*B*C*E  +1134798.71*A*D*E  +1412150.54*B*D*E  -1013509.33*C*D*E  -55518.39*A*C*F  -221573.66*B*C*F  +71910.54*A*D*F  +88869.24*B*D*F  -29307.47*C*D*F  -241888.68*A*E*F  -377736.62*B*E*F  -505232.28*C*E*F  +318028.02*D*E*F  +986592.35*A*C*D*E  +1302659.11*B*C*D*E  +15910.62*A*C*D*F  +52064.16*B*C*D*F  -176415.83*A*C*E*F  -341894.43*B*C*E*F  +44480.40*A*D*E*F  +48311.06*B*D*E*F  +228534.70*C*D*E*F "
"dram_write_transactions","-1095020.55 +161724.87*A  +123790.62*B  +769273.55*C  -7864961.40*D  -6513994.33*E  +71374.46*F  +4069706.16*(D**2)  +3446654.68*(E**2)  +362448.42*(F**2)  +161270.92*A*C  +127101.19*B*C  -166430.90*A*D  -242299.41*B*D  +1048666.44*C*D  +208588.86*A*E  +174401.34*B*E  +1018958.87*C*E  +3071560.96*D*E  +338174.26*A*F  +375055.42*B*F  -67998.77*C*F  -448683.17*D*F  +322171.11*E*F  -167338.81*A*C*D  -235678.27*B*C*D  +206495.38*A*C*E  +171503.83*B*C*E  -219667.11*A*D*E  -288042.16*B*D*E  +1401072.91*C*D*E  +358242.20*A*C*F  +377173.09*B*C*F  +20399.24*A*D*F  +19176.37*B*D*F  -84127.80*C*D*F  +426329.99*A*E*F  +457544.08*B*E*F  -130735.55*C*E*F  -299824.88*D*E*F  -223854.09*A*C*D*E  -293837.18*B*C*D*E  +13489.11*A*C*D*F  +14975.62*B*C*D*F  +433799.29*A*C*E*F  +460717.12*B*C*E*F  +585.05*A*D*E*F  -2311.79*B*D*E*F  -126505.00*C*D*E*F "
"l2_utilization","2.02 +0.15*A  +0.14*B  -0.53*C  +0.39*D  -0.08*E  +0.05*F  -0.18*(D**2)  +0.19*(E**2)  +0.04*(F**2)  +0.19*A*C  +0.19*B*C  -0.02*A*D  -0.03*B*D  +0.08*C*D  +0.19*A*E  +0.18*B*E  +0.42*C*E  +0.07*D*E  +0.14*A*F  +0.13*B*F  -0.13*C*F  +0.06*D*F  +0.19*E*F  -0.02*A*C*D  -0.03*B*C*D  +0.07*A*C*E  +0.06*B*C*E  -0.02*A*D*E  -0.04*B*D*E  +0.11*C*D*E  +0.16*A*C*F  +0.12*B*C*F  -0.01*A*D*F  -0.02*B*D*F  +0.20*C*D*F  +0.17*A*E*F  +0.16*B*E*F  +0.22*C*E*F  +0.03*D*E*F  +0.02*A*C*D*E  +0.00*B*C*D*E  -0.02*A*C*D*F  -0.02*B*C*D*F  +0.10*A*C*E*F  +0.06*B*C*E*F  -0.03*A*D*E*F  -0.04*B*D*E*F  +0.00*C*D*E*F "
"l2_read_transactions","15040476.75 +10877590.43*A  +11057093.01*B  -7754398.98*C  +16426344.40*D  -5254779.73*E  +1183253.53*F  +1787838.40*(D**2)  +11723846.97*(E**2)  +85011.49*(F**2)  +11641247.24*A*C  +11316643.10*B*C  +11151223.54*A*D  +11180212.70*B*D  +14494310.40*C*D  +12543912.72*A*E  +12717564.14*B*E  +22911398.78*C*E  +20584906.56*D*E  +670258.02*A*F  +636732.33*B*F  +1074969.12*C*F  +951361.63*D*F  +883523.90*E*F  +10857689.92*A*C*D  +11094422.08*B*C*D  +12355866.52*A*C*E  +12667983.73*B*C*E  +10656651.30*A*D*E  +10825703.49*B*D*E  +19814764.37*C*D*E  +600895.75*A*C*F  +775251.11*B*C*F  +431857.03*A*D*F  +413415.69*B*D*F  +972568.57*C*D*F  +1471965.69*A*E*F  +1446207.24*B*E*F  -37615.71*C*E*F  +1284752.10*D*E*F  +10729000.58*A*C*D*E  +10841121.70*B*C*D*E  +461639.29*A*C*D*F  +355635.01*B*C*D*F  +1499145.75*A*C*E*F  +1421874.53*B*C*E*F  +11438.75*A*D*E*F  -10314.04*B*D*E*F  +1587268.18*C*D*E*F "
"l2_write_transactions","-879283.35 +183020.79*A  +183022.12*B  +684824.65*C  -7500187.66*D  -6706814.44*E  -119915.60*F  +3921955.04*(D**2)  +3449836.20*(E**2)  +595878.77*(F**2)  +183256.05*A*C  +183262.69*B*C  -129018.28*A*D  -129015.61*B*D  +874589.44*C*D  +239343.27*A*E  +239344.86*B*E  +891687.93*C*E  +2689842.16*D*E  +348628.56*A*F  +348610.56*B*F  +45098.01*C*F  -551094.54*D*F  +561728.35*E*F  -128547.75*A*C*D  -128534.48*B*C*D  +239648.03*A*C*E  +239657.42*B*C*E  -164891.27*A*D*E  -164888.10*B*D*E  +1139798.05*C*D*E  +348557.09*A*C*F  +348546.07*B*C*F  +23227.85*A*D*F  +23204.87*B*D*F  -20060.90*C*D*F  +429150.92*A*E*F  +429128.38*B*E*F  +34597.52*C*E*F  -192044.19*D*E*F  -164281.76*A*C*D*E  -164262.96*B*C*D*E  +23295.23*A*C*D*F  +23286.49*B*C*D*F  +429054.42*A*C*E*F  +429042.88*B*C*E*F  -88.03*A*D*E*F  -107.10*B*D*E*F  -56373.62*C*D*E*F "
"tex_utilization","0 +0.00*A  +0.00*B  +0.00*C  +0.00*D  +0.00*E  -0.00*F  +0.00*(D**2)  -0.00*(E**2)  -0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  -0.00*D*E  -0.00*A*F  +0.00*B*F  +0.00*C*F  +0.00*D*F  +0.00*E*F  -0.00*A*C*D  -0.00*B*C*D  +0.00*A*C*E  +0.00*B*C*E  +0.00*A*D*E  +0.00*B*D*E  -0.00*C*D*E  -0.00*A*C*F  +0.00*B*C*F  +0.00*A*D*F  -0.00*B*D*F  +0.00*C*D*F  -0.00*A*E*F  -0.00*B*E*F  -0.00*C*E*F  -0.00*D*E*F  +0.00*A*C*D*E  +0.00*B*C*D*E  +0.00*A*C*D*F  +0.00*B*C*D*F  -0.00*A*C*E*F  +0.00*B*C*E*F  +0.00*A*D*E*F  +0.00*B*D*E*F  +0.00*C*D*E*F "
"tex_cache_transactions","0 +0.00*A  +0.00*B  +0.00*C  +0.00*D  +0.00*E  -0.00*F  +0.00*(D**2)  -0.00*(E**2)  -0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  -0.00*D*E  -0.00*A*F  +0.00*B*F  +0.00*C*F  +0.00*D*F  +0.00*E*F  -0.00*A*C*D  -0.00*B*C*D  +0.00*A*C*E  +0.00*B*C*E  +0.00*A*D*E  +0.00*B*D*E  -0.00*C*D*E  -0.00*A*C*F  +0.00*B*C*F  +0.00*A*D*F  -0.00*B*D*F  +0.00*C*D*F  -0.00*A*E*F  -0.00*B*E*F  -0.00*C*E*F  -0.00*D*E*F  +0.00*A*C*D*E  +0.00*B*C*D*E  +0.00*A*C*D*F  +0.00*B*C*D*F  -0.00*A*C*E*F  +0.00*B*C*E*F  +0.00*A*D*E*F  +0.00*B*D*E*F  +0.00*C*D*E*F "
"local_memory_overhead","86.21 -0.68*A  -1.34*B  +28.79*C  -2.78*D  -0.69*E  +1.08*F  -0.92*(D**2)  -0.70*(E**2)  -0.52*(F**2)  -0.92*A*C  -1.08*B*C  -1.08*A*D  -1.23*B*D  -2.53*C*D  -1.33*A*E  -1.97*B*E  -7.13*C*E  -1.79*D*E  -0.33*A*F  -0.35*B*F  +1.09*C*F  +0.23*D*F  -0.24*E*F  -0.97*A*C*D  -1.32*B*C*D  -1.35*A*C*E  -2.02*B*C*E  -0.93*A*D*E  -1.35*B*D*E  -3.81*C*D*E  -0.03*A*C*F  -0.21*B*C*F  -0.10*A*D*F  -0.09*B*D*F  -0.35*C*D*F  -0.48*A*E*F  -0.50*B*E*F  -1.11*C*E*F  -0.26*D*E*F  -0.92*A*C*D*E  -1.33*B*C*D*E  -0.22*A*C*D*F  -0.15*B*C*D*F  -0.50*A*C*E*F  -0.53*B*C*E*F  -0.01*A*D*E*F  -0.01*B*D*E*F  -0.04*C*D*E*F "
