Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,14859,4194304,64,8,8,0,2,2,2,1,0,8,8,8,53014814,35642070,3,169548704,35651593,2,139460608,50.8856,0,0,0,0,160432128,33554432,0.982065,99.9212,0,822083584,0,1962934272,209715200,1233125376,364904448,0,145227776,0,1,1.49338,0,0,0,1,1,3,6.74111,100,98.8267,1024,0,256,0,32
conv,6442,4194304,64,8,8,0,2,2,2,7,0,8,8,1,2103955,2069114,3,98698248,2097161,2,59244544,0,0,0,0,0,0,0,0.704525,99.9538,0,822083584,0,406847488,4194304,482344960,239075328,0,61079552,0,1,3.44858,0,0,0,1,1,2,6.19678,100,100,1024,0,0,0,40
conv,8679,2097152,64,8,8,0,2,4,1,1,0,8,8,8,28862301,23053839,3,118141524,25165833,3,102760448,54.6578,0,0,0,0,137887744,20971520,0.699554,100.078,0,822083584,0,1042284544,104857600,910163968,402653184,0,103415808,0,1,2.55902,0,0,0,1,1,3,7.61931,100,99.1762,1024,0,320,0,40
conv,3652,2097152,64,8,8,0,2,4,1,7,0,8,8,2,2103317,2069078,3,60882992,4194313,2,33816576,0,0,0,0,0,0,0,0.538204,99.91,0,822083584,0,264241152,2097152,287309824,115343360,0,46596096,0,1,6.10163,0,0,0,1,1,2,8.78738,100,100,1024,0,0,0,56
conv,8722,2097152,64,8,8,0,2,4,2,1,0,8,8,8,29129959,23054106,3,118144332,23068681,3,102760448,55.0566,0,0,0,0,137887744,20971520,0.70521,99.8616,0,822083584,0,1056964608,104857600,901775360,411041792,0,103874560,0,1,2.54956,0,0,0,1,1,3,7.70527,100,99.1798,1024,0,320,0,40
conv,3549,2097152,64,8,8,0,2,4,2,7,0,8,8,2,2103461,2069054,3,60883480,2097161,2,33816576,0,0,0,0,0,0,0,0.537928,99.9211,0,822083584,0,278921216,2097152,278921216,121634816,0,46989312,0,1,6.27748,0,0,0,1,1,2,9.07182,100,100,1024,0,0,0,56
conv,7787,1048576,64,8,8,0,2,8,1,1,0,8,8,7,25485396,16756477,3,89704720,18874425,2,84410368,56.8531,0,0,0,0,126615552,14680064,0.73622,100.731,0,822083584,0,717225984,52428800,744488960,525336576,0,89849856,0,1,2.86831,0,0,0,1,1,3,8.40122,100,99.5259,1024,0,448,0,38
conv,2199,1048576,64,8,8,0,2,8,1,7,0,8,8,3,2130164,2068634,4,41975856,4194313,2,21102592,0,0,0,0,0,0,0,0.362288,99.7624,0,822083584,0,203423744,1048576,185597952,87031808,0,40599552,0,2,10.1422,0,0,0,1,1,2,13.6035,100,100,768,0,0,0,80
conv,8013,1048576,64,8,8,0,2,8,2,1,0,8,8,7,21925955,16755444,3,87041860,16777225,2,84410368,57.287,0,0,0,0,126615552,14680064,0.616226,100.155,0,822083584,0,727711744,52428800,736100352,475004928,0,88342528,0,1,2.76478,0,0,0,1,1,3,7.83832,100,99.5178,1024,0,448,0,42
conv,2094,1048576,64,8,8,0,2,8,2,7,0,8,8,3,2117673,2068546,4,41976024,2097161,2,21102592,0,0,0,0,0,0,0,0.353861,99.7607,0,822083584,0,214958080,1048576,177209344,80740352,0,40501248,0,2,10.6581,0,0,0,1,1,2,14.3229,100,100,768,0,0,0,80
conv,19628,4194304,64,8,8,0,4,1,1,1,0,8,8,8,85921031,38788482,3,274319608,45088777,2,165150720,43.6571,0,0,0,0,205520896,36700160,0.683837,100.048,0,822083584,0,2403336192,205520896,1484783616,163577856,0,159776768,0,1,1.12318,0,0,0,1,1,2,5.35002,100,99.3437,1024,0,280,0,35
conv,7277,4194304,64,8,8,0,4,1,1,7,0,8,8,1,2103331,2068698,5,171573312,8388745,2,62390272,0,0,0,0,0,0,0,0.520517,99.954,0,822083584,0,255852544,4194304,515899392,184549376,0,55705600,0,1,3.05037,0,0,0,1,1,2,4.62484,100,100,1024,0,0,0,56
conv,19679,4194304,64,8,8,0,4,1,2,1,0,8,8,8,85442011,38788946,3,274319100,40894601,2,165150720,44.2388,0,0,0,0,205520896,36700160,0.685602,99.8002,0,822083584,0,2428502016,205520896,1476395008,167772160,0,160432128,0,1,1.12388,0,0,0,1,1,2,5.68842,100,99.3464,1024,0,280,0,36
conv,7172,4194304,64,8,8,0,4,1,2,7,0,8,8,1,2103331,2068830,4,171573312,4194313,2,62390272,0,0,0,0,0,0,0,0.508083,99.9548,0,822083584,0,281018368,4194304,507510784,184549376,0,56229888,0,1,3.09486,0,0,0,1,1,2,4.99224,100,100,1024,0,0,0,56
conv,19495,4194304,64,8,8,0,4,1,4,1,0,8,8,8,85439158,38788358,3,274306556,38797321,2,165150720,44.5347,0,0,0,0,205520896,36700160,0.678973,99.3172,0,822083584,0,2432696320,205520896,1472200704,171966464,0,160563200,0,1,1.1252,0,0,0,1,1,2,5.42801,100,99.3469,1024,0,280,0,36
conv,7159,4194304,64,8,8,0,4,1,4,7,0,8,8,1,2103315,2067562,4,171573312,2097161,2,62390272,0,0,0,0,0,0,0,0.505898,99.9522,0,822083584,0,285212672,4194304,503316480,192937984,0,56492032,0,1,3.10262,0,0,0,1,1,2,4.83072,100,100,1024,0,0,0,56
conv,12906,2097152,64,8,8,0,4,2,1,1,0,8,8,8,57161974,23057062,3,175773152,29360137,2,125304832,48.1499,0,0,0,0,182976512,20971520,0.730687,100.003,0,822083584,0,962592768,104857600,1082130432,199229440,0,99942400,0,1,1.71639,0,0,0,1,1,2,4.72463,100,99.1475,1024,0,320,0,39
conv,3939,2097152,64,8,8,0,4,2,1,7,0,8,8,2,2103315,2069170,5,97583304,8388617,2,33816576,0,0,0,0,0,0,0,0.534986,99.8753,0,822083584,0,184549376,2097152,287309824,100663296,0,43646976,0,1,5.65101,0,0,0,1,1,2,7.46305,100,100,1024,0,0,0,56
conv,12903,2097152,64,8,8,0,4,2,2,1,0,8,8,8,56821520,23056842,3,174246164,25165833,2,125304832,48.916,0,0,0,0,182976512,20971520,0.728551,100.203,0,822083584,0,981467136,104857600,1073741824,190840832,0,100007936,0,1,1.72346,0,0,0,1,1,2,4.7478,100,99.1481,1024,0,320,0,40
conv,3834,2097152,64,8,8,0,4,2,2,7,0,8,8,2,2103315,2069274,5,97583296,4194313,2,33816576,0,0,0,0,0,0,0,0.528179,99.9503,0,822083584,0,203423744,2097152,278921216,117440512,0,44498944,0,1,5.80943,0,0,0,1,1,2,7.87402,100,100,1024,0,0,0,56
conv,12874,2097152,64,8,8,0,4,2,4,1,0,8,8,8,56948953,23056814,3,175576968,23068681,2,125304832,49.8379,0,0,0,0,182976512,20971520,0.729606,100.024,0,822083584,0,985661440,104857600,1069547520,195035136,0,100139008,0,1,1.72242,0,0,0,1,1,2,4.81053,100,99.1492,1024,0,320,0,37
conv,3815,2097152,64,8,8,0,4,2,4,7,0,8,8,2,2103315,2067694,5,97583152,2097161,2,33816576,0,0,0,0,0,0,0,0.536522,99.7941,0,822083584,0,207618048,2097152,274726912,104857600,0,44105728,0,1,5.83226,0,0,0,1,1,2,7.93214,100,100,1024,0,0,0,56
conv,8829,1048576,64,8,8,0,4,4,1,1,0,8,8,8,37809586,15186726,3,138064564,21495945,3,105381888,56.6229,0,0,0,0,171704320,13107200,0.572647,99.9299,0,822083584,0,682622976,52428800,900726784,365953024,0,88670208,0,1,2.52559,0,0,0,1,1,3,6.69915,100,99.5196,1024,0,400,0,48
conv,2294,1048576,64,8,8,0,4,4,1,7,0,8,8,3,2103738,2068768,5,60588368,8388617,2,19529728,0,0,0,0,0,0,0,0.356498,99.4606,0,822083584,0,132120576,1048576,173015040,75497472,0,37617664,0,2,9.7403,0,0,0,1,1,2,11.8174,100,100,768,0,0,0,80
conv,9605,1048576,64,8,8,0,4,4,2,1,0,8,8,8,43166076,15185666,3,140140848,17301513,2,105381888,58.8276,0,0,0,0,171704320,13107200,0.732592,99.8216,0,822083584,0,535822336,52428800,892338176,208666624,0,78905344,0,1,2.30643,0,0,0,1,1,3,4.73647,100,99.4601,1024,0,400,0,38
conv,2180,1048576,64,8,8,0,4,4,2,7,0,8,8,3,2106889,2068986,5,60588312,4194313,2,19529728,0,0,0,0,0,0,0,0.419104,99.9445,0,822083584,0,139460608,1048576,164626432,54525952,0,36929536,0,2,10.2614,0,0,0,1,1,2,12.5466,100,100,896,0,0,0,72
conv,9727,1048576,64,8,8,0,4,4,4,1,0,8,8,8,43605897,15186290,3,140254152,15204361,2,105381888,59.7188,0,0,0,0,171704320,13107200,0.732717,99.8606,0,822083584,0,540016640,52428800,888143872,208666624,0,78905344,0,1,2.27066,0,0,0,1,1,3,4.67867,100,99.4601,1024,0,400,0,40
conv,2158,1048576,64,8,8,0,4,4,4,7,0,8,8,3,2105843,2067290,5,60588080,2097161,2,19529728,0,0,0,0,0,0,0,0.422056,100.087,0,822083584,0,143654912,1048576,160432128,39845888,0,36470784,0,2,10.3645,0,0,0,1,1,2,12.6942,100,100,896,0,0,0,72
conv,7971,524288,64,8,8,0,4,8,1,1,0,8,8,8,35397532,11274611,3,124224588,17563657,3,95420416,64.3995,0,0,0,0,166068224,9175040,0.531547,100.052,0,822083584,0,384827392,26214400,798490624,316669952,0,73596928,0,1,2.81271,0,0,0,1,1,3,6.07841,100,99.7106,1024,0,560,0,56
conv,1536,524288,64,8,8,0,4,8,1,7,0,8,8,4,2125382,2104322,6,42090544,8388617,2,12386304,0,0,0,0,0,0,0,0.243448,100.485,0,822083584,0,101711872,524288,115867648,45088768,0,33914880,0,2,14.8913,0,0,0,1,1,2,17.0507,100,100,512,0,0,0,128
conv,8250,524288,64,8,8,0,4,8,2,1,0,8,8,8,36574912,11249926,3,124343132,13369353,3,95420416,66.651,0,0,0,0,166068224,9175040,0.539213,99.5915,0,822083584,0,398458880,26214400,790102016,341835776,0,74547200,0,1,2.7015,0,0,0,1,1,3,5.96359,100,99.7143,1024,0,560,0,56
conv,1408,524288,64,8,8,0,4,8,2,7,0,8,8,4,2132319,2068764,6,42090544,4194313,2,12386304,0,0,0,0,0,0,0,0.241588,98.7829,0,822083584,0,107479040,524288,107479040,45613056,0,33849344,0,2,16.1691,0,0,0,1,1,2,18.7805,100,100,512,0,0,0,128
conv,6582,524288,64,8,8,0,4,8,4,1,0,8,8,8,26624545,11249026,4,120996612,11272201,3,95420416,66.6042,0,0,0,0,166068224,9175040,0.42311,99.8894,0,822083584,0,402653184,26214400,785907712,317718528,0,73793536,0,1,3.41466,0,0,0,1,1,3,7.61127,100,99.7114,896,0,560,0,68
conv,1367,524288,64,8,8,0,4,8,4,7,0,8,8,4,2121425,2066870,6,42090544,2097161,2,12386304,0,0,0,0,0,0,0,0.240383,99.9061,0,822083584,0,111673344,524288,103284736,45088768,0,33832960,0,2,16.8185,0,0,0,1,1,2,19.616,100,100,512,0,0,0,128
conv,19191,2097152,64,8,8,0,8,1,1,1,0,8,8,8,91061145,27759925,4,310475888,42467337,2,141295616,36.1431,0,0,0,0,205520896,25690112,0.586664,100.066,0,822083584,0,1201668096,102760448,1249902592,106954752,0,109379584,0,1,1.16909,0,0,0,1,1,2,4.26824,100,99.5207,1024,0,392,0,36
conv,5794,2097152,64,8,8,0,8,1,1,7,0,8,8,1,2103315,2068914,7,208732392,16777225,2,38535168,0,0,0,0,0,0,0,0.359503,99.7509,0,822083584,0,127926272,2097152,325058560,75497472,0,42270720,0,1,3.87916,0,0,0,1,1,2,4.94077,100,100,768,0,0,0,80
conv,19266,2097152,64,8,8,0,8,1,2,1,0,8,8,8,94054420,27766134,3,310806668,34078729,2,141295616,37.0683,0,0,0,0,205520896,25690112,0.612022,99.0311,0,822083584,0,1214251008,102760448,1241513984,102760448,0,109379584,0,1,1.14303,0,0,0,1,1,2,4.22556,100,99.5207,1024,0,392,0,36
conv,5867,2097152,64,8,8,0,8,1,2,7,0,8,8,1,2103795,2068950,7,208732696,8388617,2,38535168,0,0,0,0,0,0,0,0.364559,99.5486,0,822083584,0,140509184,2097152,316669952,79691776,0,42532864,0,1,3.83821,0,0,0,1,1,2,4.93791,100,100,768,0,0,0,80
conv,18176,2097152,64,8,8,0,8,1,4,1,0,8,8,8,87339884,27750099,4,310807048,29884425,2,141295616,37.5307,0,0,0,0,205520896,25690112,0.565202,97.729,0,822083584,0,1216348160,102760448,1237319680,98566144,0,109182976,0,1,1.2102,0,0,0,1,1,2,4.35341,100,99.5198,1024,0,392,0,36
conv,5708,2097152,64,8,8,0,8,1,4,7,0,8,8,1,2103315,2068758,7,208732352,4194313,2,38535168,0,0,0,0,0,0,0,0.359523,99.6442,0,822083584,0,144703488,2097152,312475648,60817408,0,41943040,0,1,3.94279,0,0,0,1,1,2,4.97671,100,100,768,0,0,0,80
conv,14028,1048576,64,8,8,0,8,2,1,1,0,8,8,8,67722788,16764140,3,215901748,31457289,2,118226944,45.1059,0,0,0,0,194248704,14680064,0.730886,99.7074,0,822083584,0,642777088,52428800,1002438656,59768832,0,81035264,0,1,1.5963,0,0,0,1,1,2,3.44118,100,99.4743,1024,0,448,0,40
conv,3189,1048576,64,8,8,0,8,2,1,7,0,8,8,2,2103315,2068674,8,119046344,16777225,2,21102592,0,0,0,0,0,0,0,0.301286,99.7179,0,822083584,0,92274688,1048576,185597952,71303168,0,36634624,0,1,7.08525,0,0,0,1,1,2,8.41072,100,100,640,0,0,0,96
conv,13985,1048576,64,8,8,0,8,2,2,1,0,8,8,8,67483119,16762037,3,213734596,23068681,2,118226944,46.1824,0,0,0,0,194248704,14680064,0.727634,99.8292,0,822083584,0,490733568,52428800,994050048,100663296,0,77299712,0,1,1.60187,0,0,0,1,1,2,3.05397,100,99.4489,1024,0,448,0,37
conv,3102,1048576,64,8,8,0,8,2,2,7,0,8,8,2,2103315,2069026,7,119046192,8388617,2,21102592,0,0,0,0,0,0,0,0.30084,99.7614,0,822083584,0,101711872,1048576,177209344,74448896,0,36765696,0,1,7.27395,0,0,0,1,1,2,8.6311,100,100,640,0,0,0,96
conv,14238,1048576,64,8,8,0,8,2,4,1,0,8,8,8,69039712,16762522,3,213628728,18874377,2,118226944,47.0208,0,0,0,0,194248704,14680064,0.731398,100.464,0,822083584,0,492830720,52428800,989855744,98566144,0,77168640,0,1,1.57691,0,0,0,1,1,2,2.95338,100,99.448,1024,0,448,0,40
conv,3068,1048576,64,8,8,0,8,2,4,7,0,8,8,2,2103315,2068986,7,119046352,4194313,2,21102592,0,0,0,0,0,0,0,0.29807,99.7825,0,822083584,0,104857600,1048576,173015040,76546048,0,36798464,0,1,7.36768,0,0,0,1,1,2,8.92875,100,100,640,0,0,0,96
conv,13089,524288,64,8,8,0,8,4,1,1,0,8,8,8,65765742,11329832,3,168156336,25952265,2,106692608,53.1086,0,0,0,0,188612608,9175040,0.593638,98.9116,0,822083584,0,355467264,26214400,889716736,113770496,0,69189632,0,1,1.71149,0,0,0,1,1,2,3.09252,100,99.6922,1024,0,560,0,48
conv,2274,524288,64,8,8,0,8,4,1,7,0,8,8,3,2106130,2122064,7,74203184,16777225,1,12386304,0,0,0,0,0,0,0,0.2421,99.1437,0,822083584,0,66060288,524288,115867648,38273024,0,32587776,0,2,9.79042,0,0,0,1,1,2,10.9085,100,100,512,0,0,0,128
conv,13185,524288,64,8,8,0,8,4,2,1,0,8,8,8,66687629,11252816,3,168064896,17563657,2,106692608,55.5006,0,0,0,0,188612608,9175040,0.596133,100.937,0,822083584,0,362807296,26214400,881328128,112721920,0,69124096,0,1,1.72125,0,0,0,1,1,2,3.0466,100,99.6919,1024,0,560,0,48
