Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,17276,4194304,64,8,8,0,2,2,2,7,0,8,8,2,2363457,2106777,4,99087402,2097154,4,59244544,0,0,0,0,0,0,0,0.720565,99.9827,822083584,0,406847488,4194304,482344960,243269632,0,61210624,2,7.79493,0,0,0,1,1,4,14.0812,100,100,1024,0,0,0,40
conv,23126,2097152,64,8,8,0,2,4,1,1,0,8,8,6,7690713,21702989,4,130347644,25165826,5,102760448,58.0127,0,0,0,0,137887744,20971520,0.718356,99.991,822083584,0,1042284544,104857600,910163968,390070272,0,103022592,2,5.84288,0,0,0,1,1,6,17.5005,100,99.173,1024,0,320,0,37
conv,11520,2097152,64,8,8,0,2,4,1,7,0,8,8,2,2363765,2109009,3,61144174,4194306,4,33816576,0,0,0,0,0,0,0,0.540527,99.978,822083584,0,264241152,2097152,287309824,125829120,0,46923776,2,11.6802,0,0,0,1,1,4,17.1369,100,100,1024,0,0,0,56
conv,22419,2097152,64,8,8,0,2,4,2,1,0,8,8,6,7734459,21437197,4,130347736,23068674,5,102760448,58.8084,0,0,0,0,137887744,20971520,0.70855,99.9872,822083584,0,1056964608,104857600,901775360,402653184,0,103612416,2,5.98294,0,0,0,1,1,6,18.0123,100,99.1777,1024,0,320,0,38
conv,10494,2097152,64,8,8,0,2,4,2,7,0,8,8,2,2363905,2109061,4,61144330,2097154,4,33816576,0,0,0,0,0,0,0,0.538556,99.9824,822083584,0,278921216,2097152,278921216,123731968,0,47054848,2,12.8284,0,0,0,1,1,4,18.7225,100,100,1024,0,0,0,56
conv,22859,1048576,64,8,8,0,2,8,1,1,0,8,8,5,10673821,16762147,3,105545226,18874370,4,84410368,62.8134,0,0,0,0,126615552,14680064,0.746105,99.9758,822083584,0,717225984,52428800,744488960,522190848,0,89751552,2,5.85026,0,0,0,1,1,5,16.9356,100,99.5254,1024,0,448,0,40
conv,8572,1048576,64,8,8,0,2,8,1,7,0,8,8,2,2161936,2104289,3,41977724,4194306,3,21102592,0,0,0,0,0,0,0,0.349833,99.9609,822083584,0,203423744,1048576,185597952,88080384,0,40632320,2,15.7254,0,0,0,1,1,3,20.989,100,100,768,0,0,0,80
conv,27763,1048576,64,8,8,0,2,8,2,1,0,8,8,4,10932035,16767334,3,105804928,16777218,4,84410368,63.8926,0,0,0,0,126615552,14680064,0.730949,99.9727,822083584,0,727711744,52428800,736100352,526385152,0,89948160,2,4.75196,0,0,0,1,1,4,13.5626,100,99.5264,1024,0,448,0,40
conv,7374,1048576,64,8,8,0,2,8,2,7,0,8,8,3,2155423,2108605,4,42107844,2097154,4,21102592,0,0,0,0,0,0,0,0.355883,99.8908,822083584,0,214958080,1048576,177209344,83886080,0,40599552,3,18.2722,0,0,0,1,1,4,24.4521,100,100,768,0,0,0,80
conv,47625,4194304,64,8,8,0,4,1,1,1,0,8,8,4,6134199,30102618,4,275112814,45088770,4,165150720,43.6602,0,0,0,0,205520896,36700160,0.721439,99.9868,822083584,0,2403336192,205520896,1484783616,159383552,0,159645696,2,2.82398,0,0,0,1,1,5,13.6751,100,99.3432,1024,0,280,0,35
conv,28331,4194304,64,8,8,0,4,1,1,7,0,8,8,1,2622827,2106909,4,172092796,8388610,3,62390272,0,0,0,0,0,0,0,0.459298,99.9883,822083584,0,255852544,4194304,515899392,201326592,0,56229888,1,4.74908,0,0,0,1,1,3,7.43955,100,100,1024,0,0,0,56
conv,47469,4194304,64,8,8,0,4,1,2,1,0,8,8,4,6214447,29850869,4,274983420,40894466,4,165150720,44.2412,0,0,0,0,205520896,36700160,0.727995,99.9909,822083584,0,2428502016,205520896,1476395008,167772160,0,160432128,2,2.83515,0,0,0,1,1,5,14.4521,100,99.3464,1024,0,280,0,36
conv,28104,4194304,64,8,8,0,4,1,2,7,0,8,8,1,2493049,2106865,4,171963058,4194306,3,62390272,0,0,0,0,0,0,0,0.456197,99.9887,822083584,0,281018368,4194304,507510784,188743680,0,56360960,1,4.79274,0,0,0,1,1,3,7.75245,100,100,1024,0,0,0,56
conv,47481,4194304,64,8,8,0,4,1,4,1,0,8,8,4,6431931,29714775,4,275112870,38797314,4,165150720,44.5375,0,0,0,0,205520896,36700160,0.729166,99.9898,822083584,0,2432696320,205520896,1472200704,167772160,0,160432128,2,2.83289,0,0,0,1,1,5,13.6889,100,99.3464,1024,0,280,0,36
conv,27990,4194304,64,8,8,0,4,1,4,7,0,8,8,1,2493055,2106109,4,172092700,2097154,3,62390272,0,0,0,0,0,0,0,0.450115,99.9919,822083584,0,285212672,4194304,503316480,205520896,0,56885248,1,4.79954,0,0,0,1,1,3,7.59178,100,100,1024,0,0,0,56
conv,31163,2097152,64,8,8,0,4,2,1,1,0,8,8,4,8060276,20685289,4,189591180,29360130,5,125304832,51.4851,0,0,0,0,182976512,20971520,0.721481,99.9742,822083584,0,962592768,104857600,1082130432,293601280,0,102891520,2,4.30938,0,0,0,1,1,5,13.0415,100,99.172,1024,0,320,0,39
conv,15732,2097152,64,8,8,0,4,2,1,7,0,8,8,2,2262051,2106837,4,97770484,8388610,3,33816576,0,0,0,0,0,0,0,0.532137,99.9788,822083584,0,184549376,2097152,287309824,96468992,0,43515904,2,8.54178,0,0,0,1,1,3,11.3117,100,100,1024,0,0,0,56
conv,31036,2097152,64,8,8,0,4,2,2,1,0,8,8,4,8018469,20670554,4,189591388,25165826,5,125304832,52.4931,0,0,0,0,182976512,20971520,0.708545,99.9721,822083584,0,981467136,104857600,1073741824,287309824,0,103022592,2,4.32856,0,0,0,1,1,6,13.0557,100,99.173,1024,0,320,0,40
conv,15398,2097152,64,8,8,0,4,2,2,7,0,8,8,2,2233623,2106877,4,97713576,4194306,3,33816576,0,0,0,0,0,0,0,0.516129,99.976,822083584,0,203423744,2097152,278921216,113246208,0,44367872,2,8.75021,0,0,0,1,1,3,11.856,100,100,1024,0,0,0,56
conv,30805,2097152,64,8,8,0,4,2,4,1,0,8,8,4,7957458,20623388,4,189591196,23068674,5,125304832,53.012,0,0,0,0,182976512,20971520,0.715202,99.9835,822083584,0,985661440,104857600,1069547520,297795584,0,103350272,2,4.36516,0,0,0,1,1,6,13.3762,100,99.1756,1024,0,320,0,37
conv,15323,2097152,64,8,8,0,4,2,4,7,0,8,8,2,2363361,2105845,4,97973106,2097154,3,33816576,0,0,0,0,0,0,0,0.515967,99.9786,822083584,0,207618048,2097152,274726912,115343360,0,44433408,2,8.78766,0,0,0,1,1,3,12.0409,100,100,1024,0,0,0,56
conv,23948,1048576,64,8,8,0,4,4,1,1,0,8,8,4,6847248,14302342,4,146831806,21495810,5,105381888,58.9268,0,0,0,0,171704320,13107200,0.600898,99.9759,822083584,0,682622976,52428800,900726784,311427072,0,86966272,2,5.60098,0,0,0,1,1,6,14.892,100,99.5102,1024,0,400,0,48
conv,10312,1048576,64,8,8,0,4,4,1,7,0,8,8,2,2104307,2104753,4,60664488,8388610,2,19529728,0,0,0,0,0,0,0,0.352438,99.9696,822083584,0,132120576,1048576,173015040,81788928,0,37814272,2,13.0786,0,0,0,1,1,3,16.1698,100,100,768,0,0,0,80
conv,23978,1048576,64,8,8,0,4,4,2,1,0,8,8,5,9216295,14956748,4,146701866,17301506,5,105381888,60.4363,0,0,0,0,171704320,13107200,0.739849,99.9544,822083584,0,535822336,52428800,892338176,203423744,0,78741504,2,5.59756,0,0,0,1,1,6,11.5646,100,99.459,1024,0,400,0,38
conv,9592,1048576,64,8,8,0,4,4,2,7,0,8,8,2,2234085,2106949,4,60849378,4194306,3,19529728,0,0,0,0,0,0,0,0.417311,99.9482,822083584,0,139460608,1048576,164626432,62914560,0,37191680,2,14.0198,0,0,0,1,1,3,17.4625,100,100,896,0,0,0,72
conv,23900,1048576,64,8,8,0,4,4,4,1,0,8,8,5,9099905,14928072,4,146831234,15204354,5,105381888,61.2204,0,0,0,0,171704320,13107200,0.743579,99.9557,822083584,0,540016640,52428800,888143872,206569472,0,78839808,2,5.63366,0,0,0,1,1,6,11.9338,100,99.4597,1024,0,400,0,40
conv,9461,1048576,64,8,8,0,4,4,4,7,0,8,8,2,2234103,2108485,4,60719600,2097154,3,19529728,0,0,0,0,0,0,0,0.414702,99.938,822083584,0,143654912,1048576,160432128,47185920,0,36700160,2,14.2423,0,0,0,1,1,3,17.5959,100,100,896,0,0,0,72
conv,21043,524288,64,8,8,0,4,8,1,1,0,8,8,4,6584723,11087422,4,125386218,17563650,5,95420416,64.6228,0,0,0,0,166068224,9175040,0.48298,99.8999,822083584,0,384827392,26214400,798490624,393740288,0,76005376,2,6.3825,0,0,0,1,1,6,14.4606,100,99.7198,1024,0,560,0,64
conv,8380,524288,64,8,8,0,4,8,1,7,0,8,8,3,2431214,2107465,4,42352762,8388610,2,12386304,0,0,0,0,0,0,0,0.242294,99.8595,822083584,0,101711872,524288,115867648,44564480,0,33898496,2,16.0527,0,0,0,1,1,2,18.4949,100,100,512,0,0,0,128
