Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,40989,33554432,64,1,0,0,0,2,32,2,64,1,5,34075337,8417233,1,34208245,8388612,1,8388608,0,0,0,0,0,0,0,0.925536,99.9948,33554432,0,2013528000,167772160,134217728,301989888,67108864,105906176,2,0,0,0,1,1,1,1,13.0259,100,80.2058,1024,0,0,0,23
mtran,13041,67108864,128,1,0,0,0,2,64,2,64,0,6,8650153,8398877,2,33821227,8388612,1,8388608,0,0,0,0,0,0,0,0.916475,99.9872,0,0,939524096,67108864,134217728,335544320,0,46137344,2,0,0,0,0,1,1,2,18.5081,100,100,1024,0,0,0,7
mtran,40550,67108864,128,1,0,0,0,2,64,2,64,1,5,34075589,8408675,1,34088865,8388612,1,8388608,0,0,0,0,0,0,0,0.831691,99.9962,67108864,0,2483552128,67108864,134217728,402653184,134217728,109051904,2,0,0,0,1,1,1,1,13.5522,100,94.2458,1024,0,0,0,9
mtran,18377,67108864,32,1,0,0,0,4,8,4,8,0,4,8650445,8394693,2,17043011,33554436,1,8388608,0,0,0,0,0,0,0,0.458231,99.9864,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,1,13.1506,100,100,1024,0,0,0,7
mtran,27137,67108864,32,1,0,0,0,4,8,4,8,1,4,17280095,8416398,1,17302981,33554436,1,8388608,0,0,0,0,0,0,0,0.475845,99.9945,67108864,0,2483093472,67108864,134217728,402653184,134217728,109051904,2,0,0,0,1,1,1,1,20.2009,100,94.2326,1024,0,0,0,9
mtran,18562,33554432,32,1,0,0,0,4,8,4,16,0,4,8650393,8394693,2,17042731,33554436,1,8388608,0,0,0,0,0,0,0,0.482458,99.9909,0,0,1241513984,167772160,134217728,268435456,0,74448896,2,0,0,0,0,1,1,1,20.4115,100,76.0563,1024,0,0,0,23
mtran,24806,33554432,32,1,0,0,0,4,8,4,16,1,5,17046191,8412265,2,17057975,33554436,1,8388608,0,0,0,0,0,0,0,0.488001,99.9939,33554432,0,2013331424,167772160,134217728,301989888,67108864,105906176,2,0,0,0,1,1,1,1,21.4484,100,80.2,1024,0,0,0,23
mtran,18310,16777216,32,1,0,0,0,4,8,4,32,0,4,8650401,8396209,2,17043083,33554436,1,8388608,0,0,0,0,0,0,0,0.491596,99.9882,0,0,671088640,117440512,134217728,167772160,0,35651584,1,0,0,0,0,1,1,1,9.74274,100,95.5882,1024,0,0,0,23
mtran,22723,16777216,32,1,0,0,0,4,8,4,32,1,5,17038871,8410132,2,17115803,33554436,1,8388608,0,0,0,0,0,0,0,0.493689,99.992,16777216,0,1057030112,117440512,134217728,184549376,33554432,51380224,1,0,0,0,1,1,1,1,11.3175,100,93.8815,1024,0,0,0,23
mtran,18308,8388608,32,1,0,0,0,4,8,4,64,0,4,8650465,8396465,2,17043159,33554436,1,8388608,0,0,0,0,0,0,0,0.49569,99.984,0,0,419430400,58720256,134217728,92274688,0,22544384,1,0,0,0,0,1,1,1,6.21939,100,97.6744,1024,0,0,0,23
mtran,22612,8388608,32,1,0,0,0,4,8,4,64,1,5,17038939,8412596,2,17171919,33554436,1,8388608,0,0,0,0,0,0,0,0.496652,99.9907,8388608,0,612433888,58720256,134217728,100663296,16777216,30408704,1,0,0,0,1,1,1,1,6.72063,100,95.6964,1024,0,0,0,23
mtran,18291,67108864,64,1,0,0,0,4,16,4,16,0,4,8650233,8394731,2,17172403,33554436,1,8388608,0,0,0,0,0,0,0,0.911851,99.991,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,1,13.2009,100,100,1024,0,0,0,7
mtran,24946,67108864,64,1,0,0,0,4,16,4,16,1,5,17038827,8411775,2,17042987,33554436,1,8388608,0,0,0,0,0,0,0,0.857881,99.9928,67108864,0,2483158976,67108864,134217728,402653184,134217728,109051904,2,0,0,0,1,1,1,1,21.9694,100,94.2345,1024,0,0,0,9
mtran,18285,33554432,64,1,0,0,0,4,16,4,32,0,4,8650137,8396361,2,17042431,33554436,1,8388608,0,0,0,0,0,0,0,0.934799,99.9914,0,0,1241513984,167772160,134217728,268435456,0,74448896,2,0,0,0,0,1,1,1,20.7119,100,76.0563,1024,0,0,0,23
mtran,23110,33554432,64,1,0,0,0,4,16,4,32,1,5,17038859,8416781,2,17172223,33554436,1,8388608,0,0,0,0,0,0,0,0.901176,99.9925,33554432,0,2013396928,167772160,134217728,301989888,67108864,105906176,2,0,0,0,1,1,1,1,23.1302,100,80.2019,1024,0,0,0,23
mtran,18295,16777216,64,1,0,0,0,4,16,4,64,0,4,8650397,8396609,2,17042143,33554436,1,8388608,0,0,0,0,0,0,0,0.923936,99.991,0,0,671088640,117440512,134217728,167772160,0,35651584,1,0,0,0,0,1,1,1,9.74824,100,95.5882,1024,0,0,0,23
mtran,23071,16777216,64,1,0,0,0,4,16,4,64,1,5,17298365,8412193,2,17301693,33554436,1,8388608,0,0,0,0,0,0,0,0.830025,99.9917,16777216,0,1057095616,117440512,134217728,184549376,33554432,51380224,1,0,0,0,1,1,1,1,11.0085,100,93.8855,1024,0,0,0,23
mtran,18222,67108864,128,1,0,0,0,4,32,4,32,0,4,8780313,8398413,2,17044519,33554436,1,8388608,0,0,0,0,0,0,0,0.893167,99.9912,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,1,13.2503,100,100,1024,0,0,0,7
mtran,23056,67108864,128,1,0,0,0,4,32,4,32,1,5,17038967,8419917,2,17173363,33554436,1,8388608,0,0,0,0,0,0,0,0.854304,99.9929,67108864,0,2483289984,67108864,134217728,402653184,134217728,109051904,3,0,0,0,1,1,1,1,23.9695,100,94.2383,1024,0,0,0,9
mtran,18249,33554432,128,1,0,0,0,4,32,4,64,0,4,8650161,8396933,2,17043619,33554436,1,8388608,0,0,0,0,0,0,0,0.920161,99.9904,0,0,1241513984,167772160,134217728,268435456,0,74448896,2,0,0,0,0,1,1,1,20.7539,100,76.0563,1024,0,0,0,23
mtran,23131,33554432,128,1,0,0,0,4,32,4,64,1,5,17038775,8405459,2,17042431,33554436,1,8388608,0,0,0,0,0,0,0,0.892337,99.9903,33554432,0,2013527936,167772160,134217728,301989888,67108864,105906176,2,0,0,0,1,1,1,1,23.1353,100,80.2058,1024,0,0,0,23
mtran,18270,67108864,256,1,0,0,0,4,64,4,64,0,4,8650213,8396917,2,17044267,33554436,1,8388608,0,0,0,0,0,0,0,0.864959,99.9903,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,1,13.2177,100,100,1024,0,0,0,7
mtran,22883,67108864,256,1,0,0,0,4,64,4,64,1,5,17039111,8398122,2,17056615,33554436,1,8388608,0,0,0,0,0,0,0,0.815776,99.9928,67108864,0,2483552000,67108864,134217728,402653184,134217728,109051904,3,0,0,0,1,1,1,1,24.1603,100,94.2458,1024,0,0,0,9
