"X1","X2"
"VECTOR_TYPE","A=(VECTOR_TYPE-2)/1"
"CR","B=(CR-0.5)/0.5"
"LOCAL_MEM","C=(LOCAL_MEM-0.5)/0.5"
"PADD_LOCAL","D=(PADD_LOCAL-0.5)/0.5"
"WORK_GROUP_SIZE_X","E=(WORK_GROUP_SIZE_X-8)/7"
"WORK_GROUP_SIZE_Y","F=(WORK_GROUP_SIZE_Y-8)/7"
"TILE_SIZE_X","G=(TILE_SIZE_X-8)/7"
"TILE_SIZE_Y","H=(TILE_SIZE_Y-8)/7"
"DIAGONAL_MAP","J=(DIAGONAL_MAP-0.5)/0.5"
"Condition","B==1 and C==-1 and D==-1 and J==1"
"Global size","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"Local size","64 -0.00*A  +56.00*E  +56.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +49.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"dram__throughput.avg.pct_of_peak_sustained_elapsed","46.44 +4.48*A  +13.20*E  -1.17*F  -4.39*H  -2.93*(A**2)  -3.69*(E**2)  -4.09*(F**2)  +0.38*(H**2)  +13.29*A*E  +3.41*A*F  +0.03*E*F  +2.27*A*H  +1.53*E*H  +4.73*F*H  +0.60*A*E*F  -4.08*A*E*G  -1.34*A*E*H  -0.63*A*F*H "
"dram__sectors_read.sum","8479897.86 -65030.24*A  +253663.44*E  +3243098.31*F  -2505019.29*H  +18193.33*(A**2)  -69290.00*(E**2)  +3635051.05*(F**2)  +767059.61*(H**2)  +539971.50*A*E  +1319625.12*A*F  -492403.47*E*F  +193229.38*A*H  +401044.52*E*H  -4627126.65*F*H  -1018225.50*A*E*F  -139211.66*A*E*G  +825904.41*A*E*H  -437492.74*A*F*H "
"dram__sectors_write.sum","7040416.43 -1198324.29*A  -12783357.23*E  -121.19*F  +247.46*H  +1048565.00*(A**2)  +3843185.43*(E**2)  -24.50*(F**2)  -82.69*(H**2)  +7401193.75*A*E  +195.45*A*F  -52.03*E*F  -69.79*A*H  +21.50*E*H  +79.29*F*H  -66.38*A*E*F  -1967484.59*A*E*G  +16.81*A*E*H  -48.99*A*F*H "
"lts__t_sectors.avg.pct_of_peak_sustained_elapsed","12.66 +2.19*A  +5.05*E  -8.31*F  -12.73*H  -0.96*(A**2)  -1.42*(E**2)  -0.88*(F**2)  +3.39*(H**2)  +3.80*A*E  -5.98*A*F  -0.32*E*F  +0.47*A*H  +0.56*E*H  +3.50*F*H  -0.09*A*E*F  -1.34*A*E*G  +0.02*A*E*H  +1.87*A*F*H "
"lts__t_sectors_op_read.sum","8387398.75 +3698.33*A  +293980.72*E  -11132085.93*F  -19362867.92*H  +6537.08*(A**2)  -85633.68*(E**2)  +4151063.92*(F**2)  +5649288.26*(H**2)  +586938.06*A*E  -9314586.24*A*F  -644383.56*E*F  +8431.25*A*H  +537357.40*E*H  -906492.86*F*H  -1288361.28*A*E*F  -170948.78*A*E*G  +1074322.75*A*E*H  +2713276.99*A*F*H "
"lts__t_sectors_op_write.sum","7040473.93 -1198360.95*A  -12783907.25*E  +19.28*F  -10.50*H  +1048565.83*(A**2)  +3843326.50*(E**2)  +14.29*(F**2)  +3.06*(H**2)  +7401205.11*A*E  -61.56*A*F  -3.31*E*F  -0.00*A*H  +1.49*E*H  -18.40*F*H  -8.37*A*E*F  -1967545.97*A*E*G  +8.93*A*E*H  +17.65*A*F*H "
"l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active","1.04 +0.18*A  +0.51*E  +0.07*F  -0.06*H  -0.08*(A**2)  -0.14*(E**2)  -0.18*(F**2)  -0.01*(H**2)  +0.24*A*E  +0.00*A*F  -0.01*E*F  +0.04*A*H  +0.03*E*H  +0.17*F*H  +0.02*A*E*F  -0.09*A*E*G  -0.02*A*E*H  +0.01*A*F*H "
"l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","2097150 -0.00*A  -0.00*E  -0.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  +0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  -0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  -0.00*A*F*H "
"l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed","1.18 -0.29*A  +0.45*E  +1.19*F  -1.33*H  -0.02*(A**2)  -0.14*(E**2)  -0.03*(F**2)  +0.30*(H**2)  -0.03*A*E  -0.24*A*F  +0.02*E*F  +0.09*A*H  +0.02*E*H  -0.26*F*H  -0.05*A*E*F  -0.05*A*E*G  +0.05*A*E*H  +0.07*A*F*H "
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"sm__warps_active.avg.pct_of_peak_sustained_active","96.26 +1.16*A  +5.78*E  +6.28*F  -0.99*H  -0.27*(A**2)  -2.13*(E**2)  -0.59*(F**2)  +0.42*(H**2)  +0.33*A*E  +7.74*A*F  -1.59*E*F  -0.00*A*H  -0.07*E*H  -1.36*F*H  -0.15*A*E*F  +0.11*A*E*G  -0.37*A*E*H  -2.36*A*F*H "
"smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","99.82 -0.02*A  +1.60*E  +1.64*F  -0.61*H  +0.04*(A**2)  -0.46*(E**2)  -0.34*(F**2)  +0.17*(H**2)  -0.74*A*E  -1.06*A*F  -0.58*E*F  -0.01*A*H  +0.03*E*H  -0.12*F*H  +0.22*A*E*F  +0.21*A*E*G  +0.06*A*E*H  +0.31*A*F*H "
"smsp__sass_thread_inst_executed_op_fp16_pred_on.sum","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"smsp__sass_thread_inst_executed_op_fp32_pred_on.sum","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"smsp__sass_thread_inst_executed_op_fp64_pred_on.sum","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"smsp__sass_thread_inst_executed_op_integer_pred_on.sum","785024750 -374129166.67*A  +713817.20*E  +451925713.71*F  -479598304.17*H  +107149583.33*(A**2)  -1334579.93*(E**2)  -47954802.78*(F**2)  +104686492.36*(H**2)  +1682615.64*A*E  -85930630.91*A*F  -7748306.93*E*F  +30495770.83*A*H  +7206392.35*E*H  -48649355.04*F*H  -13991966.29*A*E*F  -2368011.59*A*E*G  +12909078.97*A*E*H  +16164532.97*A*F*H "
