"X1","X2"
"VECTOR_TYPE","A=(VECTOR_TYPE-2)/1"
"CR","B=(CR-0.5)/0.5"
"LOCAL_MEM","C=(LOCAL_MEM-0.5)/0.5"
"PADD_LOCAL","D=(PADD_LOCAL-0.5)/0.5"
"WORK_GROUP_SIZE_X","E=(WORK_GROUP_SIZE_X-8)/7"
"WORK_GROUP_SIZE_Y","F=(WORK_GROUP_SIZE_Y-8)/7"
"TILE_SIZE_X","G=(TILE_SIZE_X-8)/7"
"TILE_SIZE_Y","H=(TILE_SIZE_Y-8)/7"
"DIAGONAL_MAP","J=(DIAGONAL_MAP-0.5)/0.5"
"Condition","B==-1 and C==1 and D==1 and J==-1"
"Global size","67108864 +0.00*E  +58720256.00*F  -58720256.00*H  -0.00*(E**2)  +0.00*(F**2)  +12845056.00*(H**2)  +0.00*E*F  -0.00*E*H  -12845056.00*F*H "
"Local size","64 +56.00*E  +56.00*F  +0.00*H  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +49.00*E*F  -0.00*E*H  +0.00*F*H "
"dram__throughput.avg.pct_of_peak_sustained_elapsed","40.03 +1.54*E  -15.36*F  +13.78*H  -0.47*(E**2)  -1.39*(F**2)  -1.62*(H**2)  -0.25*E*F  +0.25*E*H  +6.31*F*H "
"dram__sectors_read.sum","8388800 -162.17*E  -1014.42*F  +756.00*H  +31.99*(E**2)  +99.36*(F**2)  -234.11*(H**2)  +79.11*E*F  +13.61*E*H  +204.17*F*H "
"dram__sectors_write.sum","8377540 +393.75*E  -5680.50*F  -151837.58*H  +13.61*(E**2)  +379.07*(F**2)  +45159.63*(H**2)  -24.67*E*F  -124.20*E*H  +1279.44*F*H "
"lts__t_sectors.avg.pct_of_peak_sustained_elapsed","9.29 -20.68*E  -0.44*F  -17.13*H  +6.25*(E**2)  -0.33*(F**2)  +5.55*(H**2)  -0.06*E*F  -0.16*E*H  +0.56*F*H "
"lts__t_sectors_op_read.sum","8388700 -21869418.67*E  -205.33*F  -18.67*H  +6378580.44*(E**2)  +59.89*(F**2)  +5.44*(H**2)  +74.86*E*F  +0.00*E*H  -0.00*F*H "
"lts__t_sectors_op_write.sum","8388700 -20.42*E  -14.58*F  -23486471.17*H  +0.00*(E**2)  +0.00*(F**2)  +6850219.06*(H**2)  +4.25*E*F  +1.70*E*H  -0.00*F*H "
"l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active","0.75 +0.07*E  -0.02*F  +0.05*H  -0.00*(E**2)  -0.02*(F**2)  +0.03*(H**2)  +0.01*E*F  -0.01*E*H  +0.03*F*H "
"l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","2097150 +0.00*E  +0.00*F  +0.00*H  -0.00*(E**2)  +0.00*(F**2)  +0.00*(H**2)  -0.00*E*F  -0.00*E*H  +0.00*F*H "
"l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed","5 +0.58*E  +1.60*F  +0.49*H  -0.00*(E**2)  -0.02*(F**2)  -0.17*(H**2)  -0.02*E*F  -0.28*E*H  -0.23*F*H "
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum","4194300 +1223340.42*E  +33903.33*F  +4737124.58*H  -0.00*(E**2)  +39553.89*(F**2)  -1560064.72*(H**2)  -0.00*E*F  -356807.62*E*H  -49442.36*F*H "
"l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum","4194300 -122333.75*E  +10609.67*F  -10609.67*H  -142722.71*(E**2)  +12377.94*(F**2)  +3094.49*(H**2)  -0.00*E*F  +0.00*E*H  -15472.43*F*H "
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"sm__warps_active.avg.pct_of_peak_sustained_active","93.92 -1.75*E  -6.50*F  +8.83*H  +0.43*(E**2)  -1.62*(F**2)  -2.36*(H**2)  +0.41*E*F  +0.15*E*H  +3.01*F*H "
"smsp__cycles_active.avg.pct_of_peak_sustained_elapsed","99.96 +2.25*E  +2.99*F  -0.71*H  -0.67*(E**2)  -0.76*(F**2)  +0.20*(H**2)  -0.83*E*F  +0.01*E*H  -0.10*F*H "
"smsp__sass_thread_inst_executed_op_fp16_pred_on.sum","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__sass_thread_inst_executed_op_fp32_pred_on.sum","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__sass_thread_inst_executed_op_fp64_pred_on.sum","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__sass_thread_inst_executed_op_integer_pred_on.sum","2885680000 +0.00*E  +2061078133.33*F  -1998442133.33*H  -0.00*(E**2)  -38821066.67*(F**2)  +430165691.67*(H**2)  +0.00*E*F  -0.00*E*H  -409613458.33*F*H "
"smsp__sass_thread_inst_executed_op_control_pred_on.sum","939524000 +0.00*E  +656687406.67*F  -656687406.67*H  -0.00*(E**2)  -33111858.89*(F**2)  +141580879.03*(H**2)  +0.00*E*F  -0.00*E*H  -108469020.14*F*H "
"smsp__sass_thread_inst_executed_op_memory_pred_on.sum","268435000 -0.00*E  -0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*E*F  +0.00*E*H  +0.00*F*H "
"smsp__sass_thread_inst_executed_op_misc_pred_on.sum","335544000 -0.00*E  +246623965.00*F  -246623965.00*H  +0.00*(E**2)  -9134457.50*(F**2)  +53378088.75*(H**2)  +0.00*E*F  -0.00*E*H  -44243631.25*F*H "
"smsp__sass_thread_inst_executed_op_conversion_pred_on.sum","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__inst_executed.sum","150995000 +0.00*E  +101567748.33*F  -99610548.33*H  -0.00*(E**2)  -2818765.83*(F**2)  +21470922.08*(H**2)  +0.00*E*F  -0.00*E*H  -19223006.25*F*H "
"smsp__inst_executed_pipe_fp16.sum","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active","7.31 +0.49*E  +6.72*F  -6.83*H  +0.03*(E**2)  +0.07*(F**2)  +1.73*(H**2)  +0.10*E*F  -0.15*E*H  -1.25*F*H "
"smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active","2.31 +0.16*E  +0.66*F  -0.70*H  +0.01*(E**2)  -0.02*(F**2)  +0.26*(H**2)  +0.03*E*F  -0.04*E*H  -0.06*F*H "
"smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__issue_active.avg.pct_of_peak_sustained_active","13.84 +0.94*E  +10.93*F  -10.90*H  +0.05*(E**2)  -0.32*(F**2)  +2.82*(H**2)  +0.19*E*F  -0.29*E*H  -1.53*F*H "
"smsp__thread_inst_executed_per_inst_executed.ratio","32 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"smsp__thread_inst_executed_per_inst_executed.pct","100 +0.00*E  -0.00*F  +0.00*H  -0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"Maximum work-group size","1024 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"Local memory size","288 +224.00*E  +0.00*F  +252.00*H  +0.00*(E**2)  +0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  +196.00*E*H  -0.00*F*H "
"Private memory size","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"Constant memory size","0 +0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*E*F  -0.00*E*H  +0.00*F*H "
"Registers count","52 -0.00*E  +0.00*F  -0.00*H  +0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  -0.00*E*F  +0.00*E*H  -0.00*F*H "
