"X1","X2"
"VECTOR_TYPE","A=(VECTOR_TYPE-2)/1"
"CR","B=(CR-0.5)/0.5"
"LOCAL_MEM","C=(LOCAL_MEM-0.5)/0.5"
"PADD_LOCAL","D=(PADD_LOCAL-0.5)/0.5"
"WORK_GROUP_SIZE_X","E=(WORK_GROUP_SIZE_X-8)/7"
"WORK_GROUP_SIZE_Y","F=(WORK_GROUP_SIZE_Y-8)/7"
"TILE_SIZE_X","G=(TILE_SIZE_X-8)/7"
"TILE_SIZE_Y","H=(TILE_SIZE_Y-8)/7"
"DIAGONAL_MAP","J=(DIAGONAL_MAP-0.5)/0.5"
"Condition","B==-1 and C==-1 and D==-1 and J==1"
"Global size","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"Local size","64 -0.00*A  +56.00*E  +56.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +49.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"dram_utilization","3 +0.67*A  +0.97*E  +0.92*F  +0.00*H  -0.33*(A**2)  -0.28*(E**2)  -0.17*(F**2)  -0.00*(H**2)  +0.31*A*E  -0.15*A*F  +0.03*E*F  +0.00*A*H  +0.01*E*H  +0.03*F*H  +0.05*A*E*F  -0.18*A*E*G  +0.01*A*E*H  +0.07*A*F*H "
"dram_read_transactions","7273905.93 -1279348.95*A  -13167746.32*E  -756689.89*F  -108185.11*H  +1075493.83*(A**2)  +3961479.77*(E**2)  +50640.48*(F**2)  +25228.94*(H**2)  +7640905.65*A*E  -50715.20*A*F  -28231.34*E*F  +25824.37*A*H  +48683.27*E*H  +156740.23*F*H  -8575.04*A*E*F  -2015384.29*A*E*G  -9963.02*A*E*H  +15861.26*A*F*H "
"dram_write_transactions","8445872.52 +77104.74*A  +3971456.81*E  -25625007.78*F  +1979855.45*H  +65343.54*(A**2)  +363258.96*(E**2)  +3811282.17*(F**2)  -527612.91*(H**2)  +4401695.31*A*E  +9182734.46*A*F  -2276023.80*E*F  +177979.19*A*H  +1315181.10*E*H  +3627486.10*F*H  -590105.08*A*E*F  +110524.61*A*E*G  -556803.58*A*E*H  -2715798.25*A*F*H "
"l2_utilization","1.11 +0.10*A  +0.19*E  -0.30*F  -0.00*H  -0.08*(A**2)  -0.07*(E**2)  +0.14*(F**2)  -0.00*(H**2)  +0.03*A*E  -1.08*A*F  +0.12*E*F  -0.00*A*H  +0.00*E*H  -0.00*F*H  -0.02*A*E*F  -0.11*A*E*G  +0.09*A*E*H  +0.34*A*F*H "
"l2_read_transactions","7045912.93 -1198932.95*A  -12784266.50*E  +697.75*F  +519.28*H  +1048455.83*(A**2)  +3843320.18*(E**2)  -54.72*(F**2)  -144.82*(H**2)  +7400374.31*A*E  -961.12*A*F  +333.20*E*F  -43.75*A*H  -37.56*E*H  -23.21*F*H  +26.80*A*E*F  -1967337.33*A*E*G  +44.14*A*E*H  +293.87*A*F*H "
"l2_write_transactions","16777217 -0.00*A  +10765380.91*E  -4.25*F  +7.47*H  +0.00*(A**2)  +1141782.57*(E**2)  -0.41*(F**2)  -2.18*(H**2)  -0.12*A*E  -1.96*A*F  -1.40*E*F  -0.00*A*H  +1.17*E*H  +1.65*F*H  +2.30*A*E*F  -0.65*A*E*G  -2.43*A*E*H  +0.57*A*F*H "
"tex_utilization","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"tex_cache_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_memory_overhead","0 -0.00*A  -0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  -0.00*A*E  -0.00*A*F  +0.00*E*F  +0.00*A*H  -0.00*E*H  -0.00*F*H  +0.00*A*E*F  +0.00*A*E*G  -0.00*A*E*H  +0.00*A*F*H "
"shared_efficiency","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"achieved_occupancy","0.47 +0.00*A  +0.49*E  +0.44*F  +0.03*H  -0.00*(A**2)  -0.11*(E**2)  -0.11*(F**2)  -0.01*(H**2)  -0.03*A*E  -0.04*A*F  -0.04*E*F  -0.00*A*H  +0.00*E*H  +0.01*F*H  +0.01*A*E*F  +0.01*A*E*G  +0.00*A*E*H  +0.01*A*F*H "
"sm_efficiency","99.99 -0.00*A  -0.01*E  -0.00*F  -0.00*H  +0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  +0.00*(H**2)  +0.00*A*E  +0.00*A*F  +0.00*E*F  -0.00*A*H  -0.00*E*H  -0.00*F*H  +0.00*A*E*F  +0.00*A*E*G  -0.00*A*E*H  -0.00*A*F*H "
"inst_fp_32","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"inst_fp_64","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"inst_integer","798357732.57 -271869464.38*A  +3210044.42*E  +426666334.32*F  -411968034.13*H  +75343189.33*(A**2)  -342380.62*(E**2)  -55091017.96*(F**2)  +86846850.84*(H**2)  +6281994.97*A*E  +20656872.37*A*F  -3747637.00*E*F  +8650752.00*A*H  +2725713.56*E*H  -36031802.78*F*H  -8284352.89*A*E*F  -842417.42*A*E*G  +6241500.01*A*E*H  -8551939.78*A*F*H "
"inst_control","35576685.71 -23368265.14*A  -23904.89*E  +39499521.99*F  -43463475.20*H  +6815744.00*(A**2)  -165059.74*(E**2)  +856337.07*(F**2)  +9847876.27*(H**2)  -8488.19*A*E  -11335778.42*A*F  -893884.05*E*F  +3407872.00*A*H  +859591.37*E*H  -9548060.31*F*H  -1558392.09*A*E*F  -284244.28*A*E*G  +1489806.74*A*E*H  +2312306.04*A*F*H "
"inst_compute_ld_st","100663296 -25165824.00*A  +0.00*E  +0.00*F  +0.00*H  +8388608.00*(A**2)  -0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  -0.00*A*E  +0.00*A*F  -0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  +0.00*A*E*G  -0.00*A*E*H  -0.00*A*F*H "
