"X1","X2"
"VECTOR_TYPE","A=(VECTOR_TYPE-2)/1"
"CR","B=(CR-0.5)/0.5"
"LOCAL_MEM","C=(LOCAL_MEM-0.5)/0.5"
"PADD_LOCAL","D=(PADD_LOCAL-0.5)/0.5"
"WORK_GROUP_SIZE_X","E=(WORK_GROUP_SIZE_X-8)/7"
"WORK_GROUP_SIZE_Y","F=(WORK_GROUP_SIZE_Y-8)/7"
"TILE_SIZE_X","G=(TILE_SIZE_X-8)/7"
"TILE_SIZE_Y","H=(TILE_SIZE_Y-8)/7"
"DIAGONAL_MAP","J=(DIAGONAL_MAP-0.5)/0.5"
"Condition","B==1 and C==-1 and D==-1 and J==-1"
"Global size","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"Local size","64 -0.00*A  +56.00*E  +56.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +49.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"dram_utilization","2.05 +0.05*A  -1.07*E  +0.29*F  +0.12*H  -0.04*(A**2)  +0.31*(E**2)  +0.00*(F**2)  +0.00*(H**2)  -0.54*A*E  -0.00*A*F  -0.09*E*F  -0.08*A*H  -0.04*E*H  -0.00*F*H  +0.00*A*E*F  +0.15*A*E*G  +0.02*A*E*H  +0.00*A*F*H "
"dram_read_transactions","9276978.64 +570071.90*A  +3049307.44*E  -5333034.82*F  -11531629.26*H  -21621.17*(A**2)  -85290.88*(E**2)  -1020387.40*(F**2)  +3493100.63*(H**2)  +2049752.55*A*E  +4292171.53*A*F  -1717444.31*E*F  +39937.23*A*H  +946505.68*E*H  +2413477.47*F*H  -276300.24*A*E*F  -59419.06*A*E*G  -219144.28*A*E*H  -1284123.27*A*F*H "
"dram_write_transactions","8317180.79 -63490.86*A  -1044116.20*E  -3381685.66*F  +2446683.17*H  +55554.50*(A**2)  +310610.16*(E**2)  +0.00*(F**2)  -713615.92*(H**2)  +589526.35*A*E  -1870004.98*A*F  -12247.41*E*F  -0.00*A*H  +10206.18*E*H  +986324.98*F*H  -24494.83*A*E*F  -161818.06*A*E*G  +20412.35*A*E*H  +545418.12*A*F*H "
"l2_utilization","1.05 +0.05*A  -0.97*E  -0.23*F  -0.00*H  -0.04*(A**2)  +0.28*(E**2)  +0.07*(F**2)  +0.00*(H**2)  +0.33*A*E  +0.00*A*F  +0.09*E*F  -0.00*A*H  -0.00*E*H  -0.00*F*H  -0.00*A*E*F  -0.10*A*E*G  +0.00*A*E*H  -0.00*A*F*H "
"l2_read_transactions","16782013.64 -1220.10*A  +10808864.05*E  -27053949.48*F  +19575108.02*H  +460.83*(A**2)  +1128880.96*(E**2)  +216.28*(F**2)  -5709347.56*(H**2)  +88434.64*A*E  -14961619.64*A*F  -98129.47*E*F  +14.42*A*H  +81624.11*E*H  +7890786.27*F*H  -196065.49*A*E*F  -25775.32*A*E*G  +163373.81*A*E*H  +4363679.66*A*F*H "
"l2_write_transactions","7040434.71 -1198377.14*A  -12783907.97*E  -1.80*F  +2.92*H  +1048580.00*(A**2)  +3843328.26*(E**2)  -0.00*(F**2)  -0.85*(H**2)  +7401212.22*A*E  +2.23*A*F  +0.01*E*F  -0.00*A*H  -0.01*E*H  +0.53*F*H  +0.03*A*E*F  -1967539.50*A*E*G  -0.02*A*E*H  -0.65*A*F*H "
"tex_utilization","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"tex_cache_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_memory_overhead","0 -0.00*A  -0.00*E  -0.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  +0.00*A*F  +0.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  -0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  -0.00*A*F*H "
"shared_efficiency","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"achieved_occupancy","0.46 -0.00*A  +0.44*E  +0.47*F  -0.04*H  +0.00*(A**2)  -0.10*(E**2)  -0.11*(F**2)  +0.01*(H**2)  -0.03*A*E  -0.03*A*F  -0.03*E*F  +0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  +0.01*A*E*G  +0.00*A*E*H  +0.01*A*F*H "
"sm_efficiency","99.99 +0.00*A  +0.05*E  +0.04*F  -0.00*H  +0.00*(A**2)  -0.01*(E**2)  -0.01*(F**2)  +0.00*(H**2)  +0.03*A*E  +0.03*A*F  -0.01*E*F  -0.00*A*H  -0.00*E*H  -0.00*F*H  -0.01*A*E*F  -0.01*A*E*G  -0.00*A*E*H  -0.01*A*F*H "
"inst_fp_32","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"inst_fp_64","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"inst_integer","483543332.57 -67907779.05*A  +2268155.47*E  +121318883.49*F  -88255146.67*H  -1398101.33*(A**2)  +1020545.32*(E**2)  -34253482.67*(F**2)  +16056320.00*(H**2)  +4151833.07*A*E  +74166556.31*A*F  +4289908.58*E*F  -8039082.67*A*H  -4696317.59*E*H  +8553572.76*F*H  +6337029.60*A*E*F  +1592533.13*A*E*G  -7149847.63*A*E*H  -19287179.81*A*F*H "
"inst_control","35576685.71 -23368265.14*A  -161635.47*E  +40480432.45*F  -44931481.60*H  +6815744.00*(A**2)  -124888.32*(E**2)  +2569011.20*(F**2)  +10276044.80*(H**2)  -283949.34*A*E  -12309970.31*A*F  -592598.41*E*F  +3407872.00*A*H  +608520.01*E*H  -11546833.33*F*H  -955820.81*A*E*F  -203901.44*A*E*G  +987664.01*A*E*H  +2596445.34*A*F*H "
"inst_compute_ld_st","100663296 -25165824.00*A  +0.00*E  +0.00*F  +0.00*H  +8388608.00*(A**2)  -0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  -0.00*A*E  +0.00*A*F  -0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  +0.00*A*E*G  -0.00*A*E*H  -0.00*A*F*H "
