"X1","X2"
"VECTOR_TYPE","A=(VECTOR_TYPE-2)/1"
"CR","B=(CR-0.5)/0.5"
"LOCAL_MEM","C=(LOCAL_MEM-0.5)/0.5"
"PADD_LOCAL","D=(PADD_LOCAL-0.5)/0.5"
"WORK_GROUP_SIZE_X","E=(WORK_GROUP_SIZE_X-8)/7"
"WORK_GROUP_SIZE_Y","F=(WORK_GROUP_SIZE_Y-8)/7"
"TILE_SIZE_X","G=(TILE_SIZE_X-8)/7"
"TILE_SIZE_Y","H=(TILE_SIZE_Y-8)/7"
"DIAGONAL_MAP","J=(DIAGONAL_MAP-0.5)/0.5"
"Condition","B==1 and C==-1 and D==-1 and J==1"
"Global size","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"Local size","64 -0.00*A  +56.00*E  +56.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +49.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"dram_utilization","2.84 +0.52*A  +0.70*E  +0.48*F  -0.47*H  -0.21*(A**2)  -0.28*(E**2)  +0.00*(F**2)  +0.14*(H**2)  +0.04*A*E  +0.60*A*F  -0.06*E*F  +0.00*A*H  +0.00*E*H  -0.08*F*H  -0.01*A*E*F  -0.07*A*E*G  +0.00*A*E*H  -0.17*A*F*H "
"dram_read_transactions","8644633.95 +36184.79*A  -146735.13*E  -9033725.44*F  -17765138.62*H  +18780.88*(A**2)  +51653.82*(E**2)  +3911532.70*(F**2)  +5188538.64*(H**2)  +309817.40*A*E  -3932955.46*A*F  -268235.25*E*F  +1334.52*A*H  +239790.46*E*H  -1291080.71*F*H  -507376.76*A*E*F  -87280.66*A*E*G  +437035.00*A*E*H  +1139755.40*A*F*H "
"dram_write_transactions","7040438.64 -1198372.76*A  -12783889.52*E  -0.06*F  -0.10*H  +1048576.17*(A**2)  +3843322.46*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +7401198.95*A*E  -0.10*A*F  +0.02*E*F  +0.02*A*H  +0.03*E*H  +0.00*F*H  +0.03*A*E*F  -1967536.33*A*E*G  -0.01*A*E*H  -0.00*A*F*H "
"l2_utilization","1 +0.00*A  +0.06*E  +0.57*F  +0.58*H  +0.00*(A**2)  +0.07*(E**2)  -0.27*(F**2)  -0.17*(H**2)  -0.00*A*E  +0.45*A*F  +0.00*E*F  -0.00*A*H  -0.00*E*H  +0.11*F*H  +0.01*A*E*F  +0.00*A*E*G  -0.00*A*E*H  -0.13*A*F*H "
"l2_read_transactions","16782416.71 -603.81*A  +10764485.73*E  +1293.91*F  +658.52*H  +57.33*(A**2)  +1141904.68*(E**2)  -123.32*(F**2)  -220.77*(H**2)  +226.86*A*E  +507.14*A*F  +61.40*E*F  +35.08*A*H  -6.16*E*H  -138.40*F*H  +11.41*A*E*F  -61.31*A*E*G  -32.33*A*E*H  -159.75*A*F*H "
"l2_write_transactions","7040439.86 -1198372.57*A  -12783889.07*E  -0.00*F  +0.00*H  +1048576.00*(A**2)  +3843322.31*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +7401198.93*A*E  +0.00*A*F  +0.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  -0.00*A*E*F  -1967536.36*A*E*G  +0.00*A*E*H  -0.00*A*F*H "
"tex_utilization","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"tex_cache_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_memory_overhead","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_efficiency","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"achieved_occupancy","0.47 -0.01*A  +0.49*E  +0.50*F  -0.00*H  +0.00*(A**2)  -0.11*(E**2)  -0.10*(F**2)  +0.00*(H**2)  -0.03*A*E  -0.02*A*F  -0.04*E*F  +0.00*A*H  -0.00*E*H  -0.01*F*H  +0.00*A*E*F  +0.01*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"sm_efficiency","99.99 -0.00*A  +0.00*E  -0.00*F  -0.00*H  -0.00*(A**2)  -0.00*(E**2)  -0.00*(F**2)  +0.00*(H**2)  +0.00*A*E  -0.00*A*F  -0.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  -0.00*A*E*F  -0.00*A*E*G  -0.00*A*E*H  +0.00*A*F*H "
"inst_fp_32","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"inst_fp_64","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"inst_integer","803750409.14 -278260784.76*A  +1372596.94*E  +467076901.69*F  -472086391.47*H  +59964074.67*(A**2)  -265210.44*(E**2)  -35109819.73*(F**2)  +102546363.73*(H**2)  +2711957.62*A*E  -32739720.88*A*F  -2251356.64*E*F  +22631765.33*A*H  +1784647.92*E*H  -65964408.48*F*H  -4680122.84*A*E*F  -565743.19*A*E*G  +3747699.41*A*E*H  +2944271.04*A*F*H "
"inst_control","35576685.71 -23368265.14*A  -161635.47*E  +40480432.45*F  -44931481.60*H  +6815744.00*(A**2)  -124888.32*(E**2)  +2569011.20*(F**2)  +10276044.80*(H**2)  -283949.34*A*E  -12309970.31*A*F  -592598.41*E*F  +3407872.00*A*H  +608520.01*E*H  -11546833.33*F*H  -955820.81*A*E*F  -203901.44*A*E*G  +987664.01*A*E*H  +2596445.34*A*F*H "
"inst_compute_ld_st","100663296 -25165824.00*A  +0.00*E  +0.00*F  +0.00*H  +8388608.00*(A**2)  -0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  -0.00*A*E  +0.00*A*F  -0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  +0.00*A*E*G  -0.00*A*E*H  -0.00*A*F*H "
