"X1","X2"
"VECTOR_TYPE","A=(VECTOR_TYPE-2)/1"
"CR","B=(CR-0.5)/0.5"
"LOCAL_MEM","C=(LOCAL_MEM-0.5)/0.5"
"PADD_LOCAL","D=(PADD_LOCAL-0.5)/0.5"
"WORK_GROUP_SIZE_X","E=(WORK_GROUP_SIZE_X-8)/7"
"WORK_GROUP_SIZE_Y","F=(WORK_GROUP_SIZE_Y-8)/7"
"TILE_SIZE_X","G=(TILE_SIZE_X-8)/7"
"TILE_SIZE_Y","H=(TILE_SIZE_Y-8)/7"
"DIAGONAL_MAP","J=(DIAGONAL_MAP-0.5)/0.5"
"Condition","B==-1 and C==-1 and D==-1 and J==1"
"Global size","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"Local size","64 -0.00*A  +56.00*E  +56.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +49.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"dram_utilization","4.79 +0.48*A  -0.06*E  +0.41*F  -0.47*H  -0.17*(A**2)  -0.22*(E**2)  +0.03*(F**2)  +0.14*(H**2)  +0.13*A*E  +0.73*A*F  -0.03*E*F  +0.00*A*H  -0.00*E*H  -0.12*F*H  -0.05*A*E*F  -0.09*A*E*G  -0.01*A*E*H  -0.24*A*F*H "
"dram_read_transactions","7246385.91 -1247782.52*A  -12938933.71*E  -45604.62*F  +60537.36*H  +1091773.96*(A**2)  +3934576.01*(E**2)  +8768.96*(F**2)  -17644.90*(H**2)  +7501746.97*A*E  -142884.05*A*F  -7564.69*E*F  +1.69*A*H  -13.27*E*H  +4539.05*F*H  +6960.34*A*E*F  -1991846.92*A*E*G  +8126.80*A*E*H  +41679.10*A*F*H "
"dram_write_transactions","8407617.36 -4017.07*A  +59609.26*E  -1133646.01*F  -3026303.50*H  +1263.00*(A**2)  -17088.49*(E**2)  +715066.12*(F**2)  +882534.41*(H**2)  +120774.64*A*E  +969273.78*A*F  -136216.15*E*F  -898.00*A*H  +112476.32*E*H  -384476.53*F*H  -272780.29*A*E*F  -34622.19*A*E*G  +227370.86*A*E*H  -282738.30*A*F*H "
"l2_utilization","2 +0.00*A  +0.87*E  +0.00*F  -0.00*H  +0.00*(A**2)  -0.34*(E**2)  +0.03*(F**2)  +0.00*(H**2)  -0.06*A*E  -0.93*A*F  +0.01*E*F  +0.00*A*H  -0.01*E*H  -0.03*F*H  -0.07*A*E*F  -0.07*A*E*G  +0.07*A*E*H  +0.27*A*F*H "
"l2_read_transactions","7249777.71 -1248102.48*A  -12922116.70*E  +49871.00*F  -10953.35*H  +1091811.67*(A**2)  +3932555.77*(E**2)  -626.93*(F**2)  +3192.76*(H**2)  +7520852.91*A*E  -19927.10*A*F  -15234.06*E*F  +28.42*A*H  +2512.86*E*H  -13811.88*F*H  +3733.11*A*E*F  -1994514.23*A*E*G  +5069.72*A*E*H  +5797.29*A*F*H "
"l2_write_transactions","33554439.86 +3.43*A  +25445444.04*E  -2.50*F  +2.50*H  -3.00*(A**2)  -4567131.28*(E**2)  +0.00*(F**2)  +0.00*(H**2)  -0.37*A*E  +0.50*A*F  +0.73*E*F  -0.50*A*H  -0.73*E*H  -0.00*F*H  -0.15*A*E*F  -0.44*A*E*G  +0.15*A*E*H  -0.00*A*F*H "
"tex_utilization","1 -0.00*A  -0.00*E  -0.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  +0.00*A*F  +0.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  -0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  -0.00*A*F*H "
"tex_cache_transactions","8388608 -0.00*A  -0.00*E  -0.00*F  +0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  +0.00*A*F  +0.00*E*F  -0.00*A*H  -0.00*E*H  +0.00*F*H  -0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  -0.00*A*F*H "
"local_memory_overhead","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_utilization","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_efficiency","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"shared_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_load_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"local_store_transactions","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"achieved_occupancy","0.85 -0.08*A  +0.05*E  -0.09*F  +0.05*H  +0.01*(A**2)  -0.02*(E**2)  +0.01*(F**2)  -0.01*(H**2)  +0.00*A*E  -0.05*A*F  -0.01*E*F  +0.02*A*H  -0.00*E*H  +0.01*F*H  -0.00*A*E*F  +0.00*A*E*G  -0.00*A*E*H  +0.01*A*F*H "
"sm_efficiency","99.99 -0.00*A  -0.01*E  -0.03*F  -0.00*H  +0.00*(A**2)  +0.00*(E**2)  -0.00*(F**2)  -0.00*(H**2)  -0.01*A*E  -0.03*A*F  -0.00*E*F  -0.00*A*H  +0.00*E*H  +0.01*F*H  -0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.01*A*F*H "
"inst_fp_32","35576685.71 -23368265.14*A  -92770.18*E  +38521970.82*F  -42729472.00*H  +6815744.00*(A**2)  -144974.03*(E**2)  -0.00*(F**2)  +9633792.00*(H**2)  -146218.76*A*E  -11822874.36*A*F  -743241.23*E*F  +3407872.00*A*H  +734055.69*E*H  -8406604.16*F*H  -1257106.45*A*E*F  -244072.86*A*E*G  +1238735.38*A*E*H  +2454375.69*A*F*H "
"inst_fp_64","0 +0.00*A  +0.00*E  -0.00*F  +0.00*H  -0.00*(A**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*(H**2)  +0.00*A*E  -0.00*A*F  +0.00*E*F  -0.00*A*H  +0.00*E*H  +0.00*F*H  +0.00*A*E*F  -0.00*A*E*G  +0.00*A*E*H  +0.00*A*F*H "
"inst_integer","1607409014.86 -666533497.90*A  +1094156.42*E  +1263421904.05*F  -1329192413.87*H  +188938922.67*(A**2)  -2898281.29*(E**2)  -53378343.82*(F**2)  +293866336.71*(H**2)  +2775484.05*A*E  -202321494.31*A*F  -16570822.68*E*F  +70691498.67*A*H  +15527058.06*E*H  -221293893.19*F*H  -29700011.35*A*E*F  -5108076.18*A*E*G  +27613476.13*A*E*H  +38388199.40*A*F*H "
"inst_control","27038281.14 -30957958.10*A  +1308390.50*E  -23164611.51*F  +36472968.53*H  +13456725.33*(A**2)  +172711.44*(E**2)  -15128621.51*(F**2)  -9134262.04*(H**2)  +2490078.06*A*E  +31073162.06*A*F  +186685.12*E*F  -4456448.00*A*H  -525121.16*E*H  +20381279.42*F*H  -365730.20*A*E*F  +197602.79*A*E*G  -311141.87*A*E*H  -7763208.27*A*F*H "
