Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,5613,16384,64,64,1,1,0,0,1,0,1,1,21772,16384,1,2113654,16385,0,0,0,49.9986,33554432,525256,0,0,0.498188,99.7586,3758325760,0,1635991552,268435456,1094778880,33800192,0,212361216,25.5567,0,1,8,0,78.1317,1024,1024,0,0,26
nbody_kernel,9613,16384,64,64,1,1,0,1,0,0,1,1,316198,16384,1,33568886,16385,0,0,0,0,0,0,0,0,0.499682,99.3001,3758325760,0,2730868736,268435456,1073889280,8650752,0,245137408,14.9445,0,1,5,0,66.957,1024,0,0,0,29
nbody_kernel,5591,16384,64,64,1,1,0,1,0,0,2,1,19672,16384,1,16791670,16385,0,0,0,0,0,0,0,0,0.499306,99.5023,3758374912,0,1365622784,134217728,537018368,1078296576,0,214864384,25.4166,0,1,4,0,78.0846,1024,0,0,0,39
nbody_kernel,4245,16384,64,64,1,1,0,1,0,0,4,1,26848,16384,2,16791702,16385,0,0,0,0,0,0,0,0,0.498945,99.9082,3758473216,0,682983424,67108864,268582912,405323776,0,161986048,34.1028,0,1,3,0,82.1431,1024,0,0,0,54
nbody_kernel,5809,16384,64,64,1,1,0,1,1,0,1,1,19532,16384,1,2111606,16385,0,0,0,49.9972,33554432,526194,0,0,0.499316,99.9459,3758325760,0,1661321216,268435456,1107443712,33816576,0,213549056,24.7574,0,1,7,0,75.6883,1024,1024,0,0,30
nbody_kernel,4268,16384,64,64,1,1,0,1,1,0,2,1,18936,16384,1,2111606,16385,0,0,0,99.9666,16777216,267829,0,0,0.499813,99.9495,3758374912,0,830849024,134217728,553795584,17137664,0,165515776,33.3384,0,1,5,0,76.1808,1024,2048,0,0,32
nbody_kernel,4536,16384,64,64,1,1,0,1,1,0,4,1,22992,16384,1,2111638,16385,0,0,0,99.9645,16777216,268200,0,0,0.336105,98.3449,3758473216,0,415596544,67108864,276971520,8962048,0,141506048,31.7452,0,1,3,0,76.1447,1024,4096,0,0,48
nbody_kernel,9740,16384,64,64,1,1,1,0,0,0,1,1,21564,16384,1,16793702,16385,0,0,0,0,0,0,0,0,0.499862,99.8825,3758325760,0,1094926336,268435456,268500992,8634368,0,168845312,14.6454,0,1,1,0,46.6356,1024,0,0,0,26
nbody_kernel,5613,16384,64,64,1,1,1,0,1,0,1,1,169976,16384,1,2113638,16385,0,0,0,49.9984,33554432,525346,0,0,0.498747,99.9486,3758325760,0,1635991552,268435456,1094778880,33800192,0,212361216,25.6253,0,1,8,0,78.1924,1024,1024,0,0,26
nbody_kernel,9496,16384,64,64,1,1,1,1,0,0,1,1,19800,16384,1,33568886,16385,0,0,0,0,0,0,0,0,0.49942,99.1661,3758325760,0,2730868736,268435456,1073889280,8650752,0,245137408,14.9202,0,1,5,0,66.9343,1024,0,0,0,29
nbody_kernel,5594,16384,64,64,1,1,1,1,0,0,2,1,28500,16384,1,16791686,16385,0,0,0,0,0,0,0,0,0.499304,99.5029,3758374912,0,1365622784,134217728,537018368,1078296576,0,214864384,25.4177,0,1,4,0,78.0917,1024,0,0,0,39
nbody_kernel,4223,16384,64,64,1,1,1,1,0,0,4,1,143792,16391,2,16791686,16385,0,0,0,0,0,0,0,0,0.498863,99.9506,3758473216,0,682983424,67108864,268582912,405323776,0,161986048,34.1257,0,1,3,0,82.1511,1024,0,0,0,54
nbody_kernel,5810,16384,64,64,1,1,1,1,1,0,1,1,19540,16384,1,2111606,16385,0,0,0,49.9974,33554432,526092,0,0,0.495978,99.7074,3758325760,0,1661321216,268435456,1107443712,33816576,0,213549056,24.5579,0,1,7,0,75.2579,1024,1024,0,0,30
nbody_kernel,4269,16384,64,64,1,1,1,1,1,0,2,1,19056,16384,1,2111606,16385,0,0,0,99.9675,16777216,267682,0,0,0.499836,99.9581,3758374912,0,830849024,134217728,553795584,17137664,0,165515776,33.3389,0,1,5,0,76.1753,1024,2048,0,0,32
nbody_kernel,4439,16384,64,64,1,1,1,1,1,0,4,1,170524,16384,1,2111622,16385,0,0,0,99.9762,16777216,266202,0,0,0.337614,99.9599,3758473216,0,415596544,67108864,276971520,8962048,0,141506048,32.4528,0,1,3,0,76.5822,1024,4096,0,0,48
nbody_kernel,6101,16384,64,64,1,2,0,0,0,0,1,1,34356,16384,1,16793702,16385,0,0,0,0,0,0,0,0,0.49958,99.9139,3758325760,0,558055424,134217728,268500992,8634368,0,147873792,23.2861,0,1,2,0,60.6274,1024,0,0,0,30
nbody_kernel,4264,16384,64,64,1,2,0,0,1,0,1,1,21820,16384,1,2113670,16385,0,0,0,98.4786,16777216,525391,0,0,0.49934,99.9316,3758325760,0,830685184,134217728,557907968,33800192,0,166223872,33.7792,0,1,5,0,74.9254,1024,1024,0,0,30
nbody_kernel,9228,16384,64,64,1,2,0,1,0,0,1,1,167784,16384,2,33568886,16385,0,0,0,0,0,0,0,0,0.499305,99.7645,3758325760,0,1631961088,134217728,1073889280,4456448,0,206471168,15.4606,0,1,6,0,54.8608,1024,0,0,0,32
nbody_kernel,5146,16384,64,64,1,2,0,1,0,0,2,1,21372,16384,1,16791670,16385,0,0,0,0,0,0,0,0,0.499192,99.9182,3758374912,0,816168960,67108864,537018368,2457600,0,161976832,27.6218,0,1,5,0,68.1547,1024,0,0,0,40
nbody_kernel,4282,16384,64,64,1,2,0,1,0,0,4,1,270946,16384,2,16791718,16385,0,0,0,0,0,0,0,0,0.499111,99.8552,3758473216,0,408256512,33554432,268582912,1622016,0,139736576,33.2525,0,1,3,0,75.296,1024,0,0,0,55
nbody_kernel,4461,16384,64,64,1,2,0,1,1,0,1,1,182344,16384,1,2111606,16385,0,0,0,98.4745,16777216,526107,0,0,0.498705,99.9088,3758325760,0,856014848,134217728,570572800,33816576,0,167411712,32.3938,0,1,5,0,80.1681,1024,1024,0,0,30
nbody_kernel,3584,16384,64,64,1,2,0,1,1,0,2,1,19856,16384,1,2111622,16385,0,0,0,99.9858,16777216,264570,0,0,0.495948,99.8987,3758374912,0,428195840,67108864,285360128,17137664,0,142447104,40.3131,0,1,3,0,85.4022,1024,2048,0,0,40
nbody_kernel,3692,16384,64,64,1,2,0,1,1,0,4,1,22316,16384,1,2111638,16385,0,0,0,99.97,16777216,267264,0,0,0.337444,94.4704,3758473216,0,214269952,33554432,276971520,8962048,0,134166016,37.7596,0,1,3,0,73.4576,1024,4096,0,0,56
nbody_kernel,6157,16384,64,64,1,2,1,0,0,0,1,1,23692,16384,1,16793718,16385,0,0,0,0,0,0,0,0,0.499548,99.9098,3758325760,0,558055424,134217728,268500992,8634368,0,147873792,23.3513,0,1,2,0,60.7909,1024,0,0,0,30
nbody_kernel,4260,16384,64,64,1,2,1,0,1,0,1,1,318206,16384,1,2113654,16385,0,0,0,98.4785,16777216,525405,0,0,0.499658,99.9579,3758325760,0,830685184,134217728,557907968,33800192,0,166223872,33.8081,0,1,5,0,74.97,1024,1024,0,0,30
nbody_kernel,9321,16384,64,64,1,2,1,1,0,0,1,1,176898,16384,2,33568886,16385,0,0,0,0,0,0,0,0,0.498335,99.4044,3758325760,0,1631961088,134217728,1073889280,4456448,0,206471168,15.3787,0,1,6,0,54.7118,1024,0,0,0,32
nbody_kernel,5146,16384,64,64,1,2,1,1,0,0,2,1,177602,16384,1,16791686,16385,0,0,0,0,0,0,0,0,0.499247,99.8966,3758374912,0,816168960,67108864,537018368,2457600,0,161976832,27.6149,0,1,5,0,68.1898,1024,0,0,0,40
nbody_kernel,4328,16384,64,64,1,2,1,1,0,0,4,1,27644,16384,2,16791702,16385,0,0,0,0,0,0,0,0,0.496362,99.646,3758473216,0,408256512,33554432,268582912,1622016,0,139736576,32.9915,0,1,3,0,74.8662,1024,0,0,0,55
nbody_kernel,4444,16384,64,64,1,2,1,1,1,0,1,1,170576,16384,1,2111606,16385,0,0,0,98.4751,16777216,526008,0,0,0.498576,99.9471,3758325760,0,856014848,134217728,570572800,33816576,0,167411712,32.3991,0,1,5,0,80.1502,1024,1024,0,0,30
nbody_kernel,3542,16384,64,64,1,2,1,1,1,0,2,1,315558,16384,1,2111638,16385,0,0,0,99.986,16777216,264526,0,0,0.496165,99.9377,3758374912,0,428195840,67108864,285360128,17137664,0,142447104,40.3473,0,1,3,0,85.4419,1024,2048,0,0,40
nbody_kernel,3818,16384,64,64,1,2,1,1,1,0,4,1,22452,16384,1,2111638,16385,0,0,0,99.9658,16777216,267979,0,0,0.33606,97.9466,3758473216,0,214269952,33554432,276971520,8962048,0,134166016,39.1885,0,1,3,0,73.5329,1024,4096,0,0,56
nbody_kernel,5827,16384,64,64,1,4,0,0,0,0,1,1,21384,16384,1,16793734,16391,0,0,0,0,0,0,0,0,0.499586,99.8738,3758325760,0,289619968,67108864,268500992,8634368,0,137388032,24.8786,0,1,2,0,58.1713,1024,0,0,0,32
nbody_kernel,3712,16384,64,64,1,4,0,0,1,0,1,1,21732,16384,1,2113654,16385,0,0,0,98.4792,16777216,525273,0,0,0.498216,99.9071,3758325760,0,428032000,67108864,289472512,33800192,0,143155200,38.3448,0,1,3,0,88.2655,1024,1024,0,0,39
nbody_kernel,9822,16384,64,64,1,4,0,1,0,0,1,1,310662,16384,1,33568902,16385,0,0,0,0,0,0,0,0,0.499783,99.8227,3758325760,0,826654720,67108864,1073889280,4456448,0,179208192,14.6243,0,1,5,0,43.2407,1024,0,0,0,32
nbody_kernel,5329,16384,64,64,1,4,0,1,0,0,2,1,31828,16384,1,16791702,16385,0,0,0,0,0,0,0,0,0.499366,99.8333,3758374912,0,413515776,33554432,537018368,2457600,0,148345344,26.9889,0,1,5,0,63.8269,1024,0,0,0,46
nbody_kernel,4258,16384,64,64,1,4,0,1,0,0,4,1,167758,16384,2,16791750,16385,0,0,0,0,0,0,0,0,0.498132,99.8498,3758473216,0,206946304,16777216,268582912,1654784,0,132922368,33.9957,0,1,3,0,71.4029,1024,0,0,0,61
