Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,6401,16384,64,64,1,0,1,1,1,0,4,1,259458,0,1,2370970,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.489224,99.7837,3758473216,0,115818496,16777216,276971520,8929280,0,130564096,10,61.8886,0,0,3,1,2,1,95.5365,100,99.9741,1024,4096,0,0,57
nbody_kernel,14079,16384,64,64,1,1,0,0,0,0,1,1,129780,32,1,8664570,16386,10,134234112,0,0,0,0,0,0,0,0.999143,99.9853,3758325760,0,1099186176,268435456,268500992,4407296,0,168846336,6,28.1038,0,0,2,1,1,3,56.6106,100,99.9218,1024,0,0,0,23
nbody_kernel,14000,16384,64,64,1,1,0,0,1,0,1,1,259458,0,1,2373018,16386,1,2113536,0,6,4.61538,33554432,524288,0,0,0.891651,97.1264,3758325760,0,1640251392,268435456,1094778880,29589504,0,212362752,7,28.2637,0,0,2,1,3,1,65.6807,100,99.9378,1024,1024,0,0,27
nbody_kernel,19861,16384,64,64,1,1,0,1,0,0,1,1,259476,32,1,33828346,16386,8,134232064,0,0,0,0,0,0,0,0.93131,99.4181,3758325760,0,2739355648,268435456,1073889280,272859136,0,253659136,6,19.7485,0,0,1,1,1,8,60.1127,100,99.9479,1024,0,0,0,28
nbody_kernel,14516,16384,64,64,1,1,0,1,0,0,2,1,259458,0,1,17051034,16386,10,134232064,0,0,0,0,0,0,0,0.683306,97.7388,3758374912,0,1369915392,134217728,537018368,1210384384,0,219126272,7,27.2532,0,0,2,1,1,5,76.2749,100,99.9696,1024,0,0,0,38
nbody_kernel,14062,16384,64,64,1,1,0,1,0,0,4,1,259458,16,1,8662426,16386,10,134232064,0,0,0,0,0,0,0,0.520784,97.72,3758473216,0,685195264,67108864,268582912,471351296,0,164118528,6,27.2672,0,0,2,1,1,3,55.2236,100,99.9794,1024,0,0,0,56
nbody_kernel,14623,16384,64,64,1,1,0,1,1,0,1,1,129730,0,1,2371050,16386,1,2111488,0,5,4.61538,33554432,524288,0,0,0.896578,97.1036,3758325760,0,1669808128,268435456,1107443712,302219264,0,222201856,7,26.4074,0,0,2,1,3,1,64.7828,100,99.9406,1024,1024,0,0,28
nbody_kernel,9756,16384,64,64,1,1,0,1,1,0,2,1,259459,16,1,2370970,16386,1,2111488,0,4,9.09091,16777216,524288,0,0,0.874372,99.7558,3758374912,0,835141632,134217728,553795584,17104896,0,165648896,8,40.4887,0,0,2,1,2,1,77.6642,100,99.9598,1024,2048,0,0,32
nbody_kernel,7367,16384,64,64,1,1,0,1,1,0,4,1,259458,0,1,2370970,16386,1,2111488,0,5,9.09091,16777216,524288,0,0,0.479484,99.5037,3758473216,0,417808384,67108864,276971520,8929280,0,141574144,9,53.7543,0,0,3,1,2,1,87.7145,100,99.9761,1024,4096,0,0,48
nbody_kernel,14080,16384,64,64,1,1,1,0,0,0,1,1,129978,220,1,8534888,16386,10,134234112,0,0,0,0,0,0,0,0.999202,99.9849,3758325760,0,1099186176,268435456,268500992,4407296,0,168846336,6,28.1055,0,0,2,1,1,3,56.6143,100,99.9218,1024,0,0,0,23
