Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,1179,16384,64,64,1,0,1,1,1,0,2,1,0,8,1,2111536,16395,1,2111488,0,6,9.09091,16777216,524288,0,0,0.501936,98.7979,0,3758374912,0,29835264,2097152,289554432,6619136,0,127703552,0,9,56.9781,0,0,3,1,2,1,86.728,100,99.9992,1024,2048,0,0,48
nbody_kernel,1264,16384,64,64,1,0,1,1,1,0,4,1,0,8,1,2111536,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.431633,87.8216,0,3758473216,0,115818496,16777216,279068672,8929280,0,130629632,0,9,51.078,0,0,3,1,2,1,89.6402,100,99.9741,1024,4096,0,0,57
nbody_kernel,2934,16384,64,64,1,1,0,0,0,0,1,1,0,8,1,8405432,16395,9,134234112,0,0,0,0,0,0,0,0.53067,98.4695,0,3758325760,0,1099186176,268435456,268500992,4423680,0,168846848,0,5,22.7157,0,0,2,1,1,3,46.4625,100,99.9218,1024,0,0,0,23
nbody_kernel,2112,16384,64,64,1,1,0,0,1,0,1,1,0,8,1,2113816,16395,1,2113536,0,6,4.61538,33554432,524288,0,0,0.5058,99.4676,0,3758325760,0,1640251392,268435456,1103167488,29589504,0,212624896,0,7,31.5691,0,0,2,1,3,1,71.7467,100,99.9379,1024,1024,0,0,27
nbody_kernel,3584,16384,64,64,1,1,0,1,0,0,1,1,412,196,2,33570080,16395,7,134232064,0,0,0,0,0,0,0,0.514601,99.6786,0,3758325760,0,2739355648,268435456,1073889280,2957213696,0,337545216,0,7,18.6411,0,0,1,1,1,7,77.3716,100,99.9609,1024,0,0,0,31
nbody_kernel,2524,16384,64,64,1,1,0,1,0,0,2,1,0,8,2,16791600,16395,10,134232064,0,0,0,0,0,0,0,0.508093,99.5318,0,3758374912,0,1369915392,134217728,537018368,1210384384,0,219126272,0,7,26.4617,0,0,2,1,1,5,74.2029,100,99.9696,1024,0,0,0,38
nbody_kernel,2506,16384,64,64,1,1,0,1,0,0,4,1,0,8,1,8402992,16395,10,134232064,0,0,0,0,0,0,0,0.507283,99.7177,0,3758473216,0,685195264,67108864,268582912,739770368,0,172506624,0,6,26.584,0,0,2,1,1,3,55.7234,100,99.9804,1024,0,0,0,55
nbody_kernel,1798,16384,64,64,1,1,0,1,1,0,1,1,0,8,1,2111536,16395,1,2111488,0,7,4.61538,33554432,524288,0,0,0.505966,99.1875,0,3758325760,0,1669808128,268435456,1115832320,33783808,0,214075392,0,9,37.2198,0,0,2,1,4,1,85.3517,100,99.9383,1024,1024,0,0,28
nbody_kernel,1460,16384,64,64,1,1,0,1,1,0,2,1,0,8,1,2111544,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.502858,99.6278,0,3758374912,0,835141632,134217728,557989888,17104896,0,165779968,0,9,46.5504,0,0,3,1,3,1,89.4885,100,99.9599,1024,2048,0,0,32
nbody_kernel,1218,16384,64,64,1,1,0,1,1,0,4,1,0,8,1,2111536,16395,1,2111488,0,6,9.09091,16777216,524288,0,0,0.499314,99.5821,0,3758473216,0,417808384,67108864,279068672,8929280,0,141639680,0,10,55.9532,0,0,3,1,2,1,91.2806,100,99.9761,1024,4096,0,0,48
