"X1","X2"
"WORK_GROUP_SIZE_X","A=(WORK_GROUP_SIZE_X-24)/8"
"WORK_GROUP_SIZE_Y","B=(WORK_GROUP_SIZE_Y-4)/2"
"WORK_GROUP_SIZE_Z","C=-1"
"Z_ITERATIONS","D=(Z_ITERATIONS-6)/5"
"INNER_UNROLL_FACTOR","E=(INNER_UNROLL_FACTOR-3)/3"
"USE_SOA","F=(USE_SOA-0.5)/0.5"
"USE_CONSTANT_MEMORY","G=-1"
"VECTOR_SIZE","H=-1"
"Condition","A==1 and C==-1 and F==1 and G==-1 and H==-1"
"Global size","3932160 +0.00*B  -4915200.00*D  -0.00*E  -0.00*(B**2)  +819200.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"Local size","128 +64.00*B  +0.00*D  -0.00*E  -0.00*(B**2)  -0.00*(D**2)  +0.00*(E**2)  -0.00*B*D  -0.00*B*E  +0.00*D*E  +0.00*B*D*E "
"dram_utilization","4.5 -0.04*B  +3.99*D  -0.09*E  +0.03*(B**2)  -0.65*(D**2)  -0.13*(E**2)  +0.04*B*D  -0.02*B*E  +0.14*D*E  -0.00*B*D*E "
"dram_read_transactions","725969.26 -21324.91*B  +8276136.56*D  -7730683.17*E  -9675.22*(B**2)  +2851368.90*(D**2)  -10443369.42*(E**2)  +158874.80*B*D  -105730.99*B*E  +10677752.20*D*E  +13901.09*B*D*E "
"dram_write_transactions","29050151.65 -185190.20*B  +37183524.60*D  -6225967.29*E  +28524.94*(B**2)  -3483185.00*(D**2)  -6397517.65*(E**2)  +83262.27*B*D  -301677.62*B*E  +6843965.19*D*E  +65289.03*B*D*E "
"l2_utilization","5.13 +0.02*B  +1.68*D  +0.77*E  +0.03*(B**2)  -0.44*(D**2)  -0.00*(E**2)  -0.01*B*D  -0.15*B*E  -0.15*D*E  +0.03*B*D*E "
"l2_read_transactions","169870356.71 +555.74*B  -39321876.12*D  +216.49*E  -422.67*(B**2)  +6553664.54*(D**2)  +42.93*(E**2)  +38.03*B*D  +226.12*B*E  -75.68*D*E  -54.63*B*D*E "
"l2_write_transactions","138412041.63 -0.20*B  -6.88*D  +7.71*E  -0.44*(B**2)  +1.48*(D**2)  +9.33*(E**2)  +4.64*B*D  -3.13*B*E  -8.63*D*E  -0.78*B*D*E "
"tex_utilization","3.74 -0.00*B  +0.74*D  +0.00*E  +0.00*(B**2)  -0.24*(D**2)  -0.00*(E**2)  +0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"tex_cache_transactions","264241152 +0.00*B  -157286400.00*D  -0.00*E  -0.00*(B**2)  +26214400.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_memory_overhead","88.89 -0.00*B  +10.63*D  +0.00*E  +0.00*(B**2)  -1.74*(D**2)  -0.00*(E**2)  +0.00*B*D  -0.00*B*E  -0.00*D*E  +0.00*B*D*E "
"shared_utilization","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_efficiency","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_load_transactions","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_store_transactions","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_load_transactions","272629760 -0.00*B  -0.00*D  -0.00*E  +0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_store_transactions","136314880 -0.00*B  -0.00*D  -0.00*E  +0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"achieved_occupancy","0.98 -0.00*B  +0.02*D  -0.03*E  +0.00*(B**2)  -0.01*(D**2)  -0.04*(E**2)  +0.00*B*D  -0.00*B*E  +0.04*D*E  +0.00*B*D*E "
"sm_efficiency","99.7 -0.04*B  +0.06*D  -0.30*E  +0.06*(B**2)  -0.04*(D**2)  -0.24*(E**2)  -0.01*B*D  +0.01*B*E  +0.28*D*E  -0.01*B*D*E "
"inst_fp_16","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"inst_fp_32","5570035712 +0.00*B  -1572864000.00*D  -0.00*E  -0.00*(B**2)  +262144000.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
