"X1","X2"
"WORK_GROUP_SIZE_X","A=(WORK_GROUP_SIZE_X-24)/8"
"WORK_GROUP_SIZE_Y","B=(WORK_GROUP_SIZE_Y-4)/2"
"WORK_GROUP_SIZE_Z","C=-1"
"Z_ITERATIONS","D=(Z_ITERATIONS-6)/5"
"INNER_UNROLL_FACTOR","E=(INNER_UNROLL_FACTOR-3)/3"
"USE_SOA","F=(USE_SOA-0.5)/0.5"
"USE_CONSTANT_MEMORY","G=-1"
"VECTOR_SIZE","H=-1"
"Condition","A==1 and C==-1 and F==1 and G==-1 and H==-1"
"Global size","3932160 +0.00*B  -4915200.00*D  -0.00*E  -0.00*(B**2)  +819200.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"Local size","128 +64.00*B  +0.00*D  -0.00*E  -0.00*(B**2)  -0.00*(D**2)  +0.00*(E**2)  -0.00*B*D  -0.00*B*E  +0.00*D*E  +0.00*B*D*E "
"dram_utilization","0.99 +0.00*B  -0.08*D  +0.12*E  -0.00*(B**2)  +0.14*(D**2)  +0.10*(E**2)  -0.00*B*D  -0.00*B*E  -0.21*D*E  +0.00*B*D*E "
"dram_read_transactions","2943205.13 -2822.99*B  -271055.52*D  +102325.47*E  -4042.94*(B**2)  +48215.64*(D**2)  +20377.23*(E**2)  +1110.73*B*D  -16931.94*B*E  -37807.34*D*E  +1606.40*B*D*E "
"dram_write_transactions","2104507.52 +156226.36*B  -482264.41*D  +843468.99*E  -135407.78*(B**2)  +1498009.85*(D**2)  +574919.83*(E**2)  -4273.42*B*D  +2144.93*B*E  -1629723.79*D*E  -3333.83*B*D*E "
"l2_utilization","3.71 +0.00*B  +0.78*D  +0.00*E  -0.00*(B**2)  -0.14*(D**2)  -0.00*(E**2)  +0.00*B*D  -0.00*B*E  -0.00*D*E  +0.00*B*D*E "
"l2_read_transactions","170791864.91 +19928.72*B  -39588311.27*D  +111095.63*E  -15048.75*(B**2)  +6599314.06*(D**2)  +10869.43*(E**2)  -3184.74*B*D  +34955.80*B*E  -29149.28*D*E  -6405.30*B*D*E "
"l2_write_transactions","138412032.6 -2.48*B  +7.19*D  -9.65*E  +1.33*(B**2)  -1.39*(D**2)  +0.00*(E**2)  +0.10*B*D  +2.96*B*E  +1.85*D*E  -0.55*B*D*E "
"tex_utilization","5.59 +0.00*B  -1.57*D  -0.00*E  -0.00*(B**2)  +0.24*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"tex_cache_transactions","264241152 +0.00*B  -157286400.00*D  -0.00*E  -0.00*(B**2)  +26214400.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_memory_overhead","88.89 -0.00*B  +10.63*D  +0.00*E  +0.00*(B**2)  -1.74*(D**2)  -0.00*(E**2)  +0.00*B*D  -0.00*B*E  -0.00*D*E  +0.00*B*D*E "
"shared_utilization","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_efficiency","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_load_transactions","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_store_transactions","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_load_transactions","272629760 -0.00*B  -0.00*D  -0.00*E  +0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_store_transactions","136314880 -0.00*B  -0.00*D  -0.00*E  +0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"achieved_occupancy","0.97 -0.00*B  +0.03*D  -0.02*E  -0.00*(B**2)  -0.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"sm_efficiency","100.02 +0.03*B  +0.04*D  -0.08*E  -0.04*(B**2)  -0.01*(D**2)  -0.10*(E**2)  -0.01*B*D  -0.01*B*E  +0.09*D*E  +0.01*B*D*E "
"inst_fp_32","5570035712 +0.00*B  -1572864000.00*D  -0.00*E  -0.00*(B**2)  +262144000.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"inst_fp_64","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
