"X1","X2"
"WORK_GROUP_SIZE_X","A=(WORK_GROUP_SIZE_X-24)/8"
"WORK_GROUP_SIZE_Y","B=(WORK_GROUP_SIZE_Y-4)/2"
"WORK_GROUP_SIZE_Z","C=-1"
"Z_ITERATIONS","D=(Z_ITERATIONS-6)/5"
"INNER_UNROLL_FACTOR","E=(INNER_UNROLL_FACTOR-3)/3"
"USE_SOA","F=(USE_SOA-0.5)/0.5"
"USE_CONSTANT_MEMORY","G=-1"
"VECTOR_SIZE","H=-1"
"Condition","A==1 and C==-1 and F==-1 and G==-1 and H==-1"
"Global size","3932160 +0.00*B  -4915200.00*D  -0.00*E  -0.00*(B**2)  +819200.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"Local size","128 +64.00*B  +0.00*D  -0.00*E  -0.00*(B**2)  -0.00*(D**2)  +0.00*(E**2)  -0.00*B*D  -0.00*B*E  +0.00*D*E  +0.00*B*D*E "
"dram_utilization","5.18 -0.06*B  +3.87*D  +0.98*E  +0.06*(B**2)  -0.65*(D**2)  -0.13*(E**2)  -0.03*B*D  +0.02*B*E  -0.07*D*E  +0.00*B*D*E "
"dram_read_transactions","-119246.58 -663357.10*B  +8372631.94*D  -7757709.21*E  +624070.03*(B**2)  +2878090.88*(D**2)  -10328378.23*(E**2)  -357739.42*B*D  +240042.99*B*E  +10531846.22*D*E  +74397.39*B*D*E "
"dram_write_transactions","26607521.38 -579814.95*B  +34406137.01*D  -5376116.54*E  +397574.08*(B**2)  -2863418.65*(D**2)  -6449290.22*(E**2)  -155764.81*B*D  -3309.27*B*E  +6717701.66*D*E  +65259.20*B*D*E "
"l2_utilization","5.76 -0.00*B  +0.72*D  +0.00*E  +0.00*(B**2)  -0.28*(D**2)  -0.00*(E**2)  +0.00*B*D  -0.00*B*E  -0.00*D*E  +0.00*B*D*E "
"l2_read_transactions","146277147.31 +60.33*B  -9830273.60*D  +37.92*E  -193.56*(B**2)  +1638379.17*(D**2)  -114.40*(E**2)  +46.91*B*D  -418.83*B*E  +112.20*D*E  +60.06*B*D*E "
"l2_write_transactions","138412040.08 -23.46*B  -8.27*D  +18.27*E  +14.67*(B**2)  +2.22*(D**2)  -8.53*(E**2)  -1.42*B*D  -22.00*B*E  +3.34*D*E  +6.65*B*D*E "
"tex_utilization","5.68 +0.10*B  -1.91*D  +0.40*E  -0.06*(B**2)  +0.20*(D**2)  -0.00*(E**2)  -0.00*B*D  -0.12*B*E  -0.08*D*E  +0.02*B*D*E "
"tex_cache_transactions","264241152 +0.00*B  -157286400.00*D  -0.00*E  -0.00*(B**2)  +26214400.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_memory_overhead","95.8 -0.00*B  +3.25*D  +0.00*E  +0.00*(B**2)  -0.54*(D**2)  -0.00*(E**2)  +0.00*B*D  +0.00*B*E  -0.00*D*E  -0.00*B*D*E "
"shared_utilization","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_efficiency","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_load_transactions","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"shared_store_transactions","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_load_transactions","272629760 -0.00*B  -0.00*D  -0.00*E  +0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"local_store_transactions","136314880 -0.00*B  -0.00*D  -0.00*E  +0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"achieved_occupancy","0.98 -0.00*B  +0.02*D  -0.03*E  -0.00*(B**2)  -0.01*(D**2)  -0.04*(E**2)  -0.00*B*D  -0.00*B*E  +0.04*D*E  +0.00*B*D*E "
"sm_efficiency","100.63 +0.60*B  +0.10*D  -0.27*E  -0.59*(B**2)  -0.05*(D**2)  -0.20*(E**2)  +0.12*B*D  -0.10*B*E  +0.24*D*E  -0.01*B*D*E "
"inst_fp_16","0 +0.00*B  +0.00*D  +0.00*E  -0.00*(B**2)  +0.00*(D**2)  +0.00*(E**2)  +0.00*B*D  -0.00*B*E  +0.00*D*E  -0.00*B*D*E "
"inst_fp_32","5570035712 +0.00*B  -1572864000.00*D  -0.00*E  -0.00*(B**2)  +262144000.00*(D**2)  +0.00*(E**2)  -0.00*B*D  +0.00*B*E  +0.00*D*E  -0.00*B*D*E "
