DEPLOYED tuner_api TOTAL-RUNTIME test vs Python decline%  (trials=1000, mode=hybrid)
==================================================================================
seed_base=3
HW/runs/k/oh                  C_decl%     Py_decl%  diff(pp)
----------------------------------------------------------------------------------
680/10000/0.5/10000             7.271        6.717      0.55
680/10000/0.5/1000000          36.566       37.128     -0.56
680/10000000/0.5/10000          1.239        0.913      0.33
680/10000000/0.5/1000000        2.869        2.992     -0.12
750/10000/0.5/100               5.926        5.506      0.42
750/10000/0.5/1000              6.660        6.213      0.45
750/10000/0.5/10000            10.731       10.027      0.70
750/10000/0.5/100000           10.585       10.276      0.31
750/10000/0.5/1000000          24.733       25.687     -0.95
750/1000000/0.5/100000          6.661        6.628      0.03
750/1000000/0.5/1000000        11.621       11.620      0.00
750/10000000/0.5/100            1.386        1.373      0.01
750/10000000/0.5/1000           1.258        1.375     -0.12
750/10000000/0.5/10000          1.466        1.323      0.14
750/10000000/0.5/1000000        6.337        6.960     -0.62
1070/10000/0.5/100              7.980        7.891      0.09
1070/10000/0.5/1000             9.467        9.231      0.24
1070/10000/0.5/10000           11.940       11.131      0.81
1070/10000/0.5/100000          15.326       15.100      0.23
1070/10000/0.5/1000000        122.009      125.704     -3.70
1070/1000000/0.5/100000         7.190        6.845      0.35
1070/1000000/0.5/1000000       10.053       10.751     -0.70
1070/10000000/0.5/100           0.994        0.989      0.00
1070/10000000/0.5/1000          1.108        1.042      0.07
1070/10000000/0.5/10000         1.257        1.286     -0.03
1070/10000000/0.5/1000000        7.220        7.610     -0.39
2080/10000/0.5/100              6.409        6.294      0.12
2080/10000/0.5/1000             6.839        6.994     -0.16
2080/10000/0.5/10000            9.186        9.522     -0.34
2080/10000/0.5/100000           8.446        8.350      0.10
2080/10000/0.5/1000000         26.633       27.357     -0.72
2080/1000000/0.5/100000         7.517        7.679     -0.16
2080/1000000/0.5/1000000       10.376       10.931     -0.56
2080/10000000/0.5/100           1.589        1.166      0.42
2080/10000000/0.5/1000          1.386        1.253      0.13
2080/10000000/0.5/10000         1.440        1.520     -0.08
2080/10000000/0.5/1000000        7.343        8.002     -0.66
----------------------------------------------------------------------------------
mean |C - Py| performance-decline difference: 0.42 pp over 37 configs (mode=hybrid)
decline% = total_runtime(estimator stop)/total_runtime(oracle stop) - 1
