HW / # of runs / method / overhead,Average extra runtime,Extra runtime deviation,Average GT TS,GT TS deviation,Average estimated TS,Estimated TS deviation,Average miss (tuning steps)
"['GPU-750', '10000', '0.0', '100000']",0.10616934643231062,0.11624558464234049,25.263,21.105824575220936,16.783,0.5078493871218119,16.17
"['GPU-750', '10000', '0.0', '1000000']",0.2574576000209126,0.12295979163313042,5.975,4.572567659422876,16.783,0.5078493871218119,11.966
"['GPU-750', '10000', '1.0', '1000000']",0.25295659645105056,0.11181316234454797,6.012,4.375369241561219,16.788,1.0329840269820245,11.864
"['GPU-750', '10000', '0.5', '1000000']",0.2568672617661703,0.1117106298235562,5.975,4.572567659422876,16.873,1.2825252434162846,12.012
"['GPU-750', '1000000', '0.0', '1000000']",0.15078163530086777,0.1360582867542258,136.096,112.46584718926897,37.64,19.32196677359735,107.746
"['GPU-750', '10000', '1.0', '100000']",0.1045930368563733,0.1094420532423576,26.417,21.737228687208496,18.907,5.0243756826097306,17.126
"['GPU-750', '10000', '0.5', '100000']",0.10276305187221674,0.10926385938953384,25.263,21.105824575220936,18.846,5.2021422510346635,16.651
"['GPU-1070', '10000', '0.0', '100000']",0.14880680577631247,0.08129287143918204,9.184,7.330630532225724,16.898,0.41182034918153326,10.298
"['GPU-1070', '10000', '0.0', '1000000']",1.2963999609226293,0.47472757138562216,2.724,1.8099237553002059,16.865,0.4480792340646908,15.141
"['GPU-1070', '10000', '1.0', '100000']",0.15457193026379953,0.07668684526074414,9.076,7.691178323248005,17.12,1.8962067397834024,10.726
"['GPU-1070', '10000', '1.0', '1000000']",1.2674745216511327,0.44079705271764275,2.698,1.755219644375028,16.577,0.536722460867812,14.879
"['GPU-1070', '10000', '0.5', '1000000']",1.257037116422341,0.4518651028056269,2.833,1.8764623630651376,16.568,0.5285603087633425,14.735
"['GPU-1070', '10000', '0.5', '100000']",0.1509984318766594,0.0776335214707672,9.608,7.61172358930617,17.129,1.8618160489156816,10.295
"['GPU-750', '1000000', '0.0', '100000']",0.19424743926995836,0.15543053363091922,621.312,480.8650378806927,69.809,77.00270462133132,562.837
"['GPU-750', '1000000', '1.0', '1000000']",0.20782531851671932,0.1619268011031281,141.468,119.07720594639429,23.943,17.199934621968772,120.881
"['GPU-1070', '1000000', '1.0', '1000000']",0.17633302389647007,0.16868198563625783,53.888,45.03524681846431,20.299,8.15153967051624,39.959
"['GPU-1070', '1000000', '0.0', '1000000']",0.09436599245060229,0.09571169017932643,53.431,45.25495817034858,51.379,16.99374470209553,35.212
"['GPU-1070', '1000000', '1.0', '100000']",0.3290215304694653,0.22696047754971777,211.072,172.05606300273175,26.251,21.667717900138907,187.777
"['GPU-2080', '10000', '1.0', '100000']",0.08475940119063256,0.08879029140773807,22.426,19.311046683181107,18.382,4.197150938434309,14.924
"['GPU-2080', '10000', '0.0', '100000']",0.08088120720534395,0.09187569765149675,21.582,18.628131307246036,16.766,0.5071922712344895,14.222
"['GPU-2080', '10000', '0.0', '1000000']",0.27999904777210066,0.12607179070360386,5.467,4.111558220431762,16.792,0.4906485503901953,12.397
"['GPU-2080', '10000', '1.0', '1000000']",0.2722974732283817,0.11533929766019468,5.559,4.22617072537303,16.806,0.8765637455427872,12.311
"['GPU-750', '1000000', '1.0', '100000']",0.28448460237096657,0.18030417760549852,629.095,479.3310525878748,33.937,59.60296159588045,599.3
"['GPU-2080', '10000', '0.5', '1000000']",0.27357279847475435,0.1153497137210268,5.238,3.8350170794926064,16.754,0.9324612592488762,12.548
"['GPU-2080', '10000', '0.5', '100000']",0.08349591817731589,0.09413379536146113,22.935,19.034357751182466,18.739,5.078865916718023,14.706
"['GPU-1070', '1000000', '0.0', '100000']",0.0686262696890165,0.0899906527677079,211.279,166.72638411181356,168.754,104.89079789952977,134.729
"['GPU-2080', '1000000', '1.0', '1000000']",0.17965162825576078,0.1518887913484229,145.332,117.47354500482226,23.564,15.523527434188404,125.154
"['GPU-2080', '1000000', '0.0', '100000']",0.17225465888730476,0.13284209749475917,573.457,440.1231965609175,74.851,79.87100098909491,506.52
"['GPU-2080', '1000000', '0.0', '1000000']",0.13028444689721147,0.1166355608092489,144.83,117.63608757519947,37.094,19.046762559553265,113.654
"['GPU-750', '1000000', '0.5', '1000000']",0.1162005186970012,0.10518688748986352,136.096,112.46584718926897,54.991,34.62985589054624,102.231
"['GPU-1070', '1000000', '0.5', '1000000']",0.10751286340567488,0.09761127703213394,56.514,45.150413109959466,44.677,9.874951696084391,36.091
"['GPU-2080', '1000000', '1.0', '100000']",0.2521491827711707,0.1501665305446373,567.939,446.8804507684354,31.374,51.893102855774586,540.687
"['GPU-2080', '1000000', '0.5', '1000000']",0.1093098651135962,0.09106284021999951,149.08,115.99176522495034,51.538,28.000009928569668,112.88
"['GPU-1070', '1000000', '0.5', '100000']",0.0684497143146305,0.07575269491804952,211.072,172.05606300273175,201.903,92.06348674148724,151.641
"['GPU-2080', '1000000', '0.5', '100000']",0.07678624668899352,0.06966901555552353,536.497,431.6505090822899,267.006,243.03782414266303,414.115
"['GPU-750', '1000000', '0.5', '100000']",0.06628098470475886,0.0658135221912575,629.069,474.80282248423924,305.544,269.4206452074525,479.905
