HW / # of runs / method / overhead,Performance decline (%)
"['GPU-750', '10000', '0.0', '1000']",14.8258479830263
"['GPU-750', '10000', '0.0', '100']",15.057262804350868
"['GPU-750', '10000', '1.0', '1000']",21.064250089047
"['GPU-750', '10000', '1.0', '100']",21.500750238583045
"['GPU-750', '10000000', '0.0', '100']",20.82620461758313
"['GPU-750', '10000000', '0.0', '1000']",20.839104954362934
"['GPU-1070', '10000', '1.0', '1000']",28.175394213051884
"['GPU-1070', '10000', '1.0', '100']",30.74636831088528
"['GPU-1070', '10000', '0.0', '1000']",7.673422465755716
"['GPU-1070', '10000', '0.0', '100']",6.761846204513667
"['GPU-750', '10000000', '1.0', '1000']",30.369829322774105
"['GPU-750', '10000000', '1.0', '100']",30.350266204340866
"['GPU-750', '10000', '0.5', '1000']",6.2131544286267815
"['GPU-750', '10000', '0.5', '100']",5.505518909377451
"['GPU-1070', '10000000', '1.0', '1000']",39.42802163144275
"['GPU-1070', '10000000', '1.0', '100']",39.42039951154651
"['GPU-1070', '10000', '0.5', '1000']",9.230646485241834
"['GPU-2080', '10000', '1.0', '100']",20.659765127689408
"['GPU-2080', '10000', '1.0', '1000']",19.876259578231927
"['GPU-1070', '10000', '0.5', '100']",7.891179239056903
"['GPU-2080', '10000', '0.0', '100']",13.96036130198392
"['GPU-2080', '10000', '0.0', '1000']",14.016052973038251
"['GPU-2080', '10000', '0.5', '1000']",6.993924263172485
"['GPU-2080', '10000', '0.5', '100']",6.293504263299067
"['GPU-2080', '10000000', '1.0', '100']",26.869251978866092
"['GPU-2080', '10000000', '1.0', '1000']",27.81771973119584
"['GPU-2080', '10000000', '0.0', '100']",18.057677165363163
"['GPU-1070', '10000000', '0.0', '100']",3.5469761439091405
"['GPU-2080', '10000000', '0.0', '1000']",17.998636961970366
"['GPU-1070', '10000000', '0.0', '1000']",3.664372888763295
"['GPU-750', '10000000', '0.5', '100']",1.3727677526884678
"['GPU-750', '10000000', '0.5', '1000']",1.3745758459153432
"['GPU-1070', '10000000', '0.5', '1000']",1.0417970224131283
"['GPU-1070', '10000000', '0.5', '100']",0.9893482037850694
"['GPU-2080', '10000000', '0.5', '100']",1.1655053638845194
"['GPU-2080', '10000000', '0.5', '1000']",1.253013843793291
