Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,8823,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,0,1,32,3,6036325,167934,2,25425386,131076,9,75497472,0,3,33.3333,8388608,4194304,0,0,0.743796,99.8266,1073741824,0,1054343168,8388608,604504064,256114688,0,93675520,4,19.944,0,0,0,1,2,5,46.7034,100,99.9825,1024,2048,0,0,38
gemm_fast,9063,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,1,0,32,3,6106123,169942,1,17036866,131076,9,75497472,0,5,30,16777216,4194304,0,0,0.739447,99.9684,1073741824,0,1054343168,8388608,604504064,256114688,0,93675520,4,19.4444,0,0,0,1,2,5,45.9248,100,99.9825,1024,2048,0,0,38
gemm_fast,7358,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,1,1,32,5,8519727,166034,2,16777336,131076,3,16777216,0,10,31.25,25165824,8388608,0,0,0.497315,99.9285,1073741824,0,592969728,8388608,671612928,63176704,0,75325440,4,23.9109,0,0,0,1,3,2,41.1675,100,99.9782,1024,4096,0,0,32
gemm_fast,16517,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,0,0,32,3,8489291,169810,2,50720922,262148,9,134217728,0,0,0,0,0,0,0,0.959365,99.6858,1073741824,0,2328887296,16777216,1074790400,381943808,0,152657920,4,10.6572,0,0,0,1,1,9,38.6055,100,99.8175,1024,0,0,0,32
gemm_fast,10160,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,0,1,32,4,8407757,165706,3,41943128,262148,8,75497472,0,3,33.3333,8388608,4194304,0,0,0.731348,99.7869,1073741824,0,1674575872,8388608,940572672,331087872,0,125902848,5,17.338,0,0,0,1,2,8,54.3142,100,99.987,1024,2048,0,0,36
gemm_fast,10316,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,1,0,32,4,8690999,167774,2,33813986,262148,8,75497472,0,5,30,16777216,4194304,0,0,0.734164,99.8327,1073741824,0,1750073344,8388608,907018240,373030912,0,128524288,5,17.0329,0,0,0,1,2,8,53.3339,100,99.9873,1024,2048,0,0,38
gemm_fast,7342,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,1,1,32,5,8778601,170020,2,25425674,262148,3,16777216,0,10,31.25,25165824,8388608,0,0,0.496563,99.8156,1073741824,0,1129578496,8388608,772800512,79429632,0,95764480,5,23.9251,0,0,0,1,4,3,53.9606,100,99.9829,1024,4096,0,0,32
gemm_fast,17060,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,0,0,32,2,8310189,169982,2,33876962,131076,9,134217728,0,0,0,0,0,0,0,0.734369,99.4573,1073741824,0,2245525504,8388608,805830656,340787200,0,139837440,4,10.2828,0,0,0,1,1,7,36.1256,100,99.9883,1024,0,0,0,40
gemm_fast,8661,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,0,1,32,3,6048898,167922,2,25425386,131076,10,75497472,0,4,33.3333,8388608,4194304,0,0,0.741987,99.715,1073741824,0,1666449408,8388608,671612928,297795584,0,116203520,6,20.256,0,0,0,1,2,6,60.6495,100,99.9859,1024,2048,0,0,36
gemm_fast,10096,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,1,0,32,4,8527643,167662,2,25273056,131076,8,75497472,0,5,30,16777216,4194304,0,0,0.740545,99.7981,1073741824,0,1607467008,8388608,872939520,331350016,0,121700352,5,17.4129,0,0,0,1,2,8,53.5885,100,99.9865,1024,2048,0,0,37
