Computation duration (us)
21905.4
51013.3
18236.8
10583.6
12131.7
11505
20739.2
13080.1
16343.4
11450.7
14066.1
16042.3
46816.2
22432.1
11842.7
17903.3
16626.6
10700.1
8951.49
16215.7
19689
14008.4
27870.9
10367.4
11489.3
22680.6
19987.6
16879.4
23721.7
19099.4
26972.2
20122.4
15388.5
16003.9
23227.3
18875.8
18165
12860
23929.5
10017.1
10528.4
47449.4
17175.3
39419.4
11063.5
16969
21209.6
15874.1
11664.7
36841.6
14968.2
27832.7
11930
15390.4
19529.2
24776
26508.4
33847.9
15842.5
34399.6
12055.7
16224.3
31819.9
20382.1
15676.1
22623.7
10754.8
12207.2
12202.6
11611.7
21842.4
10966.1
22019
9800.06
19501.4
15303.1
13363.6
11530.9
18802.4
13142
19531.5
15884
12989.1
23680.4
17283.2
19662.2
12106.7
13349.6
11579.1
18528.5
20709
20398.4
20556.9
18377.2
10741
12109.5
18904
21524
13200.3
18998.7
12752.8
15577.1
9111.68
11583.3
28563.9
12043.9
8578.08
12009.8
29678
12929.3
32515.6
13198.3
34185.1
16499.7
20804.2
23399
11347.7
9027.23
15465.9
16637.1
32084.7
11437.8
12281.4
15284.1
17259.6
10558.8
18902.4
10228
51230.8
16978.3
12848.6
22637.9
11172.6
22619.4
38646.6
25023.3
12155.6
20503
17543.2
41678.7
11521.9
22616.9
10694.5
21970.9
53921.5
19580.4
23831.4
43878.1
20265.5
18797.5
16941.3
33500.9
14658
9329.25
21605
13855.3
19851.2
10135.6
18620.5
26796.5
17514.5
14477.6
12893.9
18842.8
11795.1
11280
32588.2
22439
21753.6
22818.8
21272.8
45786
10737.7
11821.3
10608.7
22229.8
14846.3
73085
21597.8
33389.9
21044.5
11951.9
13689
17220.9
20133.5
13359.4
18949.3
16972.4
16415.1
15985.3
15127.2
14142.8
15225.1
28422.4
31568.6
26550
12733.2
17539.5
17985.1
56440
41448.6
18342.5
21780.6
20116.6
10446
8561.63
20443
34993.7
13658.6
14620.7
23529
12713.5
29800.4
13606
21026.5
14863.7
23099.1
12061.1
24935.1
24193.9
