Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,645,8192,64,32,16,32,8,8,8,16,2,4,1,0,0,0,0,32,5,2105351,8215,2,6291520,8201,7,25165824,0,0,0,0,0,0,0,0.265147,97.1469,0,268435456,0,291667968,2097152,100679680,24313856,0,21508096,0,3,11.4512,0,0,0,1,1,4,26.1256,100,99.8453,1024,0,0,0,32
gemm_fast,533,8192,64,32,16,32,8,8,8,16,2,4,1,0,0,0,1,32,5,2105351,8295,2,5242944,8201,6,17825792,0,2,33.3333,1048576,524288,0,0,0.264716,97.5613,0,268435456,0,207798272,1048576,85999616,41099264,0,18887424,0,3,14.0588,0,0,0,1,1,2,30.5867,100,99.9973,1024,2048,0,0,40
gemm_fast,643,8192,64,32,16,32,8,8,8,16,2,4,1,0,0,1,0,32,5,2105351,8231,2,4194360,8201,3,10485760,0,3,33.3333,4194304,524288,0,0,0.266329,97.4001,0,268435456,0,200450048,1048576,111165440,51585024,0,19771904,0,3,11.1308,0,0,0,1,1,3,23.051,100,99.9974,1024,4096,0,0,36
gemm_fast,412,8192,64,32,16,32,8,8,8,16,2,4,1,0,0,1,1,32,7,2109847,8107,2,3146016,8201,2,3145728,0,6,33.3333,5242880,1048576,0,0,0.258998,92.2109,0,268435456,0,122863616,1048576,94388224,10690560,0,15545088,0,3,18.4378,0,0,0,1,2,1,32.5996,100,99.9967,1024,6144,0,0,32
gemm_fast,937,8192,64,32,16,32,8,8,16,8,2,1,1,0,0,0,0,32,3,2107771,7899,4,18874648,32777,5,25165824,0,0,0,0,0,0,0,0.26265,93.8254,0,268435456,0,294797312,3145728,201392128,68345856,0,26161920,0,2,7.86569,0,0,0,1,1,6,20.0219,100,99.8728,1024,0,0,0,32
gemm_fast,875,8192,64,32,16,32,8,8,16,8,2,1,1,0,0,0,1,32,4,2105655,8439,4,18874832,32777,4,17825792,0,1,33.3333,1048576,524288,0,0,0.263743,95.4895,0,268435456,0,219316224,1048576,182517760,76742656,0,23377408,0,2,8.42831,0,0,0,1,1,4,19.4934,100,99.9978,1024,2048,0,0,37
gemm_fast,735,8192,64,32,16,32,8,8,16,8,2,1,1,0,0,1,0,32,4,2105351,8215,2,6291504,32777,3,10485760,0,3,33.3333,4194304,524288,0,0,0.26614,98.0957,0,268435456,0,268607488,1048576,127991808,55779328,0,22558720,0,3,10.0012,0,0,0,1,1,3,24.1504,100,99.9977,1024,4096,0,0,38
gemm_fast,408,8192,64,32,16,32,8,8,16,8,2,1,1,0,0,1,1,32,7,2107019,6343,3,6291736,32777,2,3145728,0,6,33.3333,5242880,1048576,0,0,0.259454,91.909,0,268435456,0,166895616,1048576,107020288,11730944,0,17348352,0,4,19.1831,0,0,0,1,2,2,36.3945,100,99.997,1024,6144,0,0,40
gemm_fast,945,8192,64,32,16,32,8,8,16,8,2,1,2,0,0,0,0,32,3,2109503,8051,4,17825984,32777,5,25165824,0,0,0,0,0,0,0,0.26237,93.3638,0,268435456,0,293765120,3145728,167837696,62062592,0,24884736,0,2,7.79044,0,0,0,1,1,5,20.1902,100,99.8663,1024,0,0,0,32
gemm_fast,851,8192,64,32,16,32,8,8,16,8,2,1,2,0,0,0,1,32,4,2105363,7591,4,17825848,32777,4,17825792,0,1,33.3333,1048576,524288,0,0,0.263513,95.034,0,268435456,0,200450048,1048576,178323456,74645504,0,22591232,0,2,8.63178,0,0,0,1,1,4,19.457,100,99.9977,1024,2048,0,0,36
gemm_fast,635,8192,64,32,16,32,8,8,16,8,2,1,2,0,0,1,0,32,5,2105351,8215,2,5242928,32777,3,10485760,0,3,33.3333,4194304,524288,0,0,0.266073,98.3538,0,268435456,0,250789888,1048576,94437376,43196416,0,20560128,0,3,11.6521,0,0,0,1,1,2,26.397,100,99.9975,1024,4096,0,0,38
gemm_fast,403,8192,64,32,16,32,8,8,16,8,2,1,2,0,0,1,1,32,7,2105419,8347,3,5242928,32777,2,3145728,0,6,33.3333,5242880,1048576,0,0,0.263023,94.7474,0,268435456,0,153272320,1048576,102825984,10682368,0,16758784,0,4,18.7176,0,0,0,1,2,2,34.4476,100,99.9969,1024,6144,0,0,32
gemm_fast,662,8192,64,32,16,32,8,8,16,8,2,2,1,0,0,0,0,32,4,2105351,8215,3,10486144,16393,7,25165824,0,0,0,0,0,0,0,0.265208,97.1113,0,268435456,0,292716544,2097152,134250496,30605312,0,22786560,0,3,11.1863,0,0,0,1,1,5,26.206,100,99.8539,1024,0,0,0,32
gemm_fast,691,8192,64,32,16,32,8,8,16,8,2,2,1,0,0,0,1,32,4,2105591,8267,3,10486320,16393,5,17825792,0,1,33.3333,1048576,524288,0,0,0.264996,97.4463,0,268435456,0,201506816,1048576,115376128,54730752,0,20034816,0,2,10.7338,0,0,0,1,1,3,24.1553,100,99.9974,1024,2048,0,0,38
gemm_fast,686,8192,64,32,16,32,8,8,16,8,2,2,1,0,0,1,0,32,4,2105351,8215,2,4194496,16393,3,10485760,0,3,33.3333,4194304,524288,0,0,0.26638,99.6921,0,268435456,0,208846848,1048576,119570432,55779328,0,20428032,0,2,10.6812,0,0,0,1,1,3,22.3235,100,99.9975,1024,4096,0,0,40
