Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram__throughput.avg.pct_of_peak_sustained_elapsed,dram__sectors_read.sum,dram__sectors_write.sum,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sm__warps_active.avg.pct_of_peak_sustained_active,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,smsp__sass_thread_inst_executed_op_fp16_pred_on.sum,smsp__sass_thread_inst_executed_op_fp32_pred_on.sum,smsp__sass_thread_inst_executed_op_fp64_pred_on.sum,smsp__sass_thread_inst_executed_op_integer_pred_on.sum,smsp__sass_thread_inst_executed_op_control_pred_on.sum,smsp__sass_thread_inst_executed_op_memory_pred_on.sum,smsp__sass_thread_inst_executed_op_misc_pred_on.sum,smsp__sass_thread_inst_executed_op_conversion_pred_on.sum,smsp__inst_executed.sum,smsp__inst_executed_pipe_fp16.sum,smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__thread_inst_executed_per_inst_executed.ratio,smsp__thread_inst_executed_per_inst_executed.pct,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,9930,1048576,64,16,16,32,8,8,8,8,2,2,1,0,0,1,0,32,62.3938,67474900,524845,27.3554,126360000,524311,20.3821,142606000,24.246,134218000,33554400,0,0,98.3541,99.984,0,8589930000,0,7862220000,67108900,6981420000,482345000,0,753861000,0,24.5492,0,0,15.5712,0,26.8944,32,100,1024,2048,0,0,64
gemm_fast,11076,1048576,64,16,16,32,8,8,8,8,2,2,1,0,0,1,1,32,56.7504,67626500,525830,22.87,116866000,526211,3.26084,25165800,35.2585,201379000,69228300,0,0,98.2637,99.6819,0,8589930000,0,6386880000,67108900,5639240000,415236000,0,670007000,0,20.2684,0,0,11.4302,0,21.7207,32,100,1024,4096,0,0,64
gemm_fast,8434,1048576,64,16,16,32,8,8,8,8,2,2,2,0,0,0,0,32,67.9058,74404100,526181,35.2503,167176000,525754,18.8075,134218000,0.591089,0,0,0,0,98.6119,99.0941,0,8589930000,0,9140440000,67108900,4297060000,350224000,0,701465000,0,21.4462,0,0,9.69988,0,24.5562,32,100,1024,0,0,0,63
gemm_fast,7990,1048576,64,16,16,32,8,8,8,8,2,2,2,0,0,0,1,32,78.0324,67283700,525796,35.22,130223000,526235,13.5362,75497500,18.4059,67108900,33554400,0,0,98.8065,99.8995,0,8589930000,0,6790580000,67108900,4833940000,349176000,0,649101000,0,26.1277,0,0,13.5394,0,29.0769,32,100,1024,2048,0,0,64
gemm_fast,9908,1048576,64,16,16,32,8,8,8,8,2,2,2,0,0,1,0,32,63.5771,67456300,524600,26.4417,121953000,524807,10.9994,75497500,24.6551,134218000,33554400,0,0,98.7008,99.5443,0,8589930000,0,6790580000,67108900,4833940000,349176000,0,649101000,0,21.2529,0,0,11.0133,0,23.6519,32,100,1024,2048,0,0,64
gemm_fast,10156,1048576,64,16,16,32,8,8,8,8,2,2,2,0,0,1,1,32,62.1084,67695400,525840,26.5024,122716000,526267,2.37562,16777200,38.5485,201381000,69563600,0,0,98.2333,99.7061,0,8589930000,0,3969910000,67108900,5370810000,348127000,0,582025000,0,20.9393,0,0,11.8845,0,20.5986,32,100,1024,4096,0,0,58
gemm_fast,10900,1048576,64,16,16,32,8,8,8,16,2,1,1,0,0,0,0,32,48.8814,67868100,524415,20.8404,123537000,758879,30.0119,268435000,0.24796,0,0,0,0,98.6001,99.8657,0,8589930000,0,9474930000,134218000,8594130000,488636000,0,854721000,0,30.8403,0,0,15.3108,0,24.1661,32,100,1024,0,0,0,64
gemm_fast,8787,1048576,64,16,16,32,8,8,8,16,2,1,1,0,0,0,1,32,62.7078,67298100,524646,27.014,122532000,717176,21.5766,150995000,14.7791,67108900,33554400,0,0,98.728,100.538,0,8589930000,0,8401190000,67108900,7520390000,419430000,0,787546000,0,24.5937,0,0,16.8033,0,28.1471,32,100,1024,2048,0,0,64
gemm_fast,10934,1048576,64,16,16,32,8,8,8,16,2,1,1,0,0,1,0,32,56.8881,67431300,525440,23.3248,117160000,823277,19.6959,150995000,22.1131,134218000,33554400,0,0,86.4853,99.7019,0,8589930000,0,8334080000,67108900,7251950000,417333000,0,770703000,0,23.274,0,0,14.7933,0,25.1474,32,100,896,2048,0,0,72
gemm_fast,11151,1048576,64,16,16,32,8,8,8,16,2,1,1,0,0,1,1,32,56.6599,67760500,524152,24.3151,124723000,577575,4.33071,33554400,35.1518,201374000,69340800,0,0,98.2828,99.852,0,8589930000,0,7529820000,67108900,6178210000,350224000,0,716210000,0,20.9763,0,0,12.4581,0,23.0997,32,100,1024,4096,0,0,62
gemm_fast,9003,1048576,64,16,16,32,8,8,8,16,2,2,1,0,0,0,0,32,63.5053,67267300,525354,25.7743,114911000,525668,29.6361,201327000,0.0192529,0,0,0,0,86.5112,99.7943,0,8589930000,0,8805940000,67108900,6444550000,219152000,0,754024000,0,34.8906,0,0,14.8312,0,27.7465,32,100,896,0,0,0,72
gemm_fast,8027,1048576,64,16,16,32,8,8,8,16,2,2,1,0,0,0,1,32,77.6593,67402500,525904,34.9913,130376000,526179,14.9395,83886100,18.3022,67108900,33554400,0,0,98.7229,99.8186,0,8589930000,0,8335130000,67108900,5370810000,416285000,0,718209000,0,30.676,0,0,14.9699,0,32.0173,32,100,1024,2048,0,0,64
gemm_fast,9926,1048576,64,16,16,32,8,8,8,16,2,2,1,0,0,1,0,32,61.9966,67455300,524127,27.2511,125945000,524311,20.4045,142606000,24.2778,134218000,33554400,0,0,98.3646,99.9435,0,8589930000,0,7862220000,67108900,6981420000,482345000,0,753861000,0,24.5913,0,0,15.5979,0,26.9406,32,100,1024,2048,0,0,64
gemm_fast,10154,1048576,64,16,16,32,8,8,8,16,2,2,1,0,0,1,1,32,62.1337,67755700,525512,26.1894,123028000,526131,3.56516,25165800,38.6014,201378000,69698000,0,0,98.2626,99.7313,0,8589930000,0,7057970000,67108900,5907680000,415236000,0,699367000,0,22.141,0,0,13.0804,0,24.7673,32,100,1024,4096,0,0,64
gemm_fast,10964,1048576,64,16,16,32,8,8,16,8,2,1,1,0,0,0,0,32,49.9332,67903100,525486,20.8506,119783000,760059,30.3418,268435000,0.248127,0,0,0,0,98.5888,99.3097,0,8589930000,0,9474930000,134218000,8594130000,488636000,0,854721000,0,31.0338,0,0,15.4069,0,24.3177,32,100,1024,0,0,0,64
gemm_fast,9363,1048576,64,16,16,32,8,8,16,8,2,1,1,0,0,0,1,32,60.5993,67417000,524633,25.2609,119910000,757361,21.1239,150995000,14.4971,67108900,33554400,0,0,98.6408,101.163,0,8589930000,0,7931430000,67108900,7251950000,417333000,0,764412000,0,23.9753,0,0,15.7963,0,26.6334,32,100,1024,2048,0,0,64
gemm_fast,10228,1048576,64,16,16,32,8,8,16,8,2,1,1,0,0,1,0,32,60.4558,67197200,523825,21.5206,101998000,767873,21.1259,150995000,23.709,134218000,33554400,0,0,86.5888,99.7646,0,8589930000,0,8401190000,67108900,7520390000,417333000,0,787481000,0,24.0583,0,0,16.4375,0,27.532,32,100,896,2048,0,0,72
gemm_fast,11089,1048576,64,16,16,32,8,8,16,8,2,1,1,0,0,1,1,32,56.3458,67643800,524494,22.8883,116829000,573323,4.34838,33554400,35.2706,201374000,69323200,0,0,98.2937,99.698,0,8589930000,0,7127170000,67108900,6178210000,350224000,0,709919000,0,20.2654,0,0,12.5204,0,23.0112,32,100,1024,4096,0,0,62
gemm_fast,10438,1048576,64,16,16,32,8,8,16,8,2,1,2,0,0,0,0,32,50.9971,70829500,526130,23.9575,141319000,745627,22.7887,201327000,0.476866,0,0,0,0,98.4115,99.465,0,8589930000,0,9609150000,67108900,6446650000,487588000,0,787579000,0,17.2374,0,0,11.5764,0,22.1601,32,100,1024,0,0,0,64
gemm_fast,8663,1048576,64,16,16,32,8,8,16,8,2,1,2,0,0,0,1,32,62.6955,67338200,525476,27.2861,125872000,724313,20.5704,142606000,14.7559,67108900,33554400,0,0,98.6535,99.2998,0,8589930000,0,7259290000,67108900,6983520000,418382000,0,733086000,0,21.0729,0,0,15.7739,0,26.4858,32,100,1024,2048,0,0,64
gemm_fast,9911,1048576,64,16,16,32,8,8,16,8,2,1,2,0,0,1,0,32,63.0856,67530700,524324,27.4576,126301000,766177,12.2016,83886100,24.6647,134218000,33554400,0,0,98.4247,99.7081,0,8589930000,0,7329550000,67108900,5372900000,418382000,0,686916000,0,21.2262,0,0,12.2253,0,24.9982,32,100,1024,2048,0,0,64
gemm_fast,10178,1048576,64,16,16,32,8,8,16,8,2,1,2,0,0,1,1,32,61.5499,67678800,523964,26.5809,123660000,566483,3.5511,25165800,38.4585,201366000,69764400,0,0,98.1964,99.746,0,8589930000,0,4911530000,67108900,5909770000,417333000,0,632422000,0,20.8679,0,0,13.0321,0,22.3059,32,100,1024,4096,0,0,58
gemm_fast,10863,1048576,64,16,16,32,8,8,16,16,2,1,1,0,0,0,0,32,49.5417,67910500,525120,20.8686,120868000,758255,30.3495,268435000,0.250092,0,0,0,0,98.6053,99.4571,0,8589930000,0,9474930000,134218000,8594130000,488636000,0,854721000,0,31.2333,0,0,15.5059,0,24.474,32,100,1024,0,0,0,64
gemm_fast,8789,1048576,64,16,16,32,8,8,16,16,2,1,1,0,0,0,1,32,62.5947,67313800,525413,26.9583,123086000,719509,21.7425,150995000,14.7973,67108900,33554400,0,0,98.7116,100.75,0,8589930000,0,8401190000,67108900,7520390000,419430000,0,787546000,0,24.5723,0,0,16.7888,0,28.1227,32,100,1024,2048,0,0,64
gemm_fast,10230,1048576,64,16,16,32,8,8,16,16,2,1,1,0,0,1,0,32,60.4429,67219800,524744,21.6008,102662000,775065,21.1314,150995000,23.6961,134218000,33554400,0,0,86.5859,99.6734,0,8589930000,0,8401190000,67108900,7520390000,417333000,0,787481000,0,24.0671,0,0,16.4436,0,27.5421,32,100,896,2048,0,0,72
gemm_fast,10177,1048576,64,16,16,32,8,8,16,16,2,1,1,0,0,1,1,32,61.3938,67700400,524419,26.1766,122385000,573839,4.73447,33554400,38.4519,201374000,69721800,0,0,98.2532,99.761,0,8589930000,0,7194280000,67108900,6446650000,350224000,0,720404000,0,22.0471,0,0,14.2128,0,25.4041,32,100,1024,4096,0,0,62
