Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,1271,262144,64,16,16,32,8,8,8,8,2,2,2,0,0,1,1,32,5,4524197,125535,3,16777448,131081,3,16777216,0,10,31.25,25165824,8388608,0,0,0.732826,99.889,0,1073741824,0,819462144,8388608,688390144,79953920,0,83451904,0,5,23.2915,0,0,0,1,3,2,46.1179,100,99.9804,1024,4096,0,0,32
gemm_fast,3275,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,0,0,32,2,4553318,127381,3,50331696,262153,8,134217728,0,0,0,0,0,0,0,0.96004,98.642,0,1073741824,0,2328887296,16777216,1074790400,281280512,0,149512192,0,3,8.85777,0,0,0,1,1,8,31.7271,100,99.8137,1024,0,0,0,32
gemm_fast,2211,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,0,1,32,3,4770147,122793,4,41943336,262153,6,75497472,0,2,33.3333,8388608,4194304,0,0,0.972545,99.7163,0,1073741824,0,1666187264,8388608,957349888,374079488,0,127508480,0,4,13.3313,0,0,0,1,1,7,43.6871,100,99.9872,1024,2048,0,0,32
gemm_fast,1973,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,1,0,32,5,6476757,124511,3,33554480,262153,7,75497472,0,4,30,16777216,4194304,0,0,0.970351,99.8126,0,1073741824,0,1741684736,8388608,923795456,365690880,0,128557056,0,4,14.923,0,0,0,1,1,7,48.7356,100,99.9873,1024,2048,0,0,32
gemm_fast,1325,262144,64,16,16,32,8,8,8,16,2,1,1,0,0,1,1,32,7,6344707,125407,4,25165872,262153,3,16777216,0,9,31.25,25165824,8388608,0,0,0.733699,99.1539,0,1073741824,0,1121189888,8388608,789577728,79691776,0,96034816,0,5,22.421,0,0,0,1,3,3,50.1939,100,99.9829,1024,4096,0,0,32
gemm_fast,2575,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,0,0,32,1,1724423,126743,3,33554480,131081,10,134217728,0,0,0,0,0,0,0,0.727731,99.2943,0,1073741824,0,2245525504,8388608,805830656,256901120,0,137216000,0,4,11.3785,0,0,0,1,1,7,40.3891,100,99.9881,1024,0,0,0,40
gemm_fast,1415,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,0,1,32,2,1724423,126743,3,25165872,131081,10,75497472,0,4,33.3333,8388608,4194304,0,0,0.725658,99.3416,0,1073741824,0,1658060800,8388608,688390144,306446336,0,116736000,0,6,20.9742,0,0,0,1,2,6,65.8362,100,99.986,1024,2048,0,0,34
gemm_fast,1667,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,1,0,32,2,1724423,126743,3,25166056,131081,9,75497472,0,5,30,16777216,4194304,0,0,0.725759,99.7874,0,1073741824,0,1607467008,8388608,889716736,324009984,0,121995264,0,5,18.0074,0,0,0,1,2,8,55.7159,100,99.9866,1024,2048,0,0,40
gemm_fast,1382,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,1,1,32,5,5222307,125309,3,16777696,131081,3,16777216,0,9,31.25,25165824,8388608,0,0,0.732383,100.272,0,1073741824,0,986972160,8388608,755499008,104857600,0,91561984,0,5,21.2539,0,0,0,1,3,2,45.0588,100,99.9821,1024,4096,0,0,32
gemm_fast,3278,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,0,0,32,2,4547660,126877,3,50332392,262153,8,134217728,0,0,0,0,0,0,0,0.959971,99.1009,0,1073741824,0,2328887296,16777216,1074790400,281280512,0,149512192,0,3,8.93149,0,0,0,1,1,8,31.8429,100,99.8137,1024,0,0,0,32
gemm_fast,1959,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,0,1,32,2,1732899,126743,5,50331696,262153,7,75497472,0,3,33.3333,8388608,4194304,0,0,0.729037,99.49,0,1073741824,0,1599078400,8388608,923795456,339738624,0,123289600,0,4,15.1061,0,0,0,1,1,7,47.6983,100,99.9867,1024,2048,0,0,38
gemm_fast,2106,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,1,0,32,4,5435015,123299,3,25165872,262201,7,75497472,0,4,30,16777216,4194304,0,0,0.974118,101.272,0,1073741824,0,1674575872,8388608,957349888,399245312,0,128557056,0,4,14.2093,0,0,0,1,2,7,45.7358,100,99.9873,1024,2048,0,0,32
gemm_fast,1348,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,1,1,32,6,5955505,125239,4,25165872,262153,3,16777216,0,9,31.25,25165824,8388608,0,0,0.73529,97.6002,0,1073741824,0,995360768,8388608,789577728,104857600,0,92889088,0,5,21.6731,0,0,0,1,3,3,47.2102,100,99.9824,1024,4096,0,0,32
